# BEGIN PLOT
DrawOnly=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/D_ChargedParticlePt_CharmJets /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_MuEnrichedPt5_Tune4C_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/D_ChargedParticlePt_CharmJets /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_MuEnrichedPt5_PionKaonDecay_Tune4C_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/D_ChargedParticlePt_CharmJets
RatioPlotReference=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/D_ChargedParticlePt_CharmJets
RatioPlot=1
Legend=1
XLabel=$P_{T}(CP)$
YLabel=Normalized to Unity
LogY=1
NormalizeToSum=1
# END PLOT

# BEGIN HISTOGRAM /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/D_ChargedParticlePt_CharmJets
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/D_ChargedParticlePt_CharmJets
Title=BTAG_JET_TRACK_SEL
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e+00	1.146720e+05	2.394494e+02	2.394494e+02
2.000000e+00	4.000000e+00	1.392385e+05	2.638546e+02	2.638546e+02
4.000000e+00	6.000000e+00	7.827550e+04	1.978326e+02	1.978326e+02
6.000000e+00	8.000000e+00	5.220200e+04	1.615580e+02	1.615580e+02
8.000000e+00	1.000000e+01	3.271100e+04	1.278886e+02	1.278886e+02
1.000000e+01	1.200000e+01	2.124650e+04	1.030692e+02	1.030692e+02
1.200000e+01	1.400000e+01	1.415400e+04	8.412491e+01	8.412491e+01
1.400000e+01	1.600000e+01	9.679000e+03	6.956651e+01	6.956651e+01
1.600000e+01	1.800000e+01	6.666000e+03	5.773214e+01	5.773214e+01
1.800000e+01	2.000000e+01	4.729500e+03	4.862870e+01	4.862870e+01
2.000000e+01	2.200000e+01	3.264500e+03	4.040111e+01	4.040111e+01
2.200000e+01	2.400000e+01	2.376500e+03	3.447100e+01	3.447100e+01
2.400000e+01	2.600000e+01	1.675500e+03	2.894391e+01	2.894391e+01
2.600000e+01	2.800000e+01	1.191500e+03	2.440799e+01	2.440799e+01
2.800000e+01	3.000000e+01	8.630000e+02	2.077258e+01	2.077258e+01
3.000000e+01	3.200000e+01	6.235000e+02	1.765644e+01	1.765644e+01
3.200000e+01	3.400000e+01	4.380000e+02	1.479865e+01	1.479865e+01
3.400000e+01	3.600000e+01	3.325000e+02	1.289380e+01	1.289380e+01
3.600000e+01	3.800000e+01	2.115000e+02	1.028348e+01	1.028348e+01
3.800000e+01	4.000000e+01	1.705000e+02	9.233093e+00	9.233093e+00
4.000000e+01	4.200000e+01	1.155000e+02	7.599342e+00	7.599342e+00
4.200000e+01	4.400000e+01	7.400000e+01	6.082763e+00	6.082763e+00
4.400000e+01	4.600000e+01	6.600000e+01	5.744563e+00	5.744563e+00
4.600000e+01	4.800000e+01	4.850000e+01	4.924429e+00	4.924429e+00
4.800000e+01	5.000000e+01	2.750000e+01	3.708099e+00	3.708099e+00
5.000000e+01	5.200000e+01	2.050000e+01	3.201562e+00	3.201562e+00
5.200000e+01	5.400000e+01	1.650000e+01	2.872281e+00	2.872281e+00
5.400000e+01	5.600000e+01	1.050000e+01	2.291288e+00	2.291288e+00
5.600000e+01	5.800000e+01	1.050000e+01	2.291288e+00	2.291288e+00
5.800000e+01	6.000000e+01	6.500000e+00	1.802776e+00	1.802776e+00
6.000000e+01	6.200000e+01	6.500000e+00	1.802776e+00	1.802776e+00
6.200000e+01	6.400000e+01	3.500000e+00	1.322876e+00	1.322876e+00
6.400000e+01	6.600000e+01	1.500000e+00	8.660254e-01	8.660254e-01
6.600000e+01	6.800000e+01	2.500000e+00	1.118034e+00	1.118034e+00
6.800000e+01	7.000000e+01	2.500000e+00	1.118034e+00	1.118034e+00
7.000000e+01	7.200000e+01	2.000000e+00	1.000000e+00	1.000000e+00
7.200000e+01	7.400000e+01	1.000000e+00	7.071068e-01	7.071068e-01
7.400000e+01	7.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
7.600000e+01	7.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
7.800000e+01	8.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+01	8.200000e+01	5.000000e-01	5.000000e-01	5.000000e-01
8.200000e+01	8.400000e+01	5.000000e-01	5.000000e-01	5.000000e-01
8.400000e+01	8.600000e+01	1.000000e+00	7.071068e-01	7.071068e-01
8.600000e+01	8.800000e+01	1.000000e+00	7.071068e-01	7.071068e-01
8.800000e+01	9.000000e+01	5.000000e-01	5.000000e-01	5.000000e-01
9.000000e+01	9.200000e+01	5.000000e-01	5.000000e-01	5.000000e-01
9.200000e+01	9.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00
9.400000e+01	9.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
9.600000e+01	9.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
9.800000e+01	1.000000e+02	5.000000e-01	5.000000e-01	5.000000e-01
1.000000e+02	1.020000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.020000e+02	1.040000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.040000e+02	1.060000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.060000e+02	1.080000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.080000e+02	1.100000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.100000e+02	1.120000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.120000e+02	1.140000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.140000e+02	1.160000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.160000e+02	1.180000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.180000e+02	1.200000e+02	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTOGRAM

# BEGIN HISTOGRAM /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_MuEnrichedPt5_Tune4C_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/D_ChargedParticlePt_CharmJets
LineColor={[HTML]{3366FF}}
LineStyle=solid
Path=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_MuEnrichedPt5_Tune4C_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/D_ChargedParticlePt_CharmJets
Title=BTAG_JET_TRACK_SEL
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e+00	4.747680e+05	4.872207e+02	4.872207e+02
2.000000e+00	4.000000e+00	5.846780e+05	5.406838e+02	5.406838e+02
4.000000e+00	6.000000e+00	3.424670e+05	4.138037e+02	4.138037e+02
6.000000e+00	8.000000e+00	2.384675e+05	3.453024e+02	3.453024e+02
