# BEGIN PLOT
DrawOnly=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/D_ChargedParticlePt_LightJets /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_MuEnrichedPt5_Tune4C_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/D_ChargedParticlePt_LightJets /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_MuEnrichedPt5_PionKaonDecay_Tune4C_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/D_ChargedParticlePt_LightJets
RatioPlotReference=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/D_ChargedParticlePt_LightJets
RatioPlot=1
Legend=1
XLabel=$P_{T}(CP)$
YLabel=Normalized to Unity
LogY=1
NormalizeToSum=1
# END PLOT

# BEGIN HISTOGRAM /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/D_ChargedParticlePt_LightJets
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/D_ChargedParticlePt_LightJets
Title=BTAG_JET_TRACK_SEL
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e+00	5.065930e+05	5.032857e+02	5.032857e+02
2.000000e+00	4.000000e+00	6.172145e+05	5.555243e+02	5.555243e+02
4.000000e+00	6.000000e+00	2.979425e+05	3.859679e+02	3.859679e+02
6.000000e+00	8.000000e+00	1.557120e+05	2.790269e+02	2.790269e+02
8.000000e+00	1.000000e+01	8.885450e+04	2.107777e+02	2.107777e+02
1.000000e+01	1.200000e+01	5.381450e+04	1.640343e+02	1.640343e+02
1.200000e+01	1.400000e+01	3.417050e+04	1.307106e+02	1.307106e+02
1.400000e+01	1.600000e+01	2.242300e+04	1.058844e+02	1.058844e+02
1.600000e+01	1.800000e+01	1.517400e+04	8.710339e+01	8.710339e+01
1.800000e+01	2.000000e+01	1.046000e+04	7.231874e+01	7.231874e+01
2.000000e+01	2.200000e+01	7.243500e+03	6.018098e+01	6.018098e+01
2.200000e+01	2.400000e+01	5.208000e+03	5.102940e+01	5.102940e+01
2.400000e+01	2.600000e+01	3.785500e+03	4.350575e+01	4.350575e+01
2.600000e+01	2.800000e+01	2.764000e+03	3.717526e+01	3.717526e+01
2.800000e+01	3.000000e+01	2.026000e+03	3.182766e+01	3.182766e+01
3.000000e+01	3.200000e+01	1.490500e+03	2.729927e+01	2.729927e+01
3.200000e+01	3.400000e+01	1.138000e+03	2.385372e+01	2.385372e+01
3.400000e+01	3.600000e+01	9.045000e+02	2.126617e+01	2.126617e+01
3.600000e+01	3.800000e+01	6.960000e+02	1.865476e+01	1.865476e+01
3.800000e+01	4.000000e+01	4.930000e+02	1.570032e+01	1.570032e+01
4.000000e+01	4.200000e+01	3.755000e+02	1.370219e+01	1.370219e+01
4.200000e+01	4.400000e+01	2.980000e+02	1.220656e+01	1.220656e+01
4.400000e+01	4.600000e+01	2.405000e+02	1.096586e+01	1.096586e+01
4.600000e+01	4.800000e+01	1.865000e+02	9.656604e+00	9.656604e+00
