# BEGIN PLOT
DrawOnly=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/E_ChargedParticlePtUncut_BottomJets /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_MuEnrichedPt5_Tune4C_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/E_ChargedParticlePtUncut_BottomJets /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_MuEnrichedPt5_PionKaonDecay_Tune4C_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/E_ChargedParticlePtUncut_BottomJets
RatioPlotReference=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/E_ChargedParticlePtUncut_BottomJets
RatioPlot=1
Legend=1
XLabel=$P_{T}(CP)$
YLabel=Normalized to Unity
LogY=1
NormalizeToSum=1
# END PLOT

# BEGIN HISTOGRAM /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/E_ChargedParticlePtUncut_BottomJets
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/E_ChargedParticlePtUncut_BottomJets
Title=BTAG_JET_TRACK_SEL
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e-01	2.160160e+05	6.572914e+02	6.572914e+02
5.000000e-01	1.000000e+00	3.120260e+05	7.899696e+02	7.899696e+02
1.000000e+00	1.500000e+00	2.858920e+05	7.561640e+02	7.561640e+02
1.500000e+00	2.000000e+00	2.427980e+05	6.968472e+02	6.968472e+02
2.000000e+00	2.500000e+00	1.998840e+05	6.322721e+02	6.322721e+02
2.500000e+00	3.000000e+00	1.647480e+05	5.740174e+02	5.740174e+02
3.000000e+00	3.500000e+00	1.358180e+05	5.211871e+02	5.211871e+02
3.500000e+00	4.000000e+00	1.133060e+05	4.760378e+02	4.760378e+02
4.000000e+00	4.500000e+00	9.398400e+04	4.335528e+02	4.335528e+02
4.500000e+00	5.000000e+00	7.973000e+04	3.993244e+02	3.993244e+02
5.000000e+00	5.500000e+00	8.362000e+04	4.089499e+02	4.089499e+02
5.500000e+00	6.000000e+00	7.281400e+04	3.816124e+02	3.816124e+02
6.000000e+00	6.500000e+00	6.291000e+04	3.547112e+02	3.547112e+02
6.500000e+00	7.000000e+00	5.474400e+04	3.308897e+02	3.308897e+02
7.000000e+00	7.500000e+00	4.769400e+04	3.088495e+02	3.088495e+02
7.500000e+00	8.000000e+00	4.261200e+04	2.919315e+02	2.919315e+02
8.000000e+00	8.500000e+00	3.811600e+04	2.761014e+02	2.761014e+02
8.500000e+00	9.000000e+00	3.382600e+04	2.601000e+02	2.601000e+02
9.000000e+00	9.500000e+00	3.045000e+04	2.467793e+02	2.467793e+02
9.500000e+00	1.000000e+01	2.663000e+04	2.307813e+02	2.307813e+02
# END HISTOGRAM

# BEGIN HISTOGRAM /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_MuEnrichedPt5_Tune4C_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/E_ChargedParticlePtUncut_BottomJets
LineColor={[HTML]{3366FF}}
LineStyle=solid
Path=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_MuEnrichedPt5_Tune4C_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/E_ChargedParticlePtUncut_BottomJets
Title=BTAG_JET_TRACK_SEL
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e-01	1.114808e+06	1.493190e+03	1.493190e+03
5.000000e-01	1.000000e+00	1.364468e+06	1.651949e+03	1.651949e+03
1.000000e+00	1.500000e+00	1.222442e+06	1.563612e+03	1.563612e+03
1.500000e+00	2.000000e+00	1.046310e+06	1.446589e+03	1.446589e+03
2.000000e+00	2.500000e+00	8.759640e+05	1.323604e+03	1.323604e+03
2.500000e+00	3.000000e+00	7.253860e+05	1.204480e+03	1.204480e+03
3.000000e+00	3.500000e+00	6.032900e+05	1.098444e+03	1.098444e+03
3.500000e+00	4.000000e+00	5.037080e+05	1.003701e+03	1.003701e+03
4.000000e+00	4.500000e+00	4.231880e+05	9.199870e+02	9.199870e+02
4.500000e+00	5.000000e+00	3.595900e+05	8.480448e+02	8.480448e+02
5.000000e+00	5.500000e+00	3.910660e+05	8.843823e+02	8.843823e+02
5.500000e+00	6.000000e+00	3.414820e+05	8.264164e+02	8.264164e+02
6.000000e+00	6.500000e+00	3.005040e+05	7.752471e+02	7.752471e+02
6.500000e+00	7.000000e+00	2.645420e+05	7.273816e+02	7.273816e+02
7.000000e+00	7.500000e+00	2.343300e+05	6.845875e+02	6.845875e+02
7.500000e+00	8.000000e+00	2.074900e+05	6.441894e+02	6.441894e+02
8.000000e+00	8.500000e+00	1.864180e+05	6.106030e+02	6.106030e+02
8.500000e+00	9.000000e+00	1.672740e+05	5.784012e+02	5.784012e+02
9.000000e+00	9.500000e+00	1.492460e+05	5.463442e+02	5.463442e+02
9.500000e+00	1.000000e+01	1.341560e+05	5.179884e+02	5.179884e+02
# END HISTOGRAM

# BEGIN HISTOGRAM /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_MuEnrichedPt5_PionKaonDecay_Tune4C_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/E_ChargedParticlePtUncut_BottomJets
LineColor={[HTML]{109618}}
LineStyle=solid
Path=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_MuEnrichedPt5_PionKaonDecay_Tune4C_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/E_ChargedParticlePtUncut_BottomJets
Title=BTAG_JET_TRACK_SEL
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e-01	1.470390e+06	1.714870e+03	1.714870e+03
5.000000e-01	1.000000e+00	1.948388e+06	1.974025e+03	1.974025e+03
1.000000e+00	1.500000e+00	1.784686e+06	1.889278e+03	1.889278e+03
1.500000e+00	2.000000e+00	1.543360e+06	1.756906e+03	1.756906e+03
2.000000e+00	2.500000e+00	1.293530e+06	1.608434e+03	1.608434e+03
2.500000e+00	3.000000e+00	1.073386e+06	1.465187e+03	1.465187e+03
3.000000e+00	3.500000e+00	8.950180e+05	1.337922e+03	1.337922e+03
3.500000e+00	4.000000e+00	7.505240e+05	1.225173e+03	1.225173e+03
4.000000e+00	4.500000e+00	6.318460e+05	1.124141e+03	1.124141e+03
4.500000e+00	5.000000e+00	5.328600e+05	1.032337e+03	1.032337e+03
5.000000e+00	5.500000e+00	5.733320e+05	1.070824e+03	1.070824e+03
5.500000e+00	6.000000e+00	4.993740e+05	9.993738e+02	9.993738e+02
6.000000e+00	6.500000e+00	4.375580e+05	9.354763e+02	9.354763e+02
6.500000e+00	7.000000e+00	3.885700e+05	8.815554e+02	8.815554e+02
7.000000e+00	7.500000e+00	3.413800e+05	8.262929e+02	8.262929e+02
7.500000e+00	8.000000e+00	3.028360e+05	7.782493e+02	7.782493e+02
8.000000e+00	8.500000e+00	2.704820e+05	7.355025e+02	7.355025e+02
8.500000e+00	9.000000e+00	2.423000e+05	6.961322e+02	6.961322e+02
9.000000e+00	9.500000e+00	2.174500e+05	6.594695e+02	6.594695e+02
9.500000e+00	1.000000e+01	1.958440e+05	6.258498e+02	6.258498e+02
# END HISTOGRAM

