# BEGIN PLOT
DrawOnly=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/F_ChargedParticlePtRel_LightJets /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_MuEnrichedPt5_Tune4C_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/F_ChargedParticlePtRel_LightJets /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_MuEnrichedPt5_PionKaonDecay_Tune4C_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/F_ChargedParticlePtRel_LightJets
RatioPlotReference=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/F_ChargedParticlePtRel_LightJets
RatioPlot=1
Legend=1
XLabel=$P_{T,rel}(CP)$
YLabel=Normalized to Unity
LogY=1
NormalizeToSum=1
# END PLOT

# BEGIN HISTOGRAM /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/F_ChargedParticlePtRel_LightJets
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/F_ChargedParticlePtRel_LightJets
Rebin=2
Title=BTAG_JET_TRACK_SEL
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-03	6.000000e+03	2.449490e+03	2.449490e+03
1.000000e-03	2.000000e-03	2.671000e+06	5.168172e+04	5.168172e+04
2.000000e-03	3.000000e-03	5.429800e+07	2.330193e+05	2.330193e+05
3.000000e-03	4.000000e-03	1.552140e+08	3.939721e+05	3.939721e+05
4.000000e-03	5.000000e-03	2.035740e+08	4.511918e+05	4.511918e+05
5.000000e-03	6.000000e-03	2.101060e+08	4.583732e+05	4.583732e+05
6.000000e-03	7.000000e-03	2.106880e+08	4.590076e+05	4.590076e+05
7.000000e-03	8.000000e-03	2.094480e+08	4.576549e+05	4.576549e+05
8.000000e-03	9.000000e-03	2.079980e+08	4.560680e+05	4.560680e+05
9.000000e-03	1.000000e-02	2.039880e+08	4.516503e+05	4.516503e+05
1.000000e-02	1.100000e-02	1.985360e+08	4.455738e+05	4.455738e+05
1.100000e-02	1.200000e-02	1.945980e+08	4.411326e+05	4.411326e+05
1.200000e-02	1.300000e-02	1.889520e+08	4.346861e+05	4.346861e+05
1.300000e-02	1.400000e-02	1.803120e+08	4.246316e+05	4.246316e+05
1.400000e-02	1.500000e-02	1.672190e+08	4.089242e+05	4.089242e+05
1.500000e-02	1.600000e-02	1.533860e+08	3.916452e+05	3.916452e+05
1.600000e-02	1.700000e-02	1.368020e+08	3.698675e+05	3.698675e+05
1.700000e-02	1.800000e-02	1.202420e+08	3.467593e+05	3.467593e+05
1.800000e-02	1.900000e-02	1.050640e+08	3.241358e+05	3.241358e+05
1.900000e-02	2.000000e-02	8.897500e+07	2.982868e+05	2.982868e+05
2.000000e-02	2.100000e-02	7.698900e+07	2.774689e+05	2.774689e+05
2.100000e-02	2.200000e-02	6.420500e+07	2.533871e+05	2.533871e+05
2.200000e-02	2.300000e-02	5.556700e+07	2.357265e+05	2.357265e+05
2.300000e-02	2.400000e-02	4.840100e+07	2.200023e+05	2.200023e+05
