# BEGIN PLOT
DrawOnly=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/G_ChargedParticleJetDist_LightJets /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_MuEnrichedPt5_Tune4C_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/G_ChargedParticleJetDist_LightJets /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_MuEnrichedPt5_PionKaonDecay_Tune4C_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/G_ChargedParticleJetDist_LightJets
RatioPlotReference=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/G_ChargedParticleJetDist_LightJets
RatioPlot=1
Legend=1
XLabel=$d(CP,Jet)$
YLabel=Normalized to Unity
LogY=1
NormalizeToSum=1
# END PLOT

# BEGIN HISTOGRAM /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/G_ChargedParticleJetDist_LightJets
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/G_ChargedParticleJetDist_LightJets
Title=BTAG_JET_TRACK_SEL
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-02	1.777020e+08	9.426080e+04	9.426080e+04
2.000000e-02	4.000000e-02	4.318500e+05	4.646773e+03	4.646773e+03
4.000000e-02	6.000000e-02	3.303500e+05	4.064173e+03	4.064173e+03
6.000000e-02	8.000000e-02	2.887500e+05	3.799671e+03	3.799671e+03
8.000000e-02	1.000000e-01	2.607000e+05	3.610402e+03	3.610402e+03
1.000000e-01	1.200000e-01	2.442500e+05	3.494639e+03	3.494639e+03
1.200000e-01	1.400000e-01	2.219500e+05	3.331291e+03	3.331291e+03
1.400000e-01	1.600000e-01	2.116500e+05	3.253075e+03	3.253075e+03
1.600000e-01	1.800000e-01	1.916500e+05	3.095561e+03	3.095561e+03
1.800000e-01	2.000000e-01	1.777500e+05	2.981191e+03	2.981191e+03
2.000000e-01	2.200000e-01	1.740000e+05	2.949576e+03	2.949576e+03
2.200000e-01	2.400000e-01	1.715500e+05	2.928737e+03	2.928737e+03
2.400000e-01	2.600000e-01	1.568500e+05	2.800446e+03	2.800446e+03
2.600000e-01	2.800000e-01	1.519500e+05	2.756356e+03	2.756356e+03
2.800000e-01	3.000000e-01	1.463500e+05	2.705088e+03	2.705088e+03
3.000000e-01	3.200000e-01	1.382000e+05	2.628688e+03	2.628688e+03
3.200000e-01	3.400000e-01	1.364000e+05	2.611513e+03	2.611513e+03
3.400000e-01	3.600000e-01	1.315000e+05	2.564176e+03	2.564176e+03
3.600000e-01	3.800000e-01	1.271000e+05	2.520913e+03	2.520913e+03
3.800000e-01	4.000000e-01	1.203000e+05	2.452550e+03	2.452550e+03
4.000000e-01	4.200000e-01	1.186000e+05	2.435159e+03	2.435159e+03
4.200000e-01	4.400000e-01	1.132500e+05	2.379601e+03	2.379601e+03
4.400000e-01	4.600000e-01	1.142000e+05	2.389561e+03	2.389561e+03
4.600000e-01	4.800000e-01	1.088000e+05	2.332381e+03	2.332381e+03
