# BEGIN PLOT
DrawOnly=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/J_ChargedParticlePVDxy_LightJets /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_MuEnrichedPt5_Tune4C_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/J_ChargedParticlePVDxy_LightJets /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_MuEnrichedPt5_PionKaonDecay_Tune4C_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/J_ChargedParticlePVDxy_LightJets
RatioPlotReference=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/J_ChargedParticlePVDxy_LightJets
RatioPlot=1
Legend=1
XLabel=$d_{xy}(CP,PV)$
YLabel=Normalized to Unity
LogY=1
NormalizeToSum=1
# END PLOT

# BEGIN HISTOGRAM /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/J_ChargedParticlePVDxy_LightJets
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/J_ChargedParticlePVDxy_LightJets
Title=BTAG_JET_TRACK_SEL
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e-02	7.111938e+07	3.771455e+04	3.771455e+04
5.000000e-02	1.000000e-01	1.898800e+05	1.948743e+03	1.948743e+03
1.000000e-01	1.500000e-01	1.654000e+05	1.818791e+03	1.818791e+03
1.500000e-01	2.000000e-01	1.546600e+05	1.758750e+03	1.758750e+03
2.000000e-01	2.500000e-01	1.431000e+05	1.691745e+03	1.691745e+03
2.500000e-01	3.000000e-01	1.307800e+05	1.617282e+03	1.617282e+03
3.000000e-01	3.500000e-01	1.209000e+05	1.554992e+03	1.554992e+03
3.500000e-01	4.000000e-01	1.155800e+05	1.520395e+03	1.520395e+03
4.000000e-01	4.500000e-01	1.028600e+05	1.434294e+03	1.434294e+03
4.500000e-01	5.000000e-01	9.336000e+04	1.366455e+03	1.366455e+03
5.000000e-01	5.500000e-01	9.192000e+04	1.355876e+03	1.355876e+03
5.500000e-01	6.000000e-01	8.508000e+04	1.304454e+03	1.304454e+03
6.000000e-01	6.500000e-01	7.364000e+04	1.213590e+03	1.213590e+03
6.500000e-01	7.000000e-01	6.536000e+04	1.143328e+03	1.143328e+03
7.000000e-01	7.500000e-01	5.596000e+04	1.057922e+03	1.057922e+03
7.500000e-01	8.000000e-01	4.722000e+04	9.718024e+02	9.718024e+02
8.000000e-01	8.500000e-01	4.364000e+04	9.342377e+02	9.342377e+02
8.500000e-01	9.000000e-01	3.836000e+04	8.758995e+02	8.758995e+02
9.000000e-01	9.500000e-01	3.308000e+04	8.133880e+02	8.133880e+02
9.500000e-01	1.000000e+00	3.226000e+04	8.032434e+02	8.032434e+02
1.000000e+00	1.050000e+00	2.798000e+04	7.480642e+02	7.480642e+02
1.050000e+00	1.100000e+00	2.622000e+04	7.241547e+02	7.241547e+02
1.100000e+00	1.150000e+00	2.234000e+04	6.684310e+02	6.684310e+02
1.150000e+00	1.200000e+00	2.098000e+04	6.477654e+02	6.477654e+02
