# BEGIN PLOT
DrawOnly=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/K_ChargedParticlePVDz_LightJets /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_MuEnrichedPt5_Tune4C_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/K_ChargedParticlePVDz_LightJets /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_MuEnrichedPt5_PionKaonDecay_Tune4C_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/K_ChargedParticlePVDz_LightJets
RatioPlotReference=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/K_ChargedParticlePVDz_LightJets
RatioPlot=1
Legend=1
XLabel=$d_{z}(CP,PV)$
YLabel=Normalized to Unity
LogY=1
NormalizeToSum=1
# END PLOT

# BEGIN HISTOGRAM /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/K_ChargedParticlePVDz_LightJets
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/K_ChargedParticlePVDz_LightJets
Title=BTAG_JET_TRACK_SEL
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	1.803498e+07	9.496048e+03	9.496048e+03
2.000000e-01	4.000000e-01	1.153750e+05	7.595229e+02	7.595229e+02
4.000000e-01	6.000000e-01	5.882500e+04	5.423329e+02	5.423329e+02
6.000000e-01	8.000000e-01	3.077000e+04	3.922372e+02	3.922372e+02
8.000000e-01	1.000000e+00	1.673500e+04	2.892663e+02	2.892663e+02
1.000000e+00	1.200000e+00	1.094500e+04	2.339338e+02	2.339338e+02
1.200000e+00	1.400000e+00	7.650000e+03	1.955761e+02	1.955761e+02
1.400000e+00	1.600000e+00	5.105000e+03	1.597655e+02	1.597655e+02
1.600000e+00	1.800000e+00	3.775000e+03	1.373863e+02	1.373863e+02
1.800000e+00	2.000000e+00	2.850000e+03	1.193734e+02	1.193734e+02
2.000000e+00	2.200000e+00	2.150000e+03	1.036822e+02	1.036822e+02
2.200000e+00	2.400000e+00	1.665000e+03	9.124144e+01	9.124144e+01
2.400000e+00	2.600000e+00	1.240000e+03	7.874008e+01	7.874008e+01
2.600000e+00	2.800000e+00	9.600000e+02	6.928203e+01	6.928203e+01
2.800000e+00	3.000000e+00	8.750000e+02	6.614378e+01	6.614378e+01
3.000000e+00	3.200000e+00	7.150000e+02	5.979130e+01	5.979130e+01
3.200000e+00	3.400000e+00	5.150000e+02	5.074446e+01	5.074446e+01
3.400000e+00	3.600000e+00	4.550000e+02	4.769696e+01	4.769696e+01
3.600000e+00	3.800000e+00	2.900000e+02	3.807887e+01	3.807887e+01
3.800000e+00	4.000000e+00	3.700000e+02	4.301163e+01	4.301163e+01
4.000000e+00	4.200000e+00	2.050000e+02	3.201562e+01	3.201562e+01
4.200000e+00	4.400000e+00	2.200000e+02	3.316625e+01	3.316625e+01
4.400000e+00	4.600000e+00	1.900000e+02	3.082207e+01	3.082207e+01
4.600000e+00	4.800000e+00	2.050000e+02	3.201562e+01	3.201562e+01
4.800000e+00	5.000000e+00	1.350000e+02	2.598076e+01	2.598076e+01
5.000000e+00	5.200000e+00	1.250000e+02	2.500000e+01	2.500000e+01
5.200000e+00	5.400000e+00	6.500000e+01	1.802776e+01	1.802776e+01
5.400000e+00	5.600000e+00	1.000000e+02	2.236068e+01	2.236068e+01
5.600000e+00	5.800000e+00	5.000000e+01	1.581139e+01	1.581139e+01
5.800000e+00	6.000000e+00	6.500000e+01	1.802776e+01	1.802776e+01
6.000000e+00	6.200000e+00	4.500000e+01	1.500000e+01	1.500000e+01
6.200000e+00	6.400000e+00	6.000000e+01	1.732051e+01	1.732051e+01
6.400000e+00	6.600000e+00	3.500000e+01	1.322876e+01	1.322876e+01
6.600000e+00	6.800000e+00	2.000000e+01	1.000000e+01	1.000000e+01
6.800000e+00	7.000000e+00	5.500000e+01	1.658312e+01	1.658312e+01
7.000000e+00	7.200000e+00	3.500000e+01	1.322876e+01	1.322876e+01
7.200000e+00	7.400000e+00	2.500000e+01	1.118034e+01	1.118034e+01
7.400000e+00	7.600000e+00	1.500000e+01	8.660254e+00	8.660254e+00
7.600000e+00	7.800000e+00	1.000000e+01	7.071068e+00	7.071068e+00
7.800000e+00	8.000000e+00	1.000000e+01	7.071068e+00	7.071068e+00
8.000000e+00	8.200000e+00	5.000000e+00	5.000000e+00	5.000000e+00
8.200000e+00	8.400000e+00	1.500000e+01	8.660254e+00	8.660254e+00
8.400000e+00	8.600000e+00	5.000000e+00	5.000000e+00	5.000000e+00
8.600000e+00	8.800000e+00	5.000000e+00	5.000000e+00	5.000000e+00
8.800000e+00	9.000000e+00	1.000000e+01	7.071068e+00	7.071068e+00
9.000000e+00	9.200000e+00	5.000000e+00	5.000000e+00	5.000000e+00
9.200000e+00	9.400000e+00	1.000000e+01	7.071068e+00	7.071068e+00
9.400000e+00	9.600000e+00	1.000000e+01	7.071068e+00	7.071068e+00
9.600000e+00	9.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.800000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTOGRAM

