# BEGIN PLOT
DrawOnly=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/M_ChargedParticleIP_BottomJets /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_MuEnrichedPt5_Tune4C_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/M_ChargedParticleIP_BottomJets /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_MuEnrichedPt5_PionKaonDecay_Tune4C_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/M_ChargedParticleIP_BottomJets
RatioPlotReference=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/M_ChargedParticleIP_BottomJets
RatioPlot=1
Legend=1
XLabel=$IP(CP,PV)$
YLabel=Normalized to Unity
LogY=1
NormalizeToSum=1
# END PLOT

# BEGIN HISTOGRAM /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/M_ChargedParticleIP_BottomJets
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/M_ChargedParticleIP_BottomJets
Title=BTAG_JET_TRACK_SEL
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
-3.000000e+00	-2.800000e+00	8.500000e+02	6.519202e+01	6.519202e+01
-2.800000e+00	-2.600000e+00	1.310000e+03	8.093207e+01	8.093207e+01
-2.600000e+00	-2.400000e+00	2.130000e+03	1.031988e+02	1.031988e+02
-2.400000e+00	-2.200000e+00	3.205000e+03	1.265899e+02	1.265899e+02
-2.200000e+00	-2.000000e+00	6.990000e+03	1.869492e+02	1.869492e+02
-2.000000e+00	-1.800000e+00	1.267000e+04	2.516943e+02	2.516943e+02
-1.800000e+00	-1.600000e+00	1.622500e+04	2.848245e+02	2.848245e+02
-1.600000e+00	-1.400000e+00	2.019000e+04	3.177263e+02	3.177263e+02
-1.400000e+00	-1.200000e+00	2.543000e+04	3.565810e+02	3.565810e+02
-1.200000e+00	-1.000000e+00	3.512000e+04	4.190465e+02	4.190465e+02
-1.000000e+00	-8.000000e-01	4.628000e+04	4.810405e+02	4.810405e+02
-8.000000e-01	-6.000000e-01	6.955500e+04	5.897245e+02	5.897245e+02
-6.000000e-01	-4.000000e-01	1.017050e+05	7.131094e+02	7.131094e+02
-4.000000e-01	-2.000000e-01	1.654800e+05	9.096153e+02	9.096153e+02
-2.000000e-01	3.885781e-16	2.071905e+06	3.218622e+03	3.218622e+03
3.885781e-16	2.000000e-01	1.293500e+06	2.543128e+03	2.543128e+03
2.000000e-01	4.000000e-01	5.771150e+05	1.698698e+03	1.698698e+03
4.000000e-01	6.000000e-01	3.157550e+05	1.256493e+03	1.256493e+03
6.000000e-01	8.000000e-01	1.853400e+05	9.626526e+02	9.626526e+02
8.000000e-01	1.000000e+00	1.089300e+05	7.380041e+02	7.380041e+02
1.000000e+00	1.200000e+00	6.843000e+04	5.849359e+02	5.849359e+02
1.200000e+00	1.400000e+00	4.468000e+04	4.726521e+02	4.726521e+02
1.400000e+00	1.600000e+00	2.958500e+04	3.846102e+02	3.846102e+02
1.600000e+00	1.800000e+00	1.995500e+04	3.158718e+02	3.158718e+02
1.800000e+00	2.000000e+00	1.414000e+04	2.658947e+02	2.658947e+02
2.000000e+00	2.200000e+00	6.645000e+03	1.822773e+02	1.822773e+02
2.200000e+00	2.400000e+00	3.235000e+03	1.271810e+02	1.271810e+02
2.400000e+00	2.600000e+00	2.020000e+03	1.004988e+02	1.004988e+02
2.600000e+00	2.800000e+00	1.150000e+03	7.582875e+01	7.582875e+01
2.800000e+00	3.000000e+00	7.600000e+02	6.164414e+01	6.164414e+01
3.000000e+00	3.200000e+00	4.600000e+02	4.795832e+01	4.795832e+01
3.200000e+00	3.400000e+00	3.550000e+02	4.213075e+01	4.213075e+01
3.400000e+00	3.600000e+00	2.300000e+02	3.391165e+01	3.391165e+01
3.600000e+00	3.800000e+00	1.150000e+02	2.397916e+01	2.397916e+01
3.800000e+00	4.000000e+00	1.200000e+02	2.449490e+01	2.449490e+01
4.000000e+00	4.200000e+00	1.100000e+02	2.345208e+01	2.345208e+01
4.200000e+00	4.400000e+00	8.000000e+01	2.000000e+01	2.000000e+01
4.400000e+00	4.600000e+00	8.500000e+01	2.061553e+01	2.061553e+01
4.600000e+00	4.800000e+00	4.000000e+01	1.414214e+01	1.414214e+01
4.800000e+00	5.000000e+00	6.500000e+01	1.802776e+01	1.802776e+01
5.000000e+00	5.200000e+00	2.000000e+01	1.000000e+01	1.000000e+01
5.200000e+00	5.400000e+00	4.500000e+01	1.500000e+01	1.500000e+01
5.400000e+00	5.600000e+00	1.500000e+01	8.660254e+00	8.660254e+00
5.600000e+00	5.800000e+00	1.000000e+01	7.071068e+00	7.071068e+00
5.800000e+00	6.000000e+00	5.000000e+00	5.000000e+00	5.000000e+00
6.000000e+00	6.200000e+00	1.000000e+01	7.071068e+00	7.071068e+00
6.200000e+00	6.400000e+00	2.000000e+01	1.000000e+01	1.000000e+01
6.400000e+00	6.600000e+00	5.000000e+00	5.000000e+00	5.000000e+00
6.600000e+00	6.800000e+00	1.000000e+01	7.071068e+00	7.071068e+00
6.800000e+00	7.000000e+00	5.000000e+00	5.000000e+00	5.000000e+00
# END HISTOGRAM

# BEGIN HISTOGRAM /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_MuEnrichedPt5_Tune4C_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/M_ChargedParticleIP_BottomJets
LineColor={[HTML]{3366FF}}
LineStyle=solid
Path=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_MuEnrichedPt5_Tune4C_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/M_ChargedParticleIP_BottomJets
Title=BTAG_JET_TRACK_SEL
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
-3.000000e+00	-2.800000e+00	4.455000e+03	1.492481e+02	1.492481e+02
-2.800000e+00	-2.600000e+00	7.000000e+03	1.870829e+02	1.870829e+02
-2.600000e+00	-2.400000e+00	1.016500e+04	2.254440e+02	2.254440e+02
-2.400000e+00	-2.200000e+00	1.665500e+04	2.885741e+02	2.885741e+02
-2.200000e+00	-2.000000e+00	3.340500e+04	4.086869e+02	4.086869e+02
-2.000000e+00	-1.800000e+00	6.435500e+04	5.672521e+02	5.672521e+02
-1.800000e+00	-1.600000e+00	8.149500e+04	6.383377e+02	6.383377e+02
-1.600000e+00	-1.400000e+00	1.020600e+05	7.143529e+02	7.143529e+02
-1.400000e+00	-1.200000e+00	1.299400e+05	8.060397e+02	8.060397e+02
-1.200000e+00	-1.000000e+00	1.673800e+05	9.148224e+02	9.148224e+02
-1.000000e+00	-8.000000e-01	2.259300e+05	1.062850e+03	1.062850e+03
-8.000000e-01	-6.000000e-01	3.291150e+05	1.282800e+03	1.282800e+03
-6.000000e-01	-4.000000e-01	4.812550e+05	1.551217e+03	1.551217e+03
-4.000000e-01	-2.000000e-01	7.748950e+05	1.968369e+03	1.968369e+03
-2.000000e-01	3.885781e-16	9.420300e+06	6.863053e+03	6.863053e+03
3.885781e-16	2.000000e-01	5.848390e+06	5.407583e+03	5.407583e+03
2.000000e-01	4.000000e-01	2.683150e+06	3.662752e+03	3.662752e+03
4.000000e-01	6.000000e-01	1.473515e+06	2.714328e+03	2.714328e+03
6.000000e-01	8.000000e-01	8.694850e+05	2.085048e+03	2.085048e+03
8.000000e-01	1.000000e+00	5.107700e+05	1.598077e+03	1.598077e+03
1.000000e+00	1.200000e+00	3.206950e+05	1.266284e+03	1.266284e+03
1.200000e+00	1.400000e+00	2.062100e+05	1.015406e+03	1.015406e+03
1.400000e+00	1.600000e+00	1.368350e+05	8.271487e+02	8.271487e+02
1.600000e+00	1.800000e+00	9.603500e+04	6.929466e+02	6.929466e+02
1.800000e+00	2.000000e+00	6.681500e+04	5.779922e+02	5.779922e+02
2.000000e+00	2.200000e+00	3.237500e+04	4.023369e+02	4.023369e+02
2.200000e+00	2.400000e+00	1.514500e+04	2.751818e+02	2.751818e+02
2.400000e+00	2.600000e+00	8.525000e+03	2.064582e+02	2.064582e+02
2.600000e+00	2.800000e+00	5.550000e+03	1.665833e+02	1.665833e+02
2.800000e+00	3.000000e+00	3.505000e+03	1.323820e+02	1.323820e+02
3.000000e+00	3.200000e+00	2.420000e+03	1.100000e+02	1.100000e+02
3.200000e+00	3.400000e+00	1.725000e+03	9.287088e+01	9.287088e+01
3.400000e+00	3.600000e+00	1.180000e+03	7.681146e+01	7.681146e+01
3.600000e+00	3.800000e+00	9.600000e+02	6.928203e+01	6.928203e+01
3.800000e+00	4.000000e+00	7.350000e+02	6.062178e+01	6.062178e+01
4.000000e+00	4.200000e+00	5.550000e+02	5.267827e+01	5.267827e+01
4.200000e+00	4.400000e+00	4.750000e+02	4.873397e+01	4.873397e+01
4.400000e+00	4.600000e+00	3.450000e+02	4.153312e+01	4.153312e+01
4.600000e+00	4.800000e+00	2.150000e+02	3.278719e+01	3.278719e+01
4.800000e+00	5.000000e+00	2.900000e+02	3.807887e+01	3.807887e+01
5.000000e+00	5.200000e+00	2.400000e+02	3.464102e+01	3.464102e+01
5.200000e+00	5.400000e+00	1.800000e+02	3.000000e+01	3.000000e+01
5.400000e+00	5.600000e+00	1.100000e+02	2.345208e+01	2.345208e+01
5.600000e+00	5.800000e+00	1.100000e+02	2.345208e+01	2.345208e+01
5.800000e+00	6.000000e+00	9.000000e+01	2.121320e+01	2.121320e+01
6.000000e+00	6.200000e+00	8.000000e+01	2.000000e+01	2.000000e+01
6.200000e+00	6.400000e+00	6.000000e+01	1.732051e+01	1.732051e+01
6.400000e+00	6.600000e+00	7.500000e+01	1.936492e+01	1.936492e+01
6.600000e+00	6.800000e+00	3.500000e+01	1.322876e+01	1.322876e+01
6.800000e+00	7.000000e+00	2.500000e+01	1.118034e+01	1.118034e+01
# END HISTOGRAM

# BEGIN HISTOGRAM /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_MuEnrichedPt5_PionKaonDecay_Tune4C_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/M_ChargedParticleIP_BottomJets
LineColor={[HTML]{109618}}
LineStyle=solid
Path=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_MuEnrichedPt5_PionKaonDecay_Tune4C_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/M_ChargedParticleIP_BottomJets
