# BEGIN PLOT
DrawOnly=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/M_ChargedParticleIP_CharmJets /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_MuEnrichedPt5_Tune4C_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/M_ChargedParticleIP_CharmJets /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_MuEnrichedPt5_PionKaonDecay_Tune4C_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/M_ChargedParticleIP_CharmJets
RatioPlotReference=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/M_ChargedParticleIP_CharmJets
RatioPlot=1
Legend=1
XLabel=$IP(CP,PV)$
YLabel=Normalized to Unity
LogY=1
NormalizeToSum=1
# END PLOT

# BEGIN HISTOGRAM /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/M_ChargedParticleIP_CharmJets
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/M_ChargedParticleIP_CharmJets
Title=BTAG_JET_TRACK_SEL
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
-3.000000e+00	-2.800000e+00	5.350000e+02	5.172040e+01	5.172040e+01
-2.800000e+00	-2.600000e+00	7.600000e+02	6.164414e+01	6.164414e+01
-2.600000e+00	-2.400000e+00	9.500000e+02	6.892024e+01	6.892024e+01
-2.400000e+00	-2.200000e+00	1.685000e+03	9.178780e+01	9.178780e+01
-2.200000e+00	-2.000000e+00	3.270000e+03	1.278671e+02	1.278671e+02
-2.000000e+00	-1.800000e+00	6.130000e+03	1.750714e+02	1.750714e+02
-1.800000e+00	-1.600000e+00	8.425000e+03	2.052438e+02	2.052438e+02
-1.600000e+00	-1.400000e+00	1.094500e+04	2.339338e+02	2.339338e+02
-1.400000e+00	-1.200000e+00	1.438500e+04	2.681884e+02	2.681884e+02
-1.200000e+00	-1.000000e+00	1.986000e+04	3.151190e+02	3.151190e+02
-1.000000e+00	-8.000000e-01	2.947000e+04	3.838620e+02	3.838620e+02
-8.000000e-01	-6.000000e-01	4.523000e+04	4.755523e+02	4.755523e+02
-6.000000e-01	-4.000000e-01	6.928000e+04	5.885576e+02	5.885576e+02
-4.000000e-01	-2.000000e-01	1.194350e+05	7.727710e+02	7.727710e+02
-2.000000e-01	3.885781e-16	3.190810e+06	3.994252e+03	3.994252e+03
3.885781e-16	2.000000e-01	1.027835e+06	2.266975e+03	2.266975e+03
2.000000e-01	4.000000e-01	1.679300e+05	9.163242e+02	9.163242e+02
4.000000e-01	6.000000e-01	6.178000e+04	5.557877e+02	5.557877e+02
6.000000e-01	8.000000e-01	2.981500e+04	3.861023e+02	3.861023e+02
8.000000e-01	1.000000e+00	1.509000e+04	2.746816e+02	2.746816e+02
1.000000e+00	1.200000e+00	9.155000e+03	2.139509e+02	2.139509e+02
1.200000e+00	1.400000e+00	5.515000e+03	1.660572e+02	1.660572e+02
1.400000e+00	1.600000e+00	3.880000e+03	1.392839e+02	1.392839e+02
1.600000e+00	1.800000e+00	2.525000e+03	1.123610e+02	1.123610e+02
1.800000e+00	2.000000e+00	1.990000e+03	9.974969e+01	9.974969e+01
2.000000e+00	2.200000e+00	1.070000e+03	7.314369e+01	7.314369e+01
2.200000e+00	2.400000e+00	6.150000e+02	5.545268e+01	5.545268e+01
2.400000e+00	2.600000e+00	4.350000e+02	4.663690e+01	4.663690e+01
2.600000e+00	2.800000e+00	2.800000e+02	3.741657e+01	3.741657e+01
2.800000e+00	3.000000e+00	1.550000e+02	2.783882e+01	2.783882e+01
3.000000e+00	3.200000e+00	1.300000e+02	2.549510e+01	2.549510e+01
3.200000e+00	3.400000e+00	1.500000e+02	2.738613e+01	2.738613e+01
3.400000e+00	3.600000e+00	1.350000e+02	2.598076e+01	2.598076e+01
3.600000e+00	3.800000e+00	6.500000e+01	1.802776e+01	1.802776e+01
3.800000e+00	4.000000e+00	5.500000e+01	1.658312e+01	1.658312e+01
4.000000e+00	4.200000e+00	3.000000e+01	1.224745e+01	1.224745e+01
4.200000e+00	4.400000e+00	2.000000e+01	1.000000e+01	1.000000e+01
4.400000e+00	4.600000e+00	4.000000e+01	1.414214e+01	1.414214e+01
4.600000e+00	4.800000e+00	3.000000e+01	1.224745e+01	1.224745e+01
4.800000e+00	5.000000e+00	2.500000e+01	1.118034e+01	1.118034e+01
5.000000e+00	5.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.200000e+00	5.400000e+00	2.000000e+01	1.000000e+01	1.000000e+01
5.400000e+00	5.600000e+00	5.000000e+00	5.000000e+00	5.000000e+00
5.600000e+00	5.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.800000e+00	6.000000e+00	1.500000e+01	8.660254e+00	8.660254e+00
6.000000e+00	6.200000e+00	1.000000e+01	7.071068e+00	7.071068e+00
6.200000e+00	6.400000e+00	1.000000e+01	7.071068e+00	7.071068e+00
6.400000e+00	6.600000e+00	5.000000e+00	5.000000e+00	5.000000e+00
6.600000e+00	6.800000e+00	1.000000e+01	7.071068e+00	7.071068e+00
6.800000e+00	7.000000e+00	5.000000e+00	5.000000e+00	5.000000e+00
# END HISTOGRAM

# BEGIN HISTOGRAM /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_MuEnrichedPt5_Tune4C_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/M_ChargedParticleIP_CharmJets
LineColor={[HTML]{3366FF}}
LineStyle=solid
Path=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_MuEnrichedPt5_Tune4C_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/M_ChargedParticleIP_CharmJets
Title=BTAG_JET_TRACK_SEL
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
-3.000000e+00	-2.800000e+00	3.055000e+03	1.235921e+02	1.235921e+02
-2.800000e+00	-2.600000e+00	4.435000e+03	1.489127e+02	1.489127e+02
-2.600000e+00	-2.400000e+00	6.885000e+03	1.855398e+02	1.855398e+02
-2.400000e+00	-2.200000e+00	1.099500e+04	2.344675e+02	2.344675e+02
-2.200000e+00	-2.000000e+00	2.160000e+04	3.286335e+02	3.286335e+02
-2.000000e+00	-1.800000e+00	4.187500e+04	4.575751e+02	4.575751e+02
-1.800000e+00	-1.600000e+00	5.339000e+04	5.166720e+02	5.166720e+02
-1.600000e+00	-1.400000e+00	6.887500e+04	5.868347e+02	5.868347e+02
-1.400000e+00	-1.200000e+00	8.947000e+04	6.688423e+02	6.688423e+02
-1.200000e+00	-1.000000e+00	1.198950e+05	7.742577e+02	7.742577e+02
-1.000000e+00	-8.000000e-01	1.664450e+05	9.122637e+02	9.122637e+02
-8.000000e-01	-6.000000e-01	2.520600e+05	1.122631e+03	1.122631e+03
-6.000000e-01	-4.000000e-01	3.774300e+05	1.373736e+03	1.373736e+03
-4.000000e-01	-2.000000e-01	6.463350e+05	1.797686e+03	1.797686e+03
-2.000000e-01	3.885781e-16	1.374723e+07	8.290727e+03	8.290727e+03
3.885781e-16	2.000000e-01	4.165890e+06	4.563929e+03	4.563929e+03
2.000000e-01	4.000000e-01	7.634250e+05	1.953746e+03	1.953746e+03
4.000000e-01	6.000000e-01	2.861150e+05	1.196066e+03	1.196066e+03
6.000000e-01	8.000000e-01	1.401600e+05	8.371380e+02	8.371380e+02
8.000000e-01	1.000000e+00	6.628000e+04	5.756735e+02	5.756735e+02
1.000000e+00	1.200000e+00	3.759000e+04	4.335320e+02	4.335320e+02
1.200000e+00	1.400000e+00	2.315000e+04	3.402205e+02	3.402205e+02
1.400000e+00	1.600000e+00	1.586000e+04	2.816026e+02	2.816026e+02
1.600000e+00	1.800000e+00	1.122000e+04	2.368544e+02	2.368544e+02
1.800000e+00	2.000000e+00	8.110000e+03	2.013703e+02	2.013703e+02
2.000000e+00	2.200000e+00	4.595000e+03	1.515751e+02	1.515751e+02
2.200000e+00	2.400000e+00	2.455000e+03	1.107926e+02	1.107926e+02
2.400000e+00	2.600000e+00	1.700000e+03	9.219544e+01	9.219544e+01
2.600000e+00	2.800000e+00	1.280000e+03	8.000000e+01	8.000000e+01
2.800000e+00	3.000000e+00	9.500000e+02	6.892024e+01	6.892024e+01
3.000000e+00	3.200000e+00	5.700000e+02	5.338539e+01	5.338539e+01
3.200000e+00	3.400000e+00	4.150000e+02	4.555217e+01	4.555217e+01
3.400000e+00	3.600000e+00	3.050000e+02	3.905125e+01	3.905125e+01
3.600000e+00	3.800000e+00	3.350000e+02	4.092676e+01	4.092676e+01
3.800000e+00	4.000000e+00	2.150000e+02	3.278719e+01	3.278719e+01
4.000000e+00	4.200000e+00	2.250000e+02	3.354102e+01	3.354102e+01
4.200000e+00	4.400000e+00	1.800000e+02	3.000000e+01	3.000000e+01
4.400000e+00	4.600000e+00	1.000000e+02	2.236068e+01	2.236068e+01
4.600000e+00	4.800000e+00	1.500000e+02	2.738613e+01	2.738613e+01
4.800000e+00	5.000000e+00	1.150000e+02	2.397916e+01	2.397916e+01
5.000000e+00	5.200000e+00	7.000000e+01	1.870829e+01	1.870829e+01
5.200000e+00	5.400000e+00	6.000000e+01	1.732051e+01	1.732051e+01
5.400000e+00	5.600000e+00	2.500000e+01	1.118034e+01	1.118034e+01
5.600000e+00	5.800000e+00	4.000000e+01	1.414214e+01	1.414214e+01
5.800000e+00	6.000000e+00	7.000000e+01	1.870829e+01	1.870829e+01
6.000000e+00	6.200000e+00	3.500000e+01	1.322876e+01	1.322876e+01
6.200000e+00	6.400000e+00	3.500000e+01	1.322876e+01	1.322876e+01
6.400000e+00	6.600000e+00	2.500000e+01	1.118034e+01	1.118034e+01
6.600000e+00	6.800000e+00	1.000000e+01	7.071068e+00	7.071068e+00
6.800000e+00	7.000000e+00	3.000000e+01	1.224745e+01	1.224745e+01
# END HISTOGRAM

# BEGIN HISTOGRAM /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_MuEnrichedPt5_PionKaonDecay_Tune4C_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/M_ChargedParticleIP_CharmJets
LineColor={[HTML]{109618}}
LineStyle=solid
Path=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_MuEnrichedPt5_PionKaonDecay_Tune4C_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/M_ChargedParticleIP_CharmJets
Title=BTAG_JET_TRACK_SEL
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
-3.000000e+00	-2.800000e+00	4.325000e+03	1.470544e+02	1.470544e+02
-2.800000e+00	-2.600000e+00	6.300000e+03	1.774824e+02	1.774824e+02
-2.600000e+00	-2.400000e+00	9.480000e+03	2.177154e+02	2.177154e+02
-2.400000e+00	-2.200000e+00	1.619000e+04	2.845171e+02	2.845171e+02
-2.200000e+00	-2.000000e+00	3.187500e+04	3.992180e+02	3.992180e+02
-2.000000e+00	-1.800000e+00	6.247000e+04	5.588828e+02	5.588828e+02
-1.800000e+00	-1.600000e+00	7.813000e+04	6.250200e+02	6.250200e+02
-1.600000e+00	-1.400000e+00	1.013650e+05	7.119164e+02	7.119164e+02
-1.400000e+00	-1.200000e+00	1.336950e+05	8.176032e+02	8.176032e+02
-1.200000e+00	-1.000000e+00	1.799700e+05	9.486042e+02	9.486042e+02
-1.000000e+00	-8.000000e-01	2.510100e+05	1.120290e+03	1.120290e+03
-8.000000e-01	-6.000000e-01	3.788450e+05	1.376308e+03	1.376308e+03
-6.000000e-01	-4.000000e-01	5.798150e+05	1.702667e+03	1.702667e+03
-4.000000e-01	-2.000000e-01	9.997300e+05	2.235766e+03	2.235766e+03
-2.000000e-01	3.885781e-16	2.356285e+07	1.085423e+04	1.085423e+04
3.885781e-16	2.000000e-01	6.937645e+06	5.889671e+03	5.889671e+03
2.000000e-01	4.000000e-01	1.273680e+06	2.523569e+03	2.523569e+03
4.000000e-01	6.000000e-01	4.884350e+05	1.562746e+03	1.562746e+03
6.000000e-01	8.000000e-01	2.422600e+05	1.100591e+03	1.100591e+03
8.000000e-01	1.000000e+00	1.192350e+05	7.721237e+02	7.721237e+02
1.000000e+00	1.200000e+00	6.849500e+04	5.852136e+02	5.852136e+02
1.200000e+00	1.400000e+00	4.433500e+04	4.708237e+02	4.708237e+02
1.400000e+00	1.600000e+00	2.974000e+04	3.856164e+02	3.856164e+02
1.600000e+00	1.800000e+00	2.142500e+04	3.272996e+02	3.272996e+02
1.800000e+00	2.000000e+00	1.577500e+04	2.808469e+02	2.808469e+02
2.000000e+00	2.200000e+00	8.685000e+03	2.083867e+02	2.083867e+02
2.200000e+00	2.400000e+00	4.815000e+03	1.551612e+02	1.551612e+02
2.400000e+00	2.600000e+00	3.335000e+03	1.291317e+02	1.291317e+02
2.600000e+00	2.800000e+00	2.230000e+03	1.055936e+02	1.055936e+02
2.800000e+00	3.000000e+00	1.510000e+03	8.689074e+01	8.689074e+01
