# BEGIN PLOT
DrawOnly=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/N_ChargedTrackVertexPVDist_AllJets /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_MuEnrichedPt5_Tune4C_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/N_ChargedTrackVertexPVDist_AllJets /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_MuEnrichedPt5_PionKaonDecay_Tune4C_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/N_ChargedTrackVertexPVDist_AllJets
RatioPlotReference=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/N_ChargedTrackVertexPVDist_AllJets
RatioPlot=1
Legend=1
XLabel=$d(CPV,PV)$
YLabel=Normalized to Unity
LogY=1
NormalizeToSum=1
# END PLOT

# BEGIN HISTOGRAM /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/N_ChargedTrackVertexPVDist_AllJets
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/N_ChargedTrackVertexPVDist_AllJets
Title=BTAG_JET_TRACK_SEL
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.000000e+00	1.688005e+06	7.501122e+02	7.501122e+02
3.000000e+00	6.000000e+00	8.248400e+04	1.658152e+02	1.658152e+02
6.000000e+00	9.000000e+00	4.406567e+04	1.211964e+02	1.211964e+02
9.000000e+00	1.200000e+01	2.615467e+04	9.337142e+01	9.337142e+01
1.200000e+01	1.500000e+01	1.653833e+04	7.424808e+01	7.424808e+01
1.500000e+01	1.800000e+01	1.129300e+04	6.135416e+01	6.135416e+01
1.800000e+01	2.100000e+01	7.803333e+03	5.100109e+01	5.100109e+01
2.100000e+01	2.400000e+01	5.332667e+03	4.216107e+01	4.216107e+01
2.400000e+01	2.700000e+01	3.691000e+03	3.507611e+01	3.507611e+01
2.700000e+01	3.000000e+01	2.523333e+03	2.900192e+01	2.900192e+01
3.000000e+01	3.300000e+01	1.776000e+03	2.433105e+01	2.433105e+01
3.300000e+01	3.600000e+01	1.224667e+03	2.020451e+01	2.020451e+01
3.600000e+01	3.900000e+01	8.640000e+02	1.697056e+01	1.697056e+01
3.900000e+01	4.200000e+01	5.820000e+02	1.392839e+01	1.392839e+01
4.200000e+01	4.500000e+01	4.040000e+02	1.160460e+01	1.160460e+01
4.500000e+01	4.800000e+01	2.710000e+02	9.504385e+00	9.504385e+00
4.800000e+01	5.100000e+01	1.776667e+02	7.695598e+00	7.695598e+00
5.100000e+01	5.400000e+01	1.096667e+02	6.046119e+00	6.046119e+00
5.400000e+01	5.700000e+01	7.666667e+01	5.055250e+00	5.055250e+00
5.700000e+01	6.000000e+01	5.466667e+01	4.268749e+00	4.268749e+00
6.000000e+01	6.300000e+01	4.366667e+01	3.815174e+00	3.815174e+00
6.300000e+01	6.600000e+01	2.833333e+01	3.073181e+00	3.073181e+00
6.600000e+01	6.900000e+01	1.766667e+01	2.426703e+00	2.426703e+00
6.900000e+01	7.200000e+01	1.566667e+01	2.285218e+00	2.285218e+00
