# BEGIN PLOT
DrawOnly=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/N_ChargedTrackVertexPVDist_BottomJets /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_MuEnrichedPt5_Tune4C_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/N_ChargedTrackVertexPVDist_BottomJets /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_MuEnrichedPt5_PionKaonDecay_Tune4C_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/N_ChargedTrackVertexPVDist_BottomJets
RatioPlotReference=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/N_ChargedTrackVertexPVDist_BottomJets
RatioPlot=1
Legend=1
XLabel=$d(CPV,PV)$
YLabel=Normalized to Unity
LogY=1
NormalizeToSum=1
# END PLOT

# BEGIN HISTOGRAM /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/N_ChargedTrackVertexPVDist_BottomJets
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/N_ChargedTrackVertexPVDist_BottomJets
Title=BTAG_JET_TRACK_SEL
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.000000e+00	2.119090e+05	2.657750e+02	2.657750e+02
3.000000e+00	6.000000e+00	5.293967e+04	1.328403e+02	1.328403e+02
6.000000e+00	9.000000e+00	3.032200e+04	1.005352e+02	1.005352e+02
9.000000e+00	1.200000e+01	1.831967e+04	7.814445e+01	7.814445e+01
1.200000e+01	1.500000e+01	1.158733e+04	6.214857e+01	6.214857e+01
1.500000e+01	1.800000e+01	7.923333e+03	5.139174e+01	5.139174e+01
1.800000e+01	2.100000e+01	5.315000e+03	4.209117e+01	4.209117e+01
2.100000e+01	2.400000e+01	3.620000e+03	3.473711e+01	3.473711e+01
2.400000e+01	2.700000e+01	2.515667e+03	2.895782e+01	2.895782e+01
2.700000e+01	3.000000e+01	1.807667e+03	2.454701e+01	2.454701e+01
3.000000e+01	3.300000e+01	1.285000e+03	2.069622e+01	2.069622e+01
3.300000e+01	3.600000e+01	8.860000e+02	1.718527e+01	1.718527e+01
3.600000e+01	3.900000e+01	6.160000e+02	1.432946e+01	1.432946e+01
3.900000e+01	4.200000e+01	4.100000e+02	1.169045e+01	1.169045e+01
4.200000e+01	4.500000e+01	2.830000e+02	9.712535e+00	9.712535e+00
4.500000e+01	4.800000e+01	2.010000e+02	8.185353e+00	8.185353e+00
4.800000e+01	5.100000e+01	1.200000e+02	6.324555e+00	6.324555e+00
5.100000e+01	5.400000e+01	7.900000e+01	5.131601e+00	5.131601e+00
5.400000e+01	5.700000e+01	5.166667e+01	4.149967e+00	4.149967e+00
5.700000e+01	6.000000e+01	3.500000e+01	3.415650e+00	3.415650e+00
6.000000e+01	6.300000e+01	2.600000e+01	2.943920e+00	2.943920e+00
6.300000e+01	6.600000e+01	1.566667e+01	2.285218e+00	2.285218e+00
6.600000e+01	6.900000e+01	1.033333e+01	1.855921e+00	1.855921e+00
6.900000e+01	7.200000e+01	1.000000e+01	1.825742e+00	1.825742e+00
7.200000e+01	7.500000e+01	5.333333e+00	1.333333e+00	1.333333e+00
7.500000e+01	7.800000e+01	6.333333e+00	1.452966e+00	1.452966e+00
7.800000e+01	8.100000e+01	6.333333e+00	1.452966e+00	1.452966e+00
8.100000e+01	8.400000e+01	4.000000e+00	1.154701e+00	1.154701e+00
8.400000e+01	8.700000e+01	2.666667e+00	9.428090e-01	9.428090e-01
8.700000e+01	9.000000e+01	6.666667e-01	4.714045e-01	4.714045e-01
9.000000e+01	9.300000e+01	1.666667e+00	7.453560e-01	7.453560e-01
9.300000e+01	9.600000e+01	2.333333e+00	8.819171e-01	8.819171e-01
9.600000e+01	9.900000e+01	2.333333e+00	8.819171e-01	8.819171e-01
9.900000e+01	1.020000e+02	1.000000e+00	5.773503e-01	5.773503e-01
1.020000e+02	1.050000e+02	1.333333e+00	6.666667e-01	6.666667e-01
1.050000e+02	1.080000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.080000e+02	1.110000e+02	3.333333e-01	3.333333e-01	3.333333e-01
1.110000e+02	1.140000e+02	3.333333e-01	3.333333e-01	3.333333e-01
1.140000e+02	1.170000e+02	6.666667e-01	4.714045e-01	4.714045e-01
1.170000e+02	1.200000e+02	3.333333e-01	3.333333e-01	3.333333e-01
1.200000e+02	1.230000e+02	3.333333e-01	3.333333e-01	3.333333e-01
1.230000e+02	1.260000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.260000e+02	1.290000e+02	1.000000e+00	5.773503e-01	5.773503e-01
1.290000e+02	1.320000e+02	3.333333e-01	3.333333e-01	3.333333e-01
1.320000e+02	1.350000e+02	3.333333e-01	3.333333e-01	3.333333e-01
1.350000e+02	1.380000e+02	3.333333e-01	3.333333e-01	3.333333e-01
1.380000e+02	1.410000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.410000e+02	1.440000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.440000e+02	1.470000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.470000e+02	1.500000e+02	6.666667e-01	4.714045e-01	4.714045e-01
# END HISTOGRAM

# BEGIN HISTOGRAM /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_MuEnrichedPt5_Tune4C_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/N_ChargedTrackVertexPVDist_BottomJets
LineColor={[HTML]{3366FF}}
LineStyle=solid
Path=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_MuEnrichedPt5_Tune4C_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/N_ChargedTrackVertexPVDist_BottomJets
Title=BTAG_JET_TRACK_SEL
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.000000e+00	9.581510e+05	5.651404e+02	5.651404e+02
3.000000e+00	6.000000e+00	2.460300e+05	2.863739e+02	2.863739e+02
6.000000e+00	9.000000e+00	1.429317e+05	2.182748e+02	2.182748e+02
9.000000e+00	1.200000e+01	8.720067e+04	1.704901e+02	1.704901e+02
1.200000e+01	1.500000e+01	5.566467e+04	1.362163e+02	1.362163e+02
1.500000e+01	1.800000e+01	3.696533e+04	1.110035e+02	1.110035e+02
1.800000e+01	2.100000e+01	2.482900e+04	9.097436e+01	9.097436e+01
2.100000e+01	2.400000e+01	1.742667e+04	7.621607e+01	7.621607e+01
2.400000e+01	2.700000e+01	1.226467e+04	6.393921e+01	6.393921e+01
2.700000e+01	3.000000e+01	8.606333e+03	5.356097e+01	5.356097e+01
3.000000e+01	3.300000e+01	6.133000e+03	4.521430e+01	4.521430e+01
3.300000e+01	3.600000e+01	4.403000e+03	3.831014e+01	3.831014e+01
3.600000e+01	3.900000e+01	3.002667e+03	3.163683e+01	3.163683e+01
3.900000e+01	4.200000e+01	2.095333e+03	2.642810e+01	2.642810e+01
4.200000e+01	4.500000e+01	1.467667e+03	2.211837e+01	2.211837e+01
4.500000e+01	4.800000e+01	9.526667e+02	1.782009e+01	1.782009e+01
4.800000e+01	5.100000e+01	5.823333e+02	1.393238e+01	1.393238e+01
5.100000e+01	5.400000e+01	3.856667e+02	1.133823e+01	1.133823e+01
5.400000e+01	5.700000e+01	2.583333e+02	9.279607e+00	9.279607e+00
5.700000e+01	6.000000e+01	1.596667e+02	7.295356e+00	7.295356e+00
6.000000e+01	6.300000e+01	1.266667e+02	6.497863e+00	6.497863e+00
6.300000e+01	6.600000e+01	8.466667e+01	5.312459e+00	5.312459e+00
6.600000e+01	6.900000e+01	5.633333e+01	4.333333e+00	4.333333e+00
6.900000e+01	7.200000e+01	4.500000e+01	3.872983e+00	3.872983e+00
7.200000e+01	7.500000e+01	3.266667e+01	3.299832e+00	3.299832e+00
7.500000e+01	7.800000e+01	2.933333e+01	3.126944e+00	3.126944e+00
7.800000e+01	8.100000e+01	2.233333e+01	2.728451e+00	2.728451e+00
8.100000e+01	8.400000e+01	1.800000e+01	2.449490e+00	2.449490e+00
8.400000e+01	8.700000e+01	1.200000e+01	2.000000e+00	2.000000e+00
8.700000e+01	9.000000e+01	1.066667e+01	1.885618e+00	1.885618e+00
9.000000e+01	9.300000e+01	9.666667e+00	1.795055e+00	1.795055e+00
9.300000e+01	9.600000e+01	6.333333e+00	1.452966e+00	1.452966e+00
9.600000e+01	9.900000e+01	6.666667e+00	1.490712e+00	1.490712e+00
9.900000e+01	1.020000e+02	7.333333e+00	1.563472e+00	1.563472e+00
1.020000e+02	1.050000e+02	2.666667e+00	9.428090e-01	9.428090e-01
1.050000e+02	1.080000e+02	3.000000e+00	1.000000e+00	1.000000e+00
1.080000e+02	1.110000e+02	2.333333e+00	8.819171e-01	8.819171e-01
1.110000e+02	1.140000e+02	2.000000e+00	8.164966e-01	8.164966e-01
1.140000e+02	1.170000e+02	2.000000e+00	8.164966e-01	8.164966e-01
1.170000e+02	1.200000e+02	1.000000e+00	5.773503e-01	5.773503e-01
1.200000e+02	1.230000e+02	6.666667e-01	4.714045e-01	4.714045e-01
1.230000e+02	1.260000e+02	6.666667e-01	4.714045e-01	4.714045e-01
1.260000e+02	1.290000e+02	1.000000e+00	5.773503e-01	5.773503e-01
1.290000e+02	1.320000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.320000e+02	1.350000e+02	6.666667e-01	4.714045e-01	4.714045e-01
1.350000e+02	1.380000e+02	3.333333e-01	3.333333e-01	3.333333e-01
1.380000e+02	1.410000e+02	6.666667e-01	4.714045e-01	4.714045e-01
1.410000e+02	1.440000e+02	3.333333e-01	3.333333e-01	3.333333e-01
1.440000e+02	1.470000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.470000e+02	1.500000e+02	3.333333e-01	3.333333e-01	3.333333e-01
# END HISTOGRAM

# BEGIN HISTOGRAM /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_MuEnrichedPt5_PionKaonDecay_Tune4C_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/N_ChargedTrackVertexPVDist_BottomJets
LineColor={[HTML]{109618}}
LineStyle=solid
Path=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_MuEnrichedPt5_PionKaonDecay_Tune4C_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/N_ChargedTrackVertexPVDist_BottomJets
Title=BTAG_JET_TRACK_SEL
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.000000e+00	1.414186e+06	6.865824e+02	6.865824e+02
3.000000e+00	6.000000e+00	3.586597e+05	3.457647e+02	3.457647e+02
6.000000e+00	9.000000e+00	2.077567e+05	2.631582e+02	2.631582e+02
9.000000e+00	1.200000e+01	1.269193e+05	2.056853e+02	2.056853e+02
1.200000e+01	1.500000e+01	8.121000e+04	1.645296e+02	1.645296e+02
1.500000e+01	1.800000e+01	5.409100e+04	1.342771e+02	1.342771e+02
1.800000e+01	2.100000e+01	3.710133e+04	1.112075e+02	1.112075e+02
2.100000e+01	2.400000e+01	2.583800e+04	9.280445e+01	9.280445e+01
2.400000e+01	2.700000e+01	1.819200e+04	7.787169e+01	7.787169e+01
2.700000e+01	3.000000e+01	1.298433e+04	6.578838e+01	6.578838e+01
3.000000e+01	3.300000e+01	9.002000e+03	5.477834e+01	5.477834e+01
3.300000e+01	3.600000e+01	6.389000e+03	4.614831e+01	4.614831e+01
3.600000e+01	3.900000e+01	4.479333e+03	3.864080e+01	3.864080e+01
3.900000e+01	4.200000e+01	2.999667e+03	3.162102e+01	3.162102e+01
4.200000e+01	4.500000e+01	2.102000e+03	2.647011e+01	2.647011e+01
4.500000e+01	4.800000e+01	1.377333e+03	2.142688e+01	2.142688e+01
4.800000e+01	5.100000e+01	8.606667e+02	1.693779e+01	1.693779e+01
5.100000e+01	5.400000e+01	5.656667e+02	1.373155e+01	1.373155e+01
5.400000e+01	5.700000e+01	3.820000e+02	1.128421e+01	1.128421e+01
5.700000e+01	6.000000e+01	2.526667e+02	9.177267e+00	9.177267e+00
6.000000e+01	6.300000e+01	1.823333e+02	7.796010e+00	7.796010e+00
6.300000e+01	6.600000e+01	1.316667e+02	6.624869e+00	6.624869e+00
6.600000e+01	6.900000e+01	1.060000e+02	5.944185e+00	5.944185e+00
6.900000e+01	7.200000e+01	6.966667e+01	4.818944e+00	4.818944e+00
7.200000e+01	7.500000e+01	5.133333e+01	4.136558e+00	4.136558e+00
7.500000e+01	7.800000e+01	4.400000e+01	3.829708e+00	3.829708e+00
7.800000e+01	8.100000e+01	3.766667e+01	3.543382e+00	3.543382e+00
8.100000e+01	8.400000e+01	2.900000e+01	3.109126e+00	3.109126e+00
8.400000e+01	8.700000e+01	2.233333e+01	2.728451e+00	2.728451e+00
8.700000e+01	9.000000e+01	1.933333e+01	2.538591e+00	2.538591e+00
9.000000e+01	9.300000e+01	1.333333e+01	2.108185e+00	2.108185e+00
9.300000e+01	9.600000e+01	8.000000e+00	1.632993e+00	1.632993e+00
9.600000e+01	9.900000e+01	8.000000e+00	1.632993e+00	1.632993e+00
9.900000e+01	1.020000e+02	8.000000e+00	1.632993e+00	1.632993e+00
1.020000e+02	1.050000e+02	7.666667e+00	1.598611e+00	1.598611e+00
1.050000e+02	1.080000e+02	5.666667e+00	1.374369e+00	1.374369e+00
1.080000e+02	1.110000e+02	4.000000e+00	1.154701e+00	1.154701e+00
1.110000e+02	1.140000e+02	2.666667e+00	9.428090e-01	9.428090e-01
1.140000e+02	1.170000e+02	5.666667e+00	1.374369e+00	1.374369e+00
1.170000e+02	1.200000e+02	2.666667e+00	9.428090e-01	9.428090e-01
1.200000e+02	1.230000e+02	3.333333e+00	1.054093e+00	1.054093e+00
1.230000e+02	1.260000e+02	6.666667e-01	4.714045e-01	4.714045e-01
1.260000e+02	1.290000e+02	6.666667e-01	4.714045e-01	4.714045e-01
1.290000e+02	1.320000e+02	6.666667e-01	4.714045e-01	4.714045e-01
1.320000e+02	1.350000e+02	1.000000e+00	5.773503e-01	5.773503e-01
1.350000e+02	1.380000e+02	1.000000e+00	5.773503e-01	5.773503e-01
1.380000e+02	1.410000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.410000e+02	1.440000e+02	6.666667e-01	4.714045e-01	4.714045e-01
1.440000e+02	1.470000e+02	1.000000e+00	5.773503e-01	5.773503e-01
1.470000e+02	1.500000e+02	6.666667e-01	4.714045e-01	4.714045e-01
# END HISTOGRAM

