# BEGIN PLOT
DrawOnly=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/N_ChargedTrackVertexPVDist_LightJets /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_MuEnrichedPt5_Tune4C_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/N_ChargedTrackVertexPVDist_LightJets /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_MuEnrichedPt5_PionKaonDecay_Tune4C_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/N_ChargedTrackVertexPVDist_LightJets
RatioPlotReference=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/N_ChargedTrackVertexPVDist_LightJets
RatioPlot=1
Legend=1
XLabel=$d(CPV,PV)$
YLabel=Normalized to Unity
LogY=1
NormalizeToSum=1
# END PLOT

# BEGIN HISTOGRAM /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/N_ChargedTrackVertexPVDist_LightJets
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/N_ChargedTrackVertexPVDist_LightJets
Title=BTAG_JET_TRACK_SEL
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.000000e+00	1.209427e+06	6.349350e+02	6.349350e+02
3.000000e+00	6.000000e+00	3.844333e+03	3.579727e+01	3.579727e+01
6.000000e+00	9.000000e+00	1.700000e+03	2.380476e+01	2.380476e+01
9.000000e+00	1.200000e+01	1.127000e+03	1.938212e+01	1.938212e+01
1.200000e+01	1.500000e+01	9.086667e+02	1.740370e+01	1.740370e+01
1.500000e+01	1.800000e+01	7.466667e+02	1.577621e+01	1.577621e+01
1.800000e+01	2.100000e+01	6.526667e+02	1.474976e+01	1.474976e+01
2.100000e+01	2.400000e+01	5.413333e+02	1.343296e+01	1.343296e+01
2.400000e+01	2.700000e+01	3.560000e+02	1.089342e+01	1.089342e+01
2.700000e+01	3.000000e+01	1.823333e+02	7.796010e+00	7.796010e+00
3.000000e+01	3.300000e+01	1.190000e+02	6.298148e+00	6.298148e+00
3.300000e+01	3.600000e+01	7.333333e+01	4.944132e+00	4.944132e+00
3.600000e+01	3.900000e+01	4.733333e+01	3.972125e+00	3.972125e+00
3.900000e+01	4.200000e+01	3.300000e+01	3.316625e+00	3.316625e+00
4.200000e+01	4.500000e+01	2.300000e+01	2.768875e+00	2.768875e+00
4.500000e+01	4.800000e+01	1.433333e+01	2.185813e+00	2.185813e+00
4.800000e+01	5.100000e+01	1.333333e+01	2.108185e+00	2.108185e+00
5.100000e+01	5.400000e+01	7.000000e+00	1.527525e+00	1.527525e+00
5.400000e+01	5.700000e+01	6.666667e+00	1.490712e+00	1.490712e+00
5.700000e+01	6.000000e+01	6.333333e+00	1.452966e+00	1.452966e+00
6.000000e+01	6.300000e+01	5.333333e+00	1.333333e+00	1.333333e+00
6.300000e+01	6.600000e+01	4.666667e+00	1.247219e+00	1.247219e+00
6.600000e+01	6.900000e+01	2.333333e+00	8.819171e-01	8.819171e-01
6.900000e+01	7.200000e+01	2.666667e+00	9.428090e-01	9.428090e-01
