# BEGIN PLOT
DrawOnly=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/O_NChargedParticlesSecVertex_AllJets /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_MuEnrichedPt5_Tune4C_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/O_NChargedParticlesSecVertex_AllJets /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_MuEnrichedPt5_PionKaonDecay_Tune4C_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/O_NChargedParticlesSecVertex_AllJets
RatioPlotReference=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/O_NChargedParticlesSecVertex_AllJets
RatioPlot=1
Legend=1
XLabel=$N(Vertex\;CP)$
YLabel=Normalized to Unity
LogY=1
NormalizeToSum=1
# END PLOT

# BEGIN HISTOGRAM /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/O_NChargedParticlesSecVertex_AllJets
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/O_NChargedParticlesSecVertex_AllJets
Title=BTAG_JET_TRACK_SEL
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+00	8.514210e+05	9.227248e+02	9.227248e+02
1.000000e+00	2.000000e+00	1.056020e+05	3.249646e+02	3.249646e+02
2.000000e+00	3.000000e+00	1.216160e+05	3.487349e+02	3.487349e+02
3.000000e+00	4.000000e+00	9.005700e+04	3.000950e+02	3.000950e+02
4.000000e+00	5.000000e+00	6.077500e+04	2.465259e+02	2.465259e+02
5.000000e+00	6.000000e+00	3.372000e+04	1.836301e+02	1.836301e+02
6.000000e+00	7.000000e+00	1.904400e+04	1.380000e+02	1.380000e+02
7.000000e+00	8.000000e+00	9.553000e+03	9.773945e+01	9.773945e+01
8.000000e+00	9.000000e+00	4.882000e+03	6.987131e+01	6.987131e+01
9.000000e+00	1.000000e+01	2.334000e+03	4.831149e+01	4.831149e+01
1.000000e+01	1.100000e+01	1.114000e+03	3.337664e+01	3.337664e+01
1.100000e+01	1.200000e+01	4.250000e+02	2.061553e+01	2.061553e+01
1.200000e+01	1.300000e+01	1.830000e+02	1.352775e+01	1.352775e+01
1.300000e+01	1.400000e+01	8.200000e+01	9.055385e+00	9.055385e+00
1.400000e+01	1.500000e+01	3.200000e+01	5.656854e+00	5.656854e+00
1.500000e+01	1.600000e+01	1.100000e+01	3.316625e+00	3.316625e+00
1.600000e+01	1.700000e+01	5.000000e+00	2.236068e+00	2.236068e+00
1.700000e+01	1.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.800000e+01	1.900000e+01	1.000000e+00	1.000000e+00	1.000000e+00
1.900000e+01	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	2.100000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.100000e+01	2.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.200000e+01	2.300000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.300000e+01	2.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.400000e+01	2.500000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.500000e+01	2.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.600000e+01	2.700000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.700000e+01	2.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.800000e+01	2.900000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.900000e+01	3.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTOGRAM

# BEGIN HISTOGRAM /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_MuEnrichedPt5_Tune4C_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/O_NChargedParticlesSecVertex_AllJets
LineColor={[HTML]{3366FF}}
LineStyle=solid
Path=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_MuEnrichedPt5_Tune4C_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/O_NChargedParticlesSecVertex_AllJets
Title=BTAG_JET_TRACK_SEL
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+00	2.265402e+06	1.505125e+03	1.505125e+03
1.000000e+00	2.000000e+00	4.519830e+05	6.722968e+02	6.722968e+02
2.000000e+00	3.000000e+00	5.355070e+05	7.317834e+02	7.317834e+02
3.000000e+00	4.000000e+00	4.177120e+05	6.463064e+02	6.463064e+02
4.000000e+00	5.000000e+00	2.728980e+05	5.223964e+02	5.223964e+02
5.000000e+00	6.000000e+00	1.520780e+05	3.899718e+02	3.899718e+02
6.000000e+00	7.000000e+00	8.454600e+04	2.907679e+02	2.907679e+02
7.000000e+00	8.000000e+00	4.136100e+04	2.033740e+02	2.033740e+02
8.000000e+00	9.000000e+00	2.134100e+04	1.460856e+02	1.460856e+02
9.000000e+00	1.000000e+01	9.510000e+03	9.751923e+01	9.751923e+01
1.000000e+01	1.100000e+01	4.659000e+03	6.825687e+01	6.825687e+01
1.100000e+01	1.200000e+01	1.922000e+03	4.384062e+01	4.384062e+01
1.200000e+01	1.300000e+01	8.520000e+02	2.918904e+01	2.918904e+01
1.300000e+01	1.400000e+01	3.480000e+02	1.865476e+01	1.865476e+01
1.400000e+01	1.500000e+01	1.200000e+02	1.095445e+01	1.095445e+01
1.500000e+01	1.600000e+01	6.600000e+01	8.124038e+00	8.124038e+00
1.600000e+01	1.700000e+01	1.500000e+01	3.872983e+00	3.872983e+00
1.700000e+01	1.800000e+01	6.000000e+00	2.449490e+00	2.449490e+00
1.800000e+01	1.900000e+01	2.000000e+00	1.414214e+00	1.414214e+00
1.900000e+01	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	2.100000e+01	1.000000e+00	1.000000e+00	1.000000e+00
2.100000e+01	2.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.200000e+01	2.300000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.300000e+01	2.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.400000e+01	2.500000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.500000e+01	2.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.600000e+01	2.700000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.700000e+01	2.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.800000e+01	2.900000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.900000e+01	3.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTOGRAM

# BEGIN HISTOGRAM /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_MuEnrichedPt5_PionKaonDecay_Tune4C_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/O_NChargedParticlesSecVertex_AllJets
LineColor={[HTML]{109618}}
LineStyle=solid
Path=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_MuEnrichedPt5_PionKaonDecay_Tune4C_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/O_NChargedParticlesSecVertex_AllJets
Title=BTAG_JET_TRACK_SEL
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+00	6.174394e+06	2.484833e+03	2.484833e+03
1.000000e+00	2.000000e+00	8.647440e+05	9.299161e+02	9.299161e+02
2.000000e+00	3.000000e+00	8.775520e+05	9.367775e+02	9.367775e+02
3.000000e+00	4.000000e+00	6.463650e+05	8.039683e+02	8.039683e+02
4.000000e+00	5.000000e+00	4.167570e+05	6.455672e+02	6.455672e+02
5.000000e+00	6.000000e+00	2.320470e+05	4.817126e+02	4.817126e+02
6.000000e+00	7.000000e+00	1.268430e+05	3.561502e+02	3.561502e+02
7.000000e+00	8.000000e+00	6.237600e+04	2.497519e+02	2.497519e+02
8.000000e+00	9.000000e+00	3.144200e+04	1.773189e+02	1.773189e+02
9.000000e+00	1.000000e+01	1.471900e+04	1.213219e+02	1.213219e+02
1.000000e+01	1.100000e+01	6.584000e+03	8.114185e+01	8.114185e+01
1.100000e+01	1.200000e+01	2.837000e+03	5.326350e+01	5.326350e+01
1.200000e+01	1.300000e+01	1.236000e+03	3.515679e+01	3.515679e+01
1.300000e+01	1.400000e+01	5.080000e+02	2.253886e+01	2.253886e+01
1.400000e+01	1.500000e+01	1.720000e+02	1.311488e+01	1.311488e+01
1.500000e+01	1.600000e+01	5.400000e+01	7.348469e+00	7.348469e+00
1.600000e+01	1.700000e+01	3.300000e+01	5.744563e+00	5.744563e+00
1.700000e+01	1.800000e+01	7.000000e+00	2.645751e+00	2.645751e+00
1.800000e+01	1.900000e+01	1.000000e+00	1.000000e+00	1.000000e+00
1.900000e+01	2.000000e+01	1.000000e+00	1.000000e+00	1.000000e+00
2.000000e+01	2.100000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.100000e+01	2.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.200000e+01	2.300000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.300000e+01	2.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.400000e+01	2.500000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.500000e+01	2.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.600000e+01	2.700000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.700000e+01	2.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.800000e+01	2.900000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.900000e+01	3.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTOGRAM

