# BEGIN PLOT
DrawOnly=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/Q_SecVertexMass_AllJets /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_MuEnrichedPt5_Tune4C_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/Q_SecVertexMass_AllJets /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_MuEnrichedPt5_PionKaonDecay_Tune4C_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/Q_SecVertexMass_AllJets
RatioPlotReference=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/Q_SecVertexMass_AllJets
RatioPlot=1
Legend=1
XLabel=$M(Sec.\;Vertex)$
YLabel=Normalized to Unity
LogY=1
NormalizeToSum=1
# END PLOT

# BEGIN HISTOGRAM /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/Q_SecVertexMass_AllJets
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/Q_SecVertexMass_AllJets
Title=BTAG_JET_TRACK_SEL
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	9.668650e+05	2.198710e+03	2.198710e+03
2.000000e-01	4.000000e-01	6.453000e+04	5.680229e+02	5.680229e+02
4.000000e-01	6.000000e-01	1.815000e+03	9.526279e+01	9.526279e+01
6.000000e-01	8.000000e-01	1.917500e+05	9.791578e+02	9.791578e+02
8.000000e-01	1.000000e+00	2.737800e+05	1.170000e+03	1.170000e+03
1.000000e+00	1.200000e+00	2.020850e+05	1.005199e+03	1.005199e+03
1.200000e+00	1.400000e+00	1.666900e+05	9.129348e+02	9.129348e+02
1.400000e+00	1.600000e+00	1.311850e+05	8.098920e+02	8.098920e+02
1.600000e+00	1.800000e+00	7.293500e+04	6.038833e+02	6.038833e+02
1.800000e+00	2.000000e+00	7.973000e+04	6.313874e+02	6.313874e+02
2.000000e+00	2.200000e+00	1.206500e+04	2.456115e+02	2.456115e+02
2.200000e+00	2.400000e+00	9.535000e+03	2.183461e+02	2.183461e+02
2.400000e+00	2.600000e+00	4.390000e+03	1.481553e+02	1.481553e+02
2.600000e+00	2.800000e+00	3.240000e+03	1.272792e+02	1.272792e+02
2.800000e+00	3.000000e+00	2.220000e+03	1.053565e+02	1.053565e+02
3.000000e+00	3.200000e+00	2.010000e+03	1.002497e+02	1.002497e+02
3.200000e+00	3.400000e+00	1.420000e+03	8.426150e+01	8.426150e+01
3.400000e+00	3.600000e+00	1.030000e+03	7.176350e+01	7.176350e+01
3.600000e+00	3.800000e+00	1.120000e+03	7.483315e+01	7.483315e+01
3.800000e+00	4.000000e+00	9.400000e+02	6.855655e+01	6.855655e+01
4.000000e+00	4.200000e+00	8.400000e+02	6.480741e+01	6.480741e+01
4.200000e+00	4.400000e+00	6.450000e+02	5.678908e+01	5.678908e+01
4.400000e+00	4.600000e+00	5.950000e+02	5.454356e+01	5.454356e+01
4.600000e+00	4.800000e+00	6.300000e+02	5.612486e+01	5.612486e+01
