# BEGIN PLOT
DrawOnly=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/S_SecVertexPVD_AllJets /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_MuEnrichedPt5_Tune4C_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/S_SecVertexPVD_AllJets /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_MuEnrichedPt5_PionKaonDecay_Tune4C_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/S_SecVertexPVD_AllJets
RatioPlotReference=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/S_SecVertexPVD_AllJets
RatioPlot=1
Legend=1
XLabel=$d(Sec.\;Vertex,PV)$
YLabel=Normalized to Unity
LogY=1
NormalizeToSum=1
# END PLOT

# BEGIN HISTOGRAM /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/S_SecVertexPVD_AllJets
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/S_SecVertexPVD_AllJets
Title=BTAG_JET_TRACK_SEL
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+00	1.008400e+05	3.175531e+02	3.175531e+02
1.000000e+00	2.000000e+00	6.681100e+04	2.584782e+02	2.584782e+02
2.000000e+00	3.000000e+00	4.911400e+04	2.216168e+02	2.216168e+02
3.000000e+00	4.000000e+00	3.792800e+04	1.947511e+02	1.947511e+02
4.000000e+00	5.000000e+00	2.993600e+04	1.730202e+02	1.730202e+02
5.000000e+00	6.000000e+00	2.410500e+04	1.552579e+02	1.552579e+02
6.000000e+00	7.000000e+00	1.985000e+04	1.408900e+02	1.408900e+02
7.000000e+00	8.000000e+00	1.620100e+04	1.272831e+02	1.272831e+02
8.000000e+00	9.000000e+00	1.375500e+04	1.172817e+02	1.172817e+02
9.000000e+00	1.000000e+01	1.154900e+04	1.074663e+02	1.074663e+02
1.000000e+01	1.100000e+01	9.721000e+03	9.859513e+01	9.859513e+01
1.100000e+01	1.200000e+01	8.392000e+03	9.160786e+01	9.160786e+01
1.200000e+01	1.300000e+01	7.219000e+03	8.496470e+01	8.496470e+01
1.300000e+01	1.400000e+01	6.263000e+03	7.913912e+01	7.913912e+01
1.400000e+01	1.500000e+01	5.692000e+03	7.544534e+01	7.544534e+01
1.500000e+01	1.600000e+01	4.957000e+03	7.040597e+01	7.040597e+01
1.600000e+01	1.700000e+01	4.370000e+03	6.610598e+01	6.610598e+01
1.700000e+01	1.800000e+01	3.993000e+03	6.319019e+01	6.319019e+01
1.800000e+01	1.900000e+01	3.433000e+03	5.859181e+01	5.859181e+01
1.900000e+01	2.000000e+01	3.141000e+03	5.604463e+01	5.604463e+01
2.000000e+01	2.100000e+01	2.951000e+03	5.432311e+01	5.432311e+01
2.100000e+01	2.200000e+01	2.534000e+03	5.033885e+01	5.033885e+01
2.200000e+01	2.300000e+01	2.262000e+03	4.756049e+01	4.756049e+01
2.300000e+01	2.400000e+01	2.004000e+03	4.476606e+01	4.476606e+01
2.400000e+01	2.500000e+01	1.822000e+03	4.268489e+01	4.268489e+01
2.500000e+01	2.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.600000e+01	2.700000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.700000e+01	2.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.800000e+01	2.900000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.900000e+01	3.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+01	3.100000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.100000e+01	3.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.200000e+01	3.300000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.300000e+01	3.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.400000e+01	3.500000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.500000e+01	3.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.600000e+01	3.700000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.700000e+01	3.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.800000e+01	3.900000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.900000e+01	4.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTOGRAM

# BEGIN HISTOGRAM /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_MuEnrichedPt5_Tune4C_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/S_SecVertexPVD_AllJets
LineColor={[HTML]{3366FF}}
LineStyle=solid
Path=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_MuEnrichedPt5_Tune4C_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/S_SecVertexPVD_AllJets
Title=BTAG_JET_TRACK_SEL
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+00	4.255030e+05	6.523059e+02	6.523059e+02
1.000000e+00	2.000000e+00	3.006310e+05	5.482983e+02	5.482983e+02
2.000000e+00	3.000000e+00	2.281400e+05	4.776400e+02	4.776400e+02
3.000000e+00	4.000000e+00	1.786230e+05	4.226381e+02	4.226381e+02
4.000000e+00	5.000000e+00	1.420300e+05	3.768687e+02	3.768687e+02
5.000000e+00	6.000000e+00	1.144990e+05	3.383770e+02	3.383770e+02
6.000000e+00	7.000000e+00	9.394000e+04	3.064963e+02	3.064963e+02
7.000000e+00	8.000000e+00	7.724500e+04	2.779298e+02	2.779298e+02
