# BEGIN PLOT
DrawOnly=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/S_SecVertexPVD_BottomJets /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_MuEnrichedPt5_Tune4C_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/S_SecVertexPVD_BottomJets /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_MuEnrichedPt5_PionKaonDecay_Tune4C_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/S_SecVertexPVD_BottomJets
RatioPlotReference=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/S_SecVertexPVD_BottomJets
RatioPlot=1
Legend=1
XLabel=$d(Sec.\;Vertex,PV)$
YLabel=Normalized to Unity
LogY=1
NormalizeToSum=1
# END PLOT

# BEGIN HISTOGRAM /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/S_SecVertexPVD_BottomJets
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/S_SecVertexPVD_BottomJets
Title=BTAG_JET_TRACK_SEL
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+00	4.919400e+04	2.217972e+02	2.217972e+02
1.000000e+00	2.000000e+00	3.935500e+04	1.983809e+02	1.983809e+02
2.000000e+00	3.000000e+00	3.122600e+04	1.767088e+02	1.767088e+02
3.000000e+00	4.000000e+00	2.540000e+04	1.593738e+02	1.593738e+02
4.000000e+00	5.000000e+00	2.070200e+04	1.438819e+02	1.438819e+02
5.000000e+00	6.000000e+00	1.700000e+04	1.303840e+02	1.303840e+02
6.000000e+00	7.000000e+00	1.404800e+04	1.185243e+02	1.185243e+02
7.000000e+00	8.000000e+00	1.153300e+04	1.073918e+02	1.073918e+02
8.000000e+00	9.000000e+00	9.865000e+03	9.932271e+01	9.932271e+01
9.000000e+00	1.000000e+01	8.311000e+03	9.116469e+01	9.116469e+01
1.000000e+01	1.100000e+01	6.976000e+03	8.352245e+01	8.352245e+01
1.100000e+01	1.200000e+01	5.904000e+03	7.683749e+01	7.683749e+01
1.200000e+01	1.300000e+01	5.062000e+03	7.114773e+01	7.114773e+01
1.300000e+01	1.400000e+01	4.387000e+03	6.623443e+01	6.623443e+01
1.400000e+01	1.500000e+01	3.990000e+03	6.316645e+01	6.316645e+01
1.500000e+01	1.600000e+01	3.425000e+03	5.852350e+01	5.852350e+01
1.600000e+01	1.700000e+01	2.988000e+03	5.466260e+01	5.466260e+01
1.700000e+01	1.800000e+01	2.710000e+03	5.205766e+01	5.205766e+01
1.800000e+01	1.900000e+01	2.249000e+03	4.742362e+01	4.742362e+01
1.900000e+01	2.000000e+01	2.035000e+03	4.511097e+01	4.511097e+01
2.000000e+01	2.100000e+01	1.894000e+03	4.352011e+01	4.352011e+01
2.100000e+01	2.200000e+01	1.624000e+03	4.029888e+01	4.029888e+01
2.200000e+01	2.300000e+01	1.410000e+03	3.754997e+01	3.754997e+01
2.300000e+01	2.400000e+01	1.266000e+03	3.558089e+01	3.558089e+01
