# BEGIN PLOT
DrawOnly=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/S_SecVertexPVD_CharmJets /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_MuEnrichedPt5_Tune4C_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/S_SecVertexPVD_CharmJets /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_MuEnrichedPt5_PionKaonDecay_Tune4C_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/S_SecVertexPVD_CharmJets
RatioPlotReference=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/S_SecVertexPVD_CharmJets
RatioPlot=1
Legend=1
XLabel=$d(Sec.\;Vertex,PV)$
YLabel=Normalized to Unity
LogY=1
NormalizeToSum=1
# END PLOT

# BEGIN HISTOGRAM /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/S_SecVertexPVD_CharmJets
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/S_SecVertexPVD_CharmJets
Title=BTAG_JET_TRACK_SEL
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+00	4.859400e+04	2.204405e+02	2.204405e+02
1.000000e+00	2.000000e+00	2.593700e+04	1.610497e+02	1.610497e+02
2.000000e+00	3.000000e+00	1.649700e+04	1.284406e+02	1.284406e+02
3.000000e+00	4.000000e+00	1.130000e+04	1.063015e+02	1.063015e+02
4.000000e+00	5.000000e+00	8.126000e+03	9.014433e+01	9.014433e+01
5.000000e+00	6.000000e+00	6.109000e+03	7.816009e+01	7.816009e+01
6.000000e+00	7.000000e+00	4.917000e+03	7.012132e+01	7.012132e+01
7.000000e+00	8.000000e+00	3.794000e+03	6.159545e+01	6.159545e+01
8.000000e+00	9.000000e+00	3.071000e+03	5.541660e+01	5.541660e+01
9.000000e+00	1.000000e+01	2.498000e+03	4.998000e+01	4.998000e+01
1.000000e+01	1.100000e+01	2.087000e+03	4.568370e+01	4.568370e+01
1.100000e+01	1.200000e+01	1.794000e+03	4.235564e+01	4.235564e+01
1.200000e+01	1.300000e+01	1.504000e+03	3.878144e+01	3.878144e+01
1.300000e+01	1.400000e+01	1.258000e+03	3.546830e+01	3.546830e+01
1.400000e+01	1.500000e+01	1.079000e+03	3.284814e+01	3.284814e+01
1.500000e+01	1.600000e+01	9.680000e+02	3.111270e+01	3.111270e+01
1.600000e+01	1.700000e+01	8.700000e+02	2.949576e+01	2.949576e+01
1.700000e+01	1.800000e+01	7.720000e+02	2.778489e+01	2.778489e+01
1.800000e+01	1.900000e+01	6.920000e+02	2.630589e+01	2.630589e+01
1.900000e+01	2.000000e+01	5.990000e+02	2.447448e+01	2.447448e+01
2.000000e+01	2.100000e+01	5.550000e+02	2.355844e+01	2.355844e+01
2.100000e+01	2.200000e+01	4.430000e+02	2.104757e+01	2.104757e+01
2.200000e+01	2.300000e+01	4.200000e+02	2.049390e+01	2.049390e+01
2.300000e+01	2.400000e+01	3.580000e+02	1.892089e+01	1.892089e+01
2.400000e+01	2.500000e+01	3.410000e+02	1.846619e+01	1.846619e+01
2.500000e+01	2.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.600000e+01	2.700000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.700000e+01	2.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.800000e+01	2.900000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.900000e+01	3.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+01	3.100000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.100000e+01	3.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.200000e+01	3.300000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.300000e+01	3.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.400000e+01	3.500000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.500000e+01	3.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.600000e+01	3.700000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.700000e+01	3.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.800000e+01	3.900000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.900000e+01	4.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTOGRAM

# BEGIN HISTOGRAM /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_MuEnrichedPt5_Tune4C_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/S_SecVertexPVD_CharmJets
LineColor={[HTML]{3366FF}}
LineStyle=solid
Path=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_MuEnrichedPt5_Tune4C_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/S_SecVertexPVD_CharmJets
Title=BTAG_JET_TRACK_SEL
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+00	1.967950e+05	4.436158e+02	4.436158e+02
1.000000e+00	2.000000e+00	1.124470e+05	3.353312e+02	3.353312e+02
2.000000e+00	3.000000e+00	7.496700e+04	2.738010e+02	2.738010e+02
3.000000e+00	4.000000e+00	5.379500e+04	2.319375e+02	2.319375e+02
4.000000e+00	5.000000e+00	3.958800e+04	1.989673e+02	1.989673e+02
5.000000e+00	6.000000e+00	3.048400e+04	1.745967e+02	1.745967e+02
6.000000e+00	7.000000e+00	2.400700e+04	1.549419e+02	1.549419e+02
7.000000e+00	8.000000e+00	1.918100e+04	1.384955e+02	1.384955e+02
8.000000e+00	9.000000e+00	1.569500e+04	1.252797e+02	1.252797e+02
9.000000e+00	1.000000e+01	1.298700e+04	1.139605e+02	1.139605e+02
1.000000e+01	1.100000e+01	1.078500e+04	1.038509e+02	1.038509e+02
1.100000e+01	1.200000e+01	9.002000e+03	9.487887e+01	9.487887e+01
1.200000e+01	1.300000e+01	7.563000e+03	8.696551e+01	8.696551e+01
1.300000e+01	1.400000e+01	6.624000e+03	8.138796e+01	8.138796e+01
1.400000e+01	1.500000e+01	5.618000e+03	7.495332e+01	7.495332e+01
1.500000e+01	1.600000e+01	4.965000e+03	7.046276e+01	7.046276e+01
1.600000e+01	1.700000e+01	4.308000e+03	6.563536e+01	6.563536e+01
1.700000e+01	1.800000e+01	3.805000e+03	6.168468e+01	6.168468e+01
1.800000e+01	1.900000e+01	3.352000e+03	5.789646e+01	5.789646e+01
1.900000e+01	2.000000e+01	2.862000e+03	5.349766e+01	5.349766e+01
2.000000e+01	2.100000e+01	2.538000e+03	5.037857e+01	5.037857e+01
2.100000e+01	2.200000e+01	2.219000e+03	4.710626e+01	4.710626e+01
2.200000e+01	2.300000e+01	1.960000e+03	4.427189e+01	4.427189e+01
2.300000e+01	2.400000e+01	1.725000e+03	4.153312e+01	4.153312e+01
2.400000e+01	2.500000e+01	1.565000e+03	3.956008e+01	3.956008e+01
2.500000e+01	2.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.600000e+01	2.700000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.700000e+01	2.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.800000e+01	2.900000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.900000e+01	3.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+01	3.100000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.100000e+01	3.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.200000e+01	3.300000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.300000e+01	3.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.400000e+01	3.500000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.500000e+01	3.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.600000e+01	3.700000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.700000e+01	3.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.800000e+01	3.900000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.900000e+01	4.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTOGRAM

# BEGIN HISTOGRAM /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_MuEnrichedPt5_PionKaonDecay_Tune4C_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/S_SecVertexPVD_CharmJets
LineColor={[HTML]{109618}}
LineStyle=solid
Path=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_MuEnrichedPt5_PionKaonDecay_Tune4C_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/S_SecVertexPVD_CharmJets
Title=BTAG_JET_TRACK_SEL
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+00	3.358230e+05	5.795024e+02	5.795024e+02
1.000000e+00	2.000000e+00	1.884500e+05	4.341083e+02	4.341083e+02
2.000000e+00	3.000000e+00	1.239250e+05	3.520298e+02	3.520298e+02
3.000000e+00	4.000000e+00	8.721600e+04	2.953236e+02	2.953236e+02
4.000000e+00	5.000000e+00	6.452400e+04	2.540157e+02	2.540157e+02
5.000000e+00	6.000000e+00	4.984500e+04	2.232599e+02	2.232599e+02
6.000000e+00	7.000000e+00	3.921400e+04	1.980253e+02	1.980253e+02
7.000000e+00	8.000000e+00	3.118200e+04	1.765843e+02	1.765843e+02
8.000000e+00	9.000000e+00	2.532700e+04	1.591446e+02	1.591446e+02
9.000000e+00	1.000000e+01	2.104600e+04	1.450724e+02	1.450724e+02
1.000000e+01	1.100000e+01	1.770900e+04	1.330752e+02	1.330752e+02
1.100000e+01	1.200000e+01	1.515500e+04	1.231056e+02	1.231056e+02
1.200000e+01	1.300000e+01	1.295500e+04	1.138200e+02	1.138200e+02
1.300000e+01	1.400000e+01	1.121200e+04	1.058867e+02	1.058867e+02
1.400000e+01	1.500000e+01	9.715000e+03	9.856470e+01	9.856470e+01
1.500000e+01	1.600000e+01	8.472000e+03	9.204347e+01	9.204347e+01
1.600000e+01	1.700000e+01	7.418000e+03	8.612781e+01	8.612781e+01
1.700000e+01	1.800000e+01	6.494000e+03	8.058536e+01	8.058536e+01
1.800000e+01	1.900000e+01	5.818000e+03	7.627582e+01	7.627582e+01
1.900000e+01	2.000000e+01	5.141000e+03	7.170077e+01	7.170077e+01
2.000000e+01	2.100000e+01	4.512000e+03	6.717142e+01	6.717142e+01
2.100000e+01	2.200000e+01	4.146000e+03	6.438944e+01	6.438944e+01
2.200000e+01	2.300000e+01	3.723000e+03	6.101639e+01	6.101639e+01
2.300000e+01	2.400000e+01	3.228000e+03	5.681549e+01	5.681549e+01
2.400000e+01	2.500000e+01	2.798000e+03	5.289612e+01	5.289612e+01
2.500000e+01	2.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.600000e+01	2.700000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.700000e+01	2.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.800000e+01	2.900000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.900000e+01	3.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+01	3.100000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.100000e+01	3.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.200000e+01	3.300000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.300000e+01	3.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.400000e+01	3.500000e+01	0.000000e+00	0.000000e+00	0.000000e+00
