# BEGIN PLOT
DrawOnly=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/U_MuonJetDr_BottomJets /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_MuEnrichedPt5_Tune4C_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/U_MuonJetDr_BottomJets /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_MuEnrichedPt5_PionKaonDecay_Tune4C_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/U_MuonJetDr_BottomJets
RatioPlotReference=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/U_MuonJetDr_BottomJets
RatioPlot=1
Legend=1
XLabel=$\Delta R(Muon,Jet)$
YLabel=Normalized to Unity
LogY=1
NormalizeToSum=1
# END PLOT

# BEGIN HISTOGRAM /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/U_MuonJetDr_BottomJets
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/U_MuonJetDr_BottomJets
Rebin=2
Title=BTAG_JET_TRACK_SEL
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-02	1.732000e+05	4.161730e+03	4.161730e+03
1.000000e-02	2.000000e-02	4.955000e+05	7.039176e+03	7.039176e+03
2.000000e-02	3.000000e-02	7.653000e+05	8.748143e+03	8.748143e+03
3.000000e-02	4.000000e-02	9.559000e+05	9.777014e+03	9.777014e+03
4.000000e-02	5.000000e-02	1.091300e+06	1.044653e+04	1.044653e+04
5.000000e-02	6.000000e-02	1.115700e+06	1.056267e+04	1.056267e+04
6.000000e-02	7.000000e-02	1.157900e+06	1.076058e+04	1.076058e+04
7.000000e-02	8.000000e-02	1.105700e+06	1.051523e+04	1.051523e+04
8.000000e-02	9.000000e-02	1.048100e+06	1.023768e+04	1.023768e+04
9.000000e-02	1.000000e-01	9.929000e+05	9.964437e+03	9.964437e+03
1.000000e-01	1.100000e-01	9.318000e+05	9.652979e+03	9.652979e+03
1.100000e-01	1.200000e-01	8.418000e+05	9.174966e+03	9.174966e+03
1.200000e-01	1.300000e-01	7.962000e+05	8.923004e+03	8.923004e+03
1.300000e-01	1.400000e-01	7.180000e+05	8.473488e+03	8.473488e+03
1.400000e-01	1.500000e-01	6.537000e+05	8.085172e+03	8.085172e+03
1.500000e-01	1.600000e-01	5.900000e+05	7.681146e+03	7.681146e+03
1.600000e-01	1.700000e-01	5.311000e+05	7.287661e+03	7.287661e+03
1.700000e-01	1.800000e-01	4.926000e+05	7.018547e+03	7.018547e+03
1.800000e-01	1.900000e-01	4.380000e+05	6.618157e+03	6.618157e+03
1.900000e-01	2.000000e-01	4.047000e+05	6.361604e+03	6.361604e+03
2.000000e-01	2.100000e-01	3.561000e+05	5.967411e+03	5.967411e+03
2.100000e-01	2.200000e-01	3.194000e+05	5.651548e+03	5.651548e+03
2.200000e-01	2.300000e-01	2.854000e+05	5.342284e+03	5.342284e+03
2.300000e-01	2.400000e-01	2.610000e+05	5.108816e+03	5.108816e+03
2.400000e-01	2.500000e-01	2.364000e+05	4.862098e+03	4.862098e+03
2.500000e-01	2.600000e-01	2.108000e+05	4.591296e+03	4.591296e+03
2.600000e-01	2.700000e-01	1.918000e+05	4.379498e+03	4.379498e+03
2.700000e-01	2.800000e-01	1.734000e+05	4.164133e+03	4.164133e+03
2.800000e-01	2.900000e-01	1.556000e+05	3.944617e+03	3.944617e+03
2.900000e-01	3.000000e-01	1.371000e+05	3.702702e+03	3.702702e+03
3.000000e-01	3.100000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.100000e-01	3.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.200000e-01	3.300000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.300000e-01	3.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.400000e-01	3.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.500000e-01	3.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.600000e-01	3.700000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.700000e-01	3.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.800000e-01	3.900000e-01	0.000000e+00	0.000000e+00	0.000000e+00
