# BEGIN PLOT
DrawOnly=/nfs/dust/cms/user/shwillia/BTV/Dec14/QCD_Pt-50to80_Tune4C_8TeV_pythia8/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/C_NChargedParticles_AllJets /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_Tune4C_8TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/C_NChargedParticles_AllJets
RatioPlotReference=/nfs/dust/cms/user/shwillia/BTV/Dec14/QCD_Pt-50to80_Tune4C_8TeV_pythia8/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/C_NChargedParticles_AllJets
RatioPlot=1
Legend=1
XLabel=$N(CP)$
YLabel=Normalized to Unity
LogY=1
NormalizeToSum=1
# END PLOT

# BEGIN HISTOGRAM /nfs/dust/cms/user/shwillia/BTV/Dec14/QCD_Pt-50to80_Tune4C_8TeV_pythia8/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/C_NChargedParticles_AllJets
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=/nfs/dust/cms/user/shwillia/BTV/Dec14/QCD_Pt-50to80_Tune4C_8TeV_pythia8/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/C_NChargedParticles_AllJets
ScaledBy=4.6502824814093334e-07
Title=MC History Flavor
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+00	3.121735e-03	3.810112e-05	3.810112e-05
1.000000e+00	2.000000e+00	1.530222e-02	8.435617e-05	8.435617e-05
2.000000e+00	3.000000e+00	4.419628e-02	1.433615e-04	1.433615e-04
3.000000e+00	4.000000e+00	8.569029e-02	1.996207e-04	1.996207e-04
4.000000e+00	5.000000e+00	1.239844e-01	2.401172e-04	2.401172e-04
5.000000e+00	6.000000e+00	1.447368e-01	2.594353e-04	2.594353e-04
6.000000e+00	7.000000e+00	1.441997e-01	2.589535e-04	2.589535e-04
7.000000e+00	8.000000e+00	1.274103e-01	2.434120e-04	2.434120e-04
8.000000e+00	9.000000e+00	1.023276e-01	2.181404e-04	2.181404e-04
9.000000e+00	1.000000e+01	7.594562e-02	1.879278e-04	1.879278e-04
1.000000e+01	1.100000e+01	5.245705e-02	1.561858e-04	1.561858e-04
1.100000e+01	1.200000e+01	3.412470e-02	1.259720e-04	1.259720e-04
1.200000e+01	1.300000e+01	2.066725e-02	9.803497e-05	9.803497e-05
1.300000e+01	1.400000e+01	1.201726e-02	7.475537e-05	7.475537e-05
1.400000e+01	1.500000e+01	6.608981e-03	5.543792e-05	5.543792e-05
1.500000e+01	1.600000e+01	3.664423e-03	4.128026e-05	4.128026e-05
1.600000e+01	1.700000e+01	1.808495e-03	2.900002e-05	2.900002e-05
1.700000e+01	1.800000e+01	8.998296e-04	2.045596e-05	2.045596e-05
