# BEGIN PLOT
DrawOnly=/nfs/dust/cms/user/shwillia/BTV/Dec14/QCD_Pt-50to80_Tune4C_8TeV_pythia8/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/C_NChargedParticles_BottomJets /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_Tune4C_8TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/C_NChargedParticles_BottomJets
RatioPlotReference=/nfs/dust/cms/user/shwillia/BTV/Dec14/QCD_Pt-50to80_Tune4C_8TeV_pythia8/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/C_NChargedParticles_BottomJets
RatioPlot=1
Legend=1
XLabel=$N(CP)$
YLabel=Normalized to Unity
LogY=1
NormalizeToSum=1
# END PLOT

# BEGIN HISTOGRAM /nfs/dust/cms/user/shwillia/BTV/Dec14/QCD_Pt-50to80_Tune4C_8TeV_pythia8/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/C_NChargedParticles_BottomJets
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=/nfs/dust/cms/user/shwillia/BTV/Dec14/QCD_Pt-50to80_Tune4C_8TeV_pythia8/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/C_NChargedParticles_BottomJets
ScaledBy=1.1379153390987711e-05
Title=MC History Flavor
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+00	3.641329e-03	2.035565e-04	2.035565e-04
1.000000e+00	2.000000e+00	1.680701e-02	4.373208e-04	4.373208e-04
2.000000e+00	3.000000e+00	4.839554e-02	7.420918e-04	7.420918e-04
3.000000e+00	4.000000e+00	9.450387e-02	1.037002e-03	1.037002e-03
4.000000e+00	5.000000e+00	1.378926e-01	1.252638e-03	1.252638e-03
5.000000e+00	6.000000e+00	1.556099e-01	1.330680e-03	1.330680e-03
6.000000e+00	7.000000e+00	1.491579e-01	1.302801e-03	1.302801e-03
7.000000e+00	8.000000e+00	1.251365e-01	1.193293e-03	1.193293e-03
8.000000e+00	9.000000e+00	9.492490e-02	1.039310e-03	1.039310e-03
9.000000e+00	1.000000e+01	6.643150e-02	8.694448e-04	8.694448e-04
1.000000e+01	1.100000e+01	4.440146e-02	7.108101e-04	7.108101e-04
1.100000e+01	1.200000e+01	2.720756e-02	5.564161e-04	5.564161e-04
1.200000e+01	1.300000e+01	1.630633e-02	4.307577e-04	4.307577e-04
1.300000e+01	1.400000e+01	9.239873e-03	3.242559e-04	3.242559e-04
1.400000e+01	1.500000e+01	5.211652e-03	2.435245e-04	2.435245e-04
1.500000e+01	1.600000e+01	2.628584e-03	1.729482e-04	1.729482e-04
1.600000e+01	1.700000e+01	1.319982e-03	1.225573e-04	1.225573e-04
1.700000e+01	1.800000e+01	6.372326e-04	8.515379e-05	8.515379e-05
1.800000e+01	1.900000e+01	2.617205e-04	5.457250e-05	5.457250e-05
1.900000e+01	2.000000e+01	2.048248e-04	4.827766e-05	4.827766e-05
2.000000e+01	2.100000e+01	2.275831e-05	1.609255e-05	1.609255e-05
2.100000e+01	2.200000e+01	2.275830e-05	1.609255e-05	1.609255e-05
2.200000e+01	2.300000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.300000e+01	2.400000e+01	1.137915e-05	1.137915e-05	1.137915e-05
2.400000e+01	2.500000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.500000e+01	2.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.600000e+01	2.700000e+01	2.275831e-05	1.609255e-05	1.609255e-05
2.700000e+01	2.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.800000e+01	2.900000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.900000e+01	3.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+01	3.100000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.100000e+01	3.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.200000e+01	3.300000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.300000e+01	3.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.400000e+01	3.500000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.500000e+01	3.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.600000e+01	3.700000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.700000e+01	3.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.800000e+01	3.900000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.900000e+01	4.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+01	4.100000e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.100000e+01	4.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.200000e+01	4.300000e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.300000e+01	4.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.400000e+01	4.500000e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.500000e+01	4.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.600000e+01	4.700000e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.700000e+01	4.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e+01	4.900000e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.900000e+01	5.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTOGRAM

# BEGIN HISTOGRAM /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_Tune4C_8TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/C_NChargedParticles_BottomJets
LineColor={[HTML]{3366FF}}
LineStyle=solid
Path=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_Tune4C_8TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/C_NChargedParticles_BottomJets
Title=Ghost Hadron Flavor
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+00	4.785000e+03	6.917369e+01	6.917369e+01
1.000000e+00	2.000000e+00	2.718000e+03	5.213444e+01	5.213444e+01
2.000000e+00	3.000000e+00	6.130000e+03	7.829432e+01	7.829432e+01
3.000000e+00	4.000000e+00	9.819000e+03	9.909087e+01	9.909087e+01
4.000000e+00	5.000000e+00	1.185600e+04	1.088853e+02	1.088853e+02
