# BEGIN PLOT
DrawOnly=/nfs/dust/cms/user/shwillia/BTV/Dec14/QCD_Pt-50to80_Tune4C_8TeV_pythia8/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/C_NChargedParticles_LightJets /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_Tune4C_8TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/C_NChargedParticles_LightJets
RatioPlotReference=/nfs/dust/cms/user/shwillia/BTV/Dec14/QCD_Pt-50to80_Tune4C_8TeV_pythia8/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/C_NChargedParticles_LightJets
RatioPlot=1
Legend=1
XLabel=$N(CP)$
YLabel=Normalized to Unity
LogY=1
NormalizeToSum=1
# END PLOT

# BEGIN HISTOGRAM /nfs/dust/cms/user/shwillia/BTV/Dec14/QCD_Pt-50to80_Tune4C_8TeV_pythia8/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/C_NChargedParticles_LightJets
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=/nfs/dust/cms/user/shwillia/BTV/Dec14/QCD_Pt-50to80_Tune4C_8TeV_pythia8/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/C_NChargedParticles_LightJets
ScaledBy=5.4225141703851557e-07
Title=MC History Flavor
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+00	3.139093e-03	4.125746e-05	4.125746e-05
1.000000e+00	2.000000e+00	1.500572e-02	9.020463e-05	9.020463e-05
2.000000e+00	3.000000e+00	4.363714e-02	1.538256e-04	1.538256e-04
3.000000e+00	4.000000e+00	8.394269e-02	2.133496e-04	2.133496e-04
4.000000e+00	5.000000e+00	1.221947e-01	2.574107e-04	2.574107e-04
5.000000e+00	6.000000e+00	1.433707e-01	2.788243e-04	2.788243e-04
6.000000e+00	7.000000e+00	1.440046e-01	2.794400e-04	2.794400e-04
7.000000e+00	8.000000e+00	1.280174e-01	2.634723e-04	2.634723e-04
8.000000e+00	9.000000e+00	1.035440e-01	2.369533e-04	2.369533e-04
9.000000e+00	1.000000e+01	7.723450e-02	2.046473e-04	2.046473e-04
1.000000e+01	1.100000e+01	5.344430e-02	1.702359e-04	1.702359e-04
1.100000e+01	1.200000e+01	3.494810e-02	1.376614e-04	1.376614e-04
1.200000e+01	1.300000e+01	2.115052e-02	1.070930e-04	1.070930e-04
1.300000e+01	1.400000e+01	1.224892e-02	8.149842e-05	8.149842e-05
1.400000e+01	1.500000e+01	6.755368e-03	6.052362e-05	6.052362e-05
1.500000e+01	1.600000e+01	3.729605e-03	4.497092e-05	4.497092e-05
1.600000e+01	1.700000e+01	1.846908e-03	3.164631e-05	3.164631e-05
1.700000e+01	1.800000e+01	9.305034e-04	2.246256e-05	2.246256e-05
