# BEGIN PLOT
DrawOnly=/nfs/dust/cms/user/shwillia/BTV/Dec14/QCD_Pt-50to80_Tune4C_8TeV_pythia8/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/D_ChargedParticlePt_AllJets /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_Tune4C_8TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/D_ChargedParticlePt_AllJets
RatioPlotReference=/nfs/dust/cms/user/shwillia/BTV/Dec14/QCD_Pt-50to80_Tune4C_8TeV_pythia8/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/D_ChargedParticlePt_AllJets
RatioPlot=1
Legend=1
XLabel=$P_{T}(CP)$
YLabel=Normalized to Unity
LogY=1
NormalizeToSum=1
# END PLOT

# BEGIN HISTOGRAM /nfs/dust/cms/user/shwillia/BTV/Dec14/QCD_Pt-50to80_Tune4C_8TeV_pythia8/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/D_ChargedParticlePt_AllJets
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=/nfs/dust/cms/user/shwillia/BTV/Dec14/QCD_Pt-50to80_Tune4C_8TeV_pythia8/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/D_ChargedParticlePt_AllJets
ScaledBy=7.3217735707843073e-08
Title=MC History Flavor
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e+00	1.687178e-01	7.859114e-05	7.859114e-05
2.000000e+00	4.000000e+00	1.633873e-01	7.733967e-05	7.733967e-05
4.000000e+00	6.000000e+00	7.127880e-02	5.108265e-05	5.108265e-05
6.000000e+00	8.000000e+00	3.693963e-02	3.677388e-05	3.677388e-05
8.000000e+00	1.000000e+01	2.097461e-02	2.771023e-05	2.771023e-05
1.000000e+01	1.200000e+01	1.273238e-02	2.158977e-05	2.158977e-05
1.200000e+01	1.400000e+01	8.016940e-03	1.713158e-05	1.713158e-05
1.400000e+01	1.600000e+01	5.293205e-03	1.392042e-05	1.392042e-05
1.600000e+01	1.800000e+01	3.553953e-03	1.140641e-05	1.140641e-05
1.800000e+01	2.000000e+01	2.451806e-03	9.474061e-06	9.474061e-06
2.000000e+01	2.200000e+01	1.719043e-03	7.932982e-06	7.932982e-06
2.200000e+01	2.400000e+01	1.239906e-03	6.737325e-06	6.737325e-06
2.400000e+01	2.600000e+01	9.013835e-04	5.744443e-06	5.744443e-06
2.600000e+01	2.800000e+01	6.660985e-04	4.938128e-06	4.938128e-06
2.800000e+01	3.000000e+01	4.992717e-04	4.275251e-06	4.275251e-06
3.000000e+01	3.200000e+01	3.737766e-04	3.699126e-06	3.699126e-06
3.200000e+01	3.400000e+01	2.874529e-04	3.243967e-06	3.243967e-06
3.400000e+01	3.600000e+01	2.205684e-04	2.841612e-06	2.841612e-06
3.600000e+01	3.800000e+01	1.674489e-04	2.475907e-06	2.475907e-06
3.800000e+01	4.000000e+01	1.325973e-04	2.203233e-06	2.203233e-06
4.000000e+01	4.200000e+01	1.006012e-04	1.919087e-06	1.919087e-06
4.200000e+01	4.400000e+01	7.911175e-05	1.701820e-06	1.701820e-06
4.400000e+01	4.600000e+01	6.311370e-05	1.520040e-06	1.520040e-06
4.600000e+01	4.800000e+01	4.652987e-05	1.305146e-06	1.305146e-06
4.800000e+01	5.000000e+01	3.598651e-05	1.147792e-06	1.147792e-06
5.000000e+01	5.200000e+01	2.745665e-05	1.002575e-06	1.002575e-06
5.200000e+01	5.400000e+01	2.061079e-05	8.686413e-07	8.686413e-07
5.400000e+01	5.600000e+01	1.757226e-05	8.020602e-07	8.020602e-07
5.600000e+01	5.800000e+01	1.328902e-05	6.974927e-07	6.974927e-07
5.800000e+01	6.000000e+01	9.737960e-06	5.970727e-07	5.970727e-07
6.000000e+01	6.200000e+01	7.578035e-06	5.267098e-07	5.267098e-07
6.200000e+01	6.400000e+01	5.527940e-06	4.498573e-07	4.498573e-07
6.400000e+01	6.600000e+01	4.905589e-06	4.237783e-07	4.237783e-07
6.600000e+01	6.800000e+01	3.368016e-06	3.511399e-07	3.511399e-07
6.800000e+01	7.000000e+01	2.416186e-06	2.974118e-07	2.974118e-07
7.000000e+01	7.200000e+01	1.940270e-06	2.665166e-07	2.665166e-07
7.200000e+01	7.400000e+01	1.427746e-06	2.286223e-07	2.286223e-07
7.400000e+01	7.600000e+01	1.098266e-06	2.005150e-07	2.005150e-07
7.600000e+01	7.800000e+01	8.420040e-07	1.755700e-07	1.755700e-07
7.800000e+01	8.000000e+01	8.053950e-07	1.717108e-07	1.717108e-07
8.000000e+01	8.200000e+01	6.223510e-07	1.509422e-07	1.509422e-07
8.200000e+01	8.400000e+01	4.026975e-07	1.214179e-07	1.214179e-07
8.400000e+01	8.600000e+01	2.562621e-07	9.685796e-08	9.685796e-08
8.600000e+01	8.800000e+01	1.464354e-07	7.321774e-08	7.321774e-08
8.800000e+01	9.000000e+01	7.321775e-08	5.177275e-08	5.177275e-08
9.000000e+01	9.200000e+01	1.830444e-07	8.185991e-08	8.185991e-08
9.200000e+01	9.400000e+01	7.321775e-08	5.177275e-08	5.177275e-08
9.400000e+01	9.600000e+01	3.660887e-08	3.660887e-08	3.660887e-08
9.600000e+01	9.800000e+01	3.660887e-08	3.660887e-08	3.660887e-08
9.800000e+01	1.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+02	1.020000e+02	3.660887e-08	3.660887e-08	3.660887e-08
1.020000e+02	1.040000e+02	7.321775e-08	5.177275e-08	5.177275e-08
1.040000e+02	1.060000e+02	3.660886e-08	3.660887e-08	3.660887e-08
1.060000e+02	1.080000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.080000e+02	1.100000e+02	3.660887e-08	3.660887e-08	3.660887e-08
1.100000e+02	1.120000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.120000e+02	1.140000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.140000e+02	1.160000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.160000e+02	1.180000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.180000e+02	1.200000e+02	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTOGRAM

# BEGIN HISTOGRAM /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_Tune4C_8TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/D_ChargedParticlePt_AllJets
LineColor={[HTML]{3366FF}}
LineStyle=solid
Path=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_Tune4C_8TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/D_ChargedParticlePt_AllJets
Title=Ghost Hadron Flavor
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e+00	1.439550e+06	8.483954e+02	8.483954e+02
2.000000e+00	4.000000e+00	1.835918e+06	9.581018e+02	9.581018e+02
4.000000e+00	6.000000e+00	9.069240e+05	6.733959e+02	6.733959e+02
6.000000e+00	8.000000e+00	4.858145e+05	4.928562e+02	4.928562e+02
8.000000e+00	1.000000e+01	2.795155e+05	3.738419e+02	3.738419e+02
1.000000e+01	1.200000e+01	1.708515e+05	2.922768e+02	2.922768e+02
