# BEGIN PLOT
DrawOnly=/nfs/dust/cms/user/shwillia/BTV/Dec14/QCD_Pt-50to80_Tune4C_8TeV_pythia8/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/D_ChargedParticlePt_BottomJets /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_Tune4C_8TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/D_ChargedParticlePt_BottomJets
RatioPlotReference=/nfs/dust/cms/user/shwillia/BTV/Dec14/QCD_Pt-50to80_Tune4C_8TeV_pythia8/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/D_ChargedParticlePt_BottomJets
RatioPlot=1
Legend=1
XLabel=$P_{T}(CP)$
YLabel=Normalized to Unity
LogY=1
NormalizeToSum=1
# END PLOT

# BEGIN HISTOGRAM /nfs/dust/cms/user/shwillia/BTV/Dec14/QCD_Pt-50to80_Tune4C_8TeV_pythia8/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/D_ChargedParticlePt_BottomJets
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=/nfs/dust/cms/user/shwillia/BTV/Dec14/QCD_Pt-50to80_Tune4C_8TeV_pythia8/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/D_ChargedParticlePt_BottomJets
ScaledBy=1.8750433603777087e-06
Title=MC History Flavor
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e+00	1.672501e-01	3.959806e-04	3.959806e-04
2.000000e+00	4.000000e+00	1.609040e-01	3.883954e-04	3.883954e-04
4.000000e+00	6.000000e+00	7.233635e-02	2.604168e-04	2.604168e-04
6.000000e+00	8.000000e+00	3.811776e-02	1.890403e-04	1.890403e-04
8.000000e+00	1.000000e+01	2.188175e-02	1.432293e-04	1.432293e-04
1.000000e+01	1.200000e+01	1.320405e-02	1.112613e-04	1.112613e-04
1.200000e+01	1.400000e+01	8.381445e-03	8.864415e-05	8.864415e-05
1.400000e+01	1.600000e+01	5.477000e-03	7.165757e-05	7.165757e-05
1.600000e+01	1.800000e+01	3.662897e-03	5.860073e-05	5.860073e-05
1.800000e+01	2.000000e+01	2.470370e-03	4.812510e-05	4.812510e-05
2.000000e+01	2.200000e+01	1.753166e-03	4.054172e-05	4.054172e-05
2.200000e+01	2.400000e+01	1.221591e-03	3.384180e-05	3.384180e-05
2.400000e+01	2.600000e+01	8.906455e-04	2.889636e-05	2.889636e-05
2.600000e+01	2.800000e+01	6.628280e-04	2.492821e-05	2.492821e-05
2.800000e+01	3.000000e+01	4.734485e-04	2.106818e-05	2.106818e-05
3.000000e+01	3.200000e+01	3.215700e-04	1.736314e-05	1.736314e-05
3.200000e+01	3.400000e+01	2.371930e-04	1.491220e-05	1.491220e-05
3.400000e+01	3.600000e+01	1.968796e-04	1.358598e-05	1.358598e-05
3.600000e+01	3.800000e+01	1.415658e-04	1.152046e-05	1.152046e-05
3.800000e+01	4.000000e+01	9.656475e-05	9.514806e-06	9.514806e-06
4.000000e+01	4.200000e+01	7.593925e-05	8.437695e-06	8.437695e-06
4.200000e+01	4.400000e+01	6.750155e-05	7.955135e-06	7.955135e-06
4.400000e+01	4.600000e+01	5.343875e-05	7.078134e-06	7.078134e-06
4.600000e+01	4.800000e+01	3.375078e-05	5.625131e-06	5.625131e-06
4.800000e+01	5.000000e+01	2.437556e-05	4.780441e-06	4.780441e-06
5.000000e+01	5.200000e+01	1.500035e-05	3.750087e-06	3.750087e-06
5.200000e+01	5.400000e+01	1.125026e-05	3.247670e-06	3.247670e-06
5.400000e+01	5.600000e+01	1.125026e-05	3.247670e-06	3.247670e-06
5.600000e+01	5.800000e+01	1.031274e-05	3.109407e-06	3.109407e-06
5.800000e+01	6.000000e+01	3.750087e-06	1.875043e-06	1.875043e-06
6.000000e+01	6.200000e+01	3.750087e-06	1.875043e-06	1.875043e-06
6.200000e+01	6.400000e+01	1.875044e-06	1.325856e-06	1.325856e-06
6.400000e+01	6.600000e+01	1.875044e-06	1.325856e-06	1.325856e-06
6.600000e+01	6.800000e+01	2.812565e-06	1.623835e-06	1.623835e-06
6.800000e+01	7.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
7.000000e+01	7.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
7.200000e+01	7.400000e+01	9.375220e-07	9.375219e-07	9.375219e-07
7.400000e+01	7.600000e+01	9.375215e-07	9.375217e-07	9.375217e-07
7.600000e+01	7.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
7.800000e+01	8.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+01	8.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.200000e+01	8.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.400000e+01	8.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.600000e+01	8.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.800000e+01	9.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
9.000000e+01	9.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
9.200000e+01	9.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00
9.400000e+01	9.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
9.600000e+01	9.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
9.800000e+01	1.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+02	1.020000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.020000e+02	1.040000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.040000e+02	1.060000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.060000e+02	1.080000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.080000e+02	1.100000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.100000e+02	1.120000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.120000e+02	1.140000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.140000e+02	1.160000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.160000e+02	1.180000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.180000e+02	1.200000e+02	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTOGRAM

# BEGIN HISTOGRAM /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_Tune4C_8TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/D_ChargedParticlePt_BottomJets
LineColor={[HTML]{3366FF}}
LineStyle=solid
Path=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_Tune4C_8TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/D_ChargedParticlePt_BottomJets
Title=Ghost Hadron Flavor
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e+00	4.307500e+04	1.467566e+02	1.467566e+02
2.000000e+00	4.000000e+00	5.312200e+04	1.629755e+02	1.629755e+02
4.000000e+00	6.000000e+00	2.727600e+04	1.167818e+02	1.167818e+02
6.000000e+00	8.000000e+00	1.506350e+04	8.678566e+01	8.678566e+01
8.000000e+00	1.000000e+01	8.845000e+03	6.650188e+01	6.650188e+01
1.000000e+01	1.200000e+01	5.494000e+03	5.241183e+01	5.241183e+01
1.200000e+01	1.400000e+01	3.519000e+03	4.194639e+01	4.194639e+01
1.400000e+01	1.600000e+01	2.304500e+03	3.394481e+01	3.394481e+01
1.600000e+01	1.800000e+01	1.581000e+03	2.811583e+01	2.811583e+01
1.800000e+01	2.000000e+01	1.100500e+03	2.345741e+01	2.345741e+01
2.000000e+01	2.200000e+01	8.035000e+02	2.004370e+01	2.004370e+01
2.200000e+01	2.400000e+01	5.550000e+02	1.665833e+01	1.665833e+01
2.400000e+01	2.600000e+01	4.115000e+02	1.434399e+01	1.434399e+01
2.600000e+01	2.800000e+01	3.115000e+02	1.247998e+01	1.247998e+01
2.800000e+01	3.000000e+01	2.260000e+02	1.063015e+01	1.063015e+01
3.000000e+01	3.200000e+01	1.515000e+02	8.703448e+00	8.703448e+00
3.200000e+01	3.400000e+01	1.145000e+02	7.566373e+00	7.566373e+00
3.400000e+01	3.600000e+01	9.300000e+01	6.819091e+00	6.819091e+00
3.600000e+01	3.800000e+01	6.100000e+01	5.522681e+00	5.522681e+00
3.800000e+01	4.000000e+01	4.400000e+01	4.690416e+00	4.690416e+00
4.000000e+01	4.200000e+01	3.500000e+01	4.183300e+00	4.183300e+00
4.200000e+01	4.400000e+01	3.100000e+01	3.937004e+00	3.937004e+00
4.400000e+01	4.600000e+01	2.350000e+01	3.427827e+00	3.427827e+00
4.600000e+01	4.800000e+01	1.500000e+01	2.738613e+00	2.738613e+00
4.800000e+01	5.000000e+01	1.050000e+01	2.291288e+00	2.291288e+00
5.000000e+01	5.200000e+01	8.000000e+00	2.000000e+00	2.000000e+00
5.200000e+01	5.400000e+01	5.500000e+00	1.658312e+00	1.658312e+00
