# BEGIN PLOT
DrawOnly=/nfs/dust/cms/user/shwillia/BTV/Dec14/QCD_Pt-50to80_Tune4C_8TeV_pythia8/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/D_ChargedParticlePt_CharmJets /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_Tune4C_8TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/D_ChargedParticlePt_CharmJets
RatioPlotReference=/nfs/dust/cms/user/shwillia/BTV/Dec14/QCD_Pt-50to80_Tune4C_8TeV_pythia8/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/D_ChargedParticlePt_CharmJets
RatioPlot=1
Legend=1
XLabel=$P_{T}(CP)$
YLabel=Normalized to Unity
LogY=1
NormalizeToSum=1
# END PLOT

# BEGIN HISTOGRAM /nfs/dust/cms/user/shwillia/BTV/Dec14/QCD_Pt-50to80_Tune4C_8TeV_pythia8/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/D_ChargedParticlePt_CharmJets
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=/nfs/dust/cms/user/shwillia/BTV/Dec14/QCD_Pt-50to80_Tune4C_8TeV_pythia8/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/D_ChargedParticlePt_CharmJets
ScaledBy=7.4330431473288618e-07
Title=MC History Flavor
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e+00	1.676731e-01	2.496319e-04	2.496319e-04
2.000000e+00	4.000000e+00	1.600642e-01	2.439021e-04	2.439021e-04
4.000000e+00	6.000000e+00	7.078485e-02	1.621954e-04	1.621954e-04
6.000000e+00	8.000000e+00	3.758592e-02	1.181901e-04	1.181901e-04
8.000000e+00	1.000000e+01	2.178216e-02	8.997437e-05	8.997437e-05
1.000000e+01	1.200000e+01	1.364595e-02	7.121480e-05	7.121480e-05
1.200000e+01	1.400000e+01	8.853125e-03	5.736098e-05	5.736098e-05
1.400000e+01	1.600000e+01	5.842370e-03	4.659753e-05	4.659753e-05
1.600000e+01	1.800000e+01	3.975563e-03	3.843861e-05	3.843861e-05
1.800000e+01	2.000000e+01	2.787763e-03	3.218817e-05	3.218817e-05
2.000000e+01	2.200000e+01	1.965296e-03	2.702604e-05	2.702604e-05
2.200000e+01	2.400000e+01	1.369910e-03	2.256391e-05	2.256391e-05
2.400000e+01	2.600000e+01	9.841350e-04	1.912474e-05	1.912474e-05
2.600000e+01	2.800000e+01	7.232350e-04	1.639488e-05	1.639488e-05
2.800000e+01	3.000000e+01	5.139950e-04	1.382126e-05	1.382126e-05
3.000000e+01	3.200000e+01	3.679357e-04	1.169376e-05	1.169376e-05
3.200000e+01	3.400000e+01	2.761376e-04	1.013050e-05	1.013050e-05
3.400000e+01	3.600000e+01	2.096118e-04	8.826249e-06	8.826249e-06
3.600000e+01	3.800000e+01	1.442010e-04	7.320698e-06	7.320698e-06
3.800000e+01	4.000000e+01	1.140972e-04	6.511872e-06	6.511872e-06
4.000000e+01	4.200000e+01	9.402800e-05	5.911489e-06	5.911489e-06
4.200000e+01	4.400000e+01	6.057930e-05	4.744937e-06	4.744937e-06
4.400000e+01	4.600000e+01	4.534156e-05	4.105032e-06	4.105032e-06
4.600000e+01	4.800000e+01	3.456365e-05	3.584084e-06	3.584084e-06
4.800000e+01	5.000000e+01	2.490069e-05	3.042104e-06	3.042104e-06
5.000000e+01	5.200000e+01	1.858261e-05	2.627978e-06	2.627978e-06
5.200000e+01	5.400000e+01	1.189287e-05	2.102382e-06	2.102382e-06
5.400000e+01	5.600000e+01	1.412278e-05	2.291018e-06	2.291018e-06
5.600000e+01	5.800000e+01	5.946435e-06	1.486609e-06	1.486609e-06
5.800000e+01	6.000000e+01	7.061390e-06	1.619994e-06	1.619994e-06
6.000000e+01	6.200000e+01	4.831478e-06	1.340011e-06	1.340011e-06
6.200000e+01	6.400000e+01	3.716522e-06	1.175267e-06	1.175267e-06
6.400000e+01	6.600000e+01	3.344869e-06	1.114957e-06	1.114957e-06
6.600000e+01	6.800000e+01	3.716521e-06	1.175267e-06	1.175267e-06
6.800000e+01	7.000000e+01	3.716521e-07	3.716522e-07	3.716522e-07
7.000000e+01	7.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
7.200000e+01	7.400000e+01	7.433045e-07	5.255956e-07	5.255956e-07
7.400000e+01	7.600000e+01	1.114957e-06	6.437204e-07	6.437204e-07
7.600000e+01	7.800000e+01	7.433040e-07	5.255956e-07	5.255956e-07
7.800000e+01	8.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+01	8.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.200000e+01	8.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.400000e+01	8.600000e+01	3.716522e-07	3.716522e-07	3.716522e-07
8.600000e+01	8.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.800000e+01	9.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
9.000000e+01	9.200000e+01	3.716522e-07	3.716522e-07	3.716522e-07
9.200000e+01	9.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00
9.400000e+01	9.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
9.600000e+01	9.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
9.800000e+01	1.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+02	1.020000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.020000e+02	1.040000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.040000e+02	1.060000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.060000e+02	1.080000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.080000e+02	1.100000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.100000e+02	1.120000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.120000e+02	1.140000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.140000e+02	1.160000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.160000e+02	1.180000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.180000e+02	1.200000e+02	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTOGRAM

# BEGIN HISTOGRAM /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_Tune4C_8TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/D_ChargedParticlePt_CharmJets
LineColor={[HTML]{3366FF}}
LineStyle=solid
Path=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_Tune4C_8TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/D_ChargedParticlePt_CharmJets
Title=Ghost Hadron Flavor
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e+00	1.029055e+05	2.268320e+02	2.268320e+02
2.000000e+00	4.000000e+00	1.291650e+05	2.541309e+02	2.541309e+02
4.000000e+00	6.000000e+00	6.599700e+04	1.816549e+02	1.816549e+02
6.000000e+00	8.000000e+00	3.687500e+04	1.357848e+02	1.357848e+02
8.000000e+00	1.000000e+01	2.203750e+04	1.049702e+02	1.049702e+02
1.000000e+01	1.200000e+01	1.399150e+04	8.364060e+01	8.364060e+01
1.200000e+01	1.400000e+01	9.215000e+03	6.787857e+01	6.787857e+01
1.400000e+01	1.600000e+01	6.203500e+03	5.569336e+01	5.569336e+01
1.600000e+01	1.800000e+01	4.243500e+03	4.606246e+01	4.606246e+01
1.800000e+01	2.000000e+01	2.993500e+03	3.868785e+01	3.868785e+01
2.000000e+01	2.200000e+01	2.150500e+03	3.279100e+01	3.279100e+01
2.200000e+01	2.400000e+01	1.525000e+03	2.761340e+01	2.761340e+01
2.400000e+01	2.600000e+01	1.072000e+03	2.315167e+01	2.315167e+01
2.600000e+01	2.800000e+01	7.895000e+02	1.986832e+01	1.986832e+01
2.800000e+01	3.000000e+01	5.610000e+02	1.674813e+01	1.674813e+01
3.000000e+01	3.200000e+01	3.980000e+02	1.410674e+01	1.410674e+01
3.200000e+01	3.400000e+01	3.010000e+02	1.226784e+01	1.226784e+01
3.400000e+01	3.600000e+01	2.190000e+02	1.046422e+01	1.046422e+01
3.600000e+01	3.800000e+01	1.570000e+02	8.860023e+00	8.860023e+00
3.800000e+01	4.000000e+01	1.270000e+02	7.968689e+00	7.968689e+00
4.000000e+01	4.200000e+01	9.550000e+01	6.910137e+00	6.910137e+00
4.200000e+01	4.400000e+01	6.700000e+01	5.787918e+00	5.787918e+00
4.400000e+01	4.600000e+01	4.800000e+01	4.898979e+00	4.898979e+00
4.600000e+01	4.800000e+01	3.650000e+01	4.272002e+00	4.272002e+00
4.800000e+01	5.000000e+01	2.350000e+01	3.427827e+00	3.427827e+00
5.000000e+01	5.200000e+01	1.900000e+01	3.082207e+00	3.082207e+00
5.200000e+01	5.400000e+01	1.150000e+01	2.397916e+00	2.397916e+00
5.400000e+01	5.600000e+01	1.500000e+01	2.738613e+00	2.738613e+00
5.600000e+01	5.800000e+01	5.500000e+00	1.658312e+00	1.658312e+00
5.800000e+01	6.000000e+01	9.000000e+00	2.121320e+00	2.121320e+00
6.000000e+01	6.200000e+01	6.500000e+00	1.802776e+00	1.802776e+00
6.200000e+01	6.400000e+01	2.000000e+00	1.000000e+00	1.000000e+00
