# BEGIN PLOT
DrawOnly=/nfs/dust/cms/user/shwillia/BTV/Dec14/QCD_Pt-50to80_Tune4C_8TeV_pythia8/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/E_ChargedParticlePtUncut_AllJets /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_Tune4C_8TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/E_ChargedParticlePtUncut_AllJets
RatioPlotReference=/nfs/dust/cms/user/shwillia/BTV/Dec14/QCD_Pt-50to80_Tune4C_8TeV_pythia8/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/E_ChargedParticlePtUncut_AllJets
RatioPlot=1
Legend=1
XLabel=$P_{T}(CP)$
YLabel=Normalized to Unity
LogY=1
NormalizeToSum=1
# END PLOT

# BEGIN HISTOGRAM /nfs/dust/cms/user/shwillia/BTV/Dec14/QCD_Pt-50to80_Tune4C_8TeV_pythia8/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/E_ChargedParticlePtUncut_AllJets
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=/nfs/dust/cms/user/shwillia/BTV/Dec14/QCD_Pt-50to80_Tune4C_8TeV_pythia8/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/E_ChargedParticlePtUncut_AllJets
ScaledBy=4.9701500244755037e-08
Title=MC History Flavor
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e-01	3.067734e-01	1.746259e-04	1.746259e-04
5.000000e-01	1.000000e+00	3.355910e-01	1.826438e-04	1.826438e-04
1.000000e+00	1.500000e+00	2.593430e-01	1.605599e-04	1.605599e-04
1.500000e+00	2.000000e+00	1.987716e-01	1.405649e-04	1.405649e-04
2.000000e+00	2.500000e+00	1.531005e-01	1.233639e-04	1.233639e-04
2.500000e+00	3.000000e+00	1.193878e-01	1.089381e-04	1.089381e-04
3.000000e+00	3.500000e+00	9.470620e-02	9.702618e-05	9.702618e-05
3.500000e+00	4.000000e+00	7.644648e-02	8.717229e-05	8.717229e-05
4.000000e+00	4.500000e+00	6.238930e-02	7.875077e-05	7.875077e-05
4.500000e+00	5.000000e+00	5.149702e-02	7.154691e-05	7.154691e-05
5.000000e+00	5.500000e+00	4.324398e-02	6.556356e-05	6.556356e-05
5.500000e+00	6.000000e+00	3.641102e-02	6.016116e-05	6.016116e-05
6.000000e+00	6.500000e+00	3.108432e-02	5.558664e-05	5.558664e-05
6.500000e+00	7.000000e+00	2.656346e-02	5.138568e-05	5.138568e-05
7.000000e+00	7.500000e+00	2.285236e-02	4.766123e-05	4.766123e-05
7.500000e+00	8.000000e+00	1.980098e-02	4.436527e-05	4.436527e-05
8.000000e+00	8.500000e+00	1.717366e-02	4.131723e-05	4.131723e-05
8.500000e+00	9.000000e+00	1.499614e-02	3.860908e-05	3.860908e-05
9.000000e+00	9.500000e+00	1.318591e-02	3.620385e-05	3.620385e-05
9.500000e+00	1.000000e+01	1.159606e-02	3.395118e-05	3.395118e-05
# END HISTOGRAM

# BEGIN HISTOGRAM /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_Tune4C_8TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/E_ChargedParticlePtUncut_AllJets
LineColor={[HTML]{3366FF}}
LineStyle=solid
Path=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_Tune4C_8TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/E_ChargedParticlePtUncut_AllJets
Title=Ghost Hadron Flavor
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e-01	2.390952e+06	2.186757e+03	2.186757e+03
5.000000e-01	1.000000e+00	3.126322e+06	2.500529e+03	2.500529e+03
1.000000e+00	1.500000e+00	3.028244e+06	2.460993e+03	2.460993e+03
1.500000e+00	2.000000e+00	2.729954e+06	2.336645e+03	2.336645e+03
2.000000e+00	2.500000e+00	2.348856e+06	2.167421e+03	2.167421e+03
2.500000e+00	3.000000e+00	1.972730e+06	1.986318e+03	1.986318e+03
3.000000e+00	3.500000e+00	1.646858e+06	1.814860e+03	1.814860e+03
3.500000e+00	4.000000e+00	1.375228e+06	1.658450e+03	1.658450e+03
4.000000e+00	4.500000e+00	1.148080e+06	1.515309e+03	1.515309e+03
4.500000e+00	5.000000e+00	9.636040e+05	1.388239e+03	1.388239e+03
5.000000e+00	5.500000e+00	8.191960e+05	1.279997e+03	1.279997e+03
5.500000e+00	6.000000e+00	6.968160e+05	1.180522e+03	1.180522e+03
6.000000e+00	6.500000e+00	5.983800e+05	1.093965e+03	1.093965e+03
6.500000e+00	7.000000e+00	5.142440e+05	1.014144e+03	1.014144e+03
7.000000e+00	7.500000e+00	4.443540e+05	9.427131e+02	9.427131e+02
7.500000e+00	8.000000e+00	3.862800e+05	8.789539e+02	8.789539e+02
8.000000e+00	8.500000e+00	3.361540e+05	8.199439e+02	8.199439e+02
8.500000e+00	9.000000e+00	2.942500e+05	7.671375e+02	7.671375e+02
9.000000e+00	9.500000e+00	2.591120e+05	7.198778e+02	7.198778e+02
9.500000e+00	1.000000e+01	2.285460e+05	6.760858e+02	6.760858e+02
# END HISTOGRAM

