# BEGIN PLOT
DrawOnly=/nfs/dust/cms/user/shwillia/BTV/Dec14/QCD_Pt-50to80_Tune4C_8TeV_pythia8/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/E_ChargedParticlePtUncut_BottomJets /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_Tune4C_8TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/E_ChargedParticlePtUncut_BottomJets
RatioPlotReference=/nfs/dust/cms/user/shwillia/BTV/Dec14/QCD_Pt-50to80_Tune4C_8TeV_pythia8/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/E_ChargedParticlePtUncut_BottomJets
RatioPlot=1
Legend=1
XLabel=$P_{T}(CP)$
YLabel=Normalized to Unity
LogY=1
NormalizeToSum=1
# END PLOT

# BEGIN HISTOGRAM /nfs/dust/cms/user/shwillia/BTV/Dec14/QCD_Pt-50to80_Tune4C_8TeV_pythia8/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/E_ChargedParticlePtUncut_BottomJets
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=/nfs/dust/cms/user/shwillia/BTV/Dec14/QCD_Pt-50to80_Tune4C_8TeV_pythia8/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/E_ChargedParticlePtUncut_BottomJets
ScaledBy=1.2584093202827898e-06
Title=MC History Flavor
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e-01	3.194044e-01	8.965951e-04	8.965951e-04
5.000000e-01	1.000000e+00	3.383234e-01	9.227667e-04	9.227667e-04
1.000000e+00	1.500000e+00	2.553942e-01	8.017361e-04	8.017361e-04
1.500000e+00	2.000000e+00	1.935962e-01	6.980304e-04	6.980304e-04
2.000000e+00	2.500000e+00	1.481576e-01	6.106437e-04	6.106437e-04
2.500000e+00	3.000000e+00	1.154993e-01	5.391575e-04	5.391575e-04
3.000000e+00	3.500000e+00	9.322044e-02	4.843748e-04	4.843748e-04
3.500000e+00	4.000000e+00	7.507670e-02	4.346889e-04	4.346889e-04
4.000000e+00	4.500000e+00	6.193890e-02	3.948278e-04	3.948278e-04
4.500000e+00	5.000000e+00	5.183640e-02	3.611963e-04	3.611963e-04
5.000000e+00	5.500000e+00	4.391848e-02	3.324679e-04	3.324679e-04
5.500000e+00	6.000000e+00	3.649638e-02	3.030756e-04	3.030756e-04
6.000000e+00	6.500000e+00	3.184028e-02	2.830834e-04	2.830834e-04
6.500000e+00	7.000000e+00	2.685194e-02	2.599643e-04	2.599643e-04
7.000000e+00	7.500000e+00	2.344416e-02	2.429089e-04	2.429089e-04
7.500000e+00	8.000000e+00	2.019244e-02	2.254344e-04	2.254344e-04
8.000000e+00	8.500000e+00	1.785431e-02	2.119813e-04	2.119813e-04
8.500000e+00	9.000000e+00	1.501031e-02	1.943662e-04	1.943662e-04
9.000000e+00	9.500000e+00	1.384502e-02	1.866692e-04	1.866692e-04
9.500000e+00	1.000000e+01	1.203291e-02	1.740249e-04	1.740249e-04
# END HISTOGRAM

# BEGIN HISTOGRAM /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_Tune4C_8TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/E_ChargedParticlePtUncut_BottomJets
LineColor={[HTML]{3366FF}}
LineStyle=solid
Path=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_Tune4C_8TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/E_ChargedParticlePtUncut_BottomJets
Title=Ghost Hadron Flavor
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e-01	7.210600e+04	3.797526e+02	3.797526e+02
5.000000e-01	1.000000e+00	9.766400e+04	4.419593e+02	4.419593e+02
1.000000e+00	1.500000e+00	9.193200e+04	4.287937e+02	4.287937e+02
1.500000e+00	2.000000e+00	8.036800e+04	4.009189e+02	4.009189e+02
2.000000e+00	2.500000e+00	6.826600e+04	3.695024e+02	3.695024e+02
2.500000e+00	3.000000e+00	5.632200e+04	3.356248e+02	3.356248e+02
3.000000e+00	3.500000e+00	4.770800e+04	3.088948e+02	3.088948e+02
3.500000e+00	4.000000e+00	4.019200e+04	2.835207e+02	2.835207e+02
4.000000e+00	4.500000e+00	3.377000e+04	2.598846e+02	2.598846e+02
4.500000e+00	5.000000e+00	2.909000e+04	2.412053e+02	2.412053e+02
5.000000e+00	5.500000e+00	2.499000e+04	2.235621e+02	2.235621e+02
5.500000e+00	6.000000e+00	2.125400e+04	2.061747e+02	2.061747e+02
6.000000e+00	6.500000e+00	1.847400e+04	1.922186e+02	1.922186e+02
6.500000e+00	7.000000e+00	1.590800e+04	1.783704e+02	1.783704e+02
7.000000e+00	7.500000e+00	1.377000e+04	1.659518e+02	1.659518e+02
7.500000e+00	8.000000e+00	1.210200e+04	1.555763e+02	1.555763e+02
8.000000e+00	8.500000e+00	1.073400e+04	1.465196e+02	1.465196e+02
8.500000e+00	9.000000e+00	8.966000e+03	1.339104e+02	1.339104e+02
9.000000e+00	9.500000e+00	8.326000e+03	1.290426e+02	1.290426e+02
9.500000e+00	1.000000e+01	7.354000e+03	1.212765e+02	1.212765e+02
# END HISTOGRAM

