# BEGIN PLOT
DrawOnly=/nfs/dust/cms/user/shwillia/BTV/Dec14/QCD_Pt-50to80_Tune4C_8TeV_pythia8/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/E_ChargedParticlePtUncut_CharmJets /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_Tune4C_8TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/E_ChargedParticlePtUncut_CharmJets
RatioPlotReference=/nfs/dust/cms/user/shwillia/BTV/Dec14/QCD_Pt-50to80_Tune4C_8TeV_pythia8/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/E_ChargedParticlePtUncut_CharmJets
RatioPlot=1
Legend=1
XLabel=$P_{T}(CP)$
YLabel=Normalized to Unity
LogY=1
NormalizeToSum=1
# END PLOT

# BEGIN HISTOGRAM /nfs/dust/cms/user/shwillia/BTV/Dec14/QCD_Pt-50to80_Tune4C_8TeV_pythia8/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/E_ChargedParticlePtUncut_CharmJets
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=/nfs/dust/cms/user/shwillia/BTV/Dec14/QCD_Pt-50to80_Tune4C_8TeV_pythia8/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/E_ChargedParticlePtUncut_CharmJets
ScaledBy=4.9438453327875324e-07
Title=MC History Flavor
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e-01	3.294856e-01	5.707759e-04	5.707759e-04
5.000000e-01	1.000000e+00	3.402800e-01	5.800502e-04	5.800502e-04
1.000000e+00	1.500000e+00	2.536380e-01	5.007888e-04	5.007888e-04
1.500000e+00	2.000000e+00	1.924510e-01	4.362220e-04	4.362220e-04
2.000000e+00	2.500000e+00	1.469232e-01	3.811471e-04	3.811471e-04
2.500000e+00	3.000000e+00	1.141138e-01	3.359051e-04	3.359051e-04
3.000000e+00	3.500000e+00	9.118528e-02	3.002685e-04	3.002685e-04
3.500000e+00	4.000000e+00	7.362374e-02	2.698090e-04	2.698090e-04
4.000000e+00	4.500000e+00	6.041478e-02	2.444101e-04	2.444101e-04
4.500000e+00	5.000000e+00	4.991208e-02	2.221520e-04	2.221520e-04
5.000000e+00	5.500000e+00	4.196930e-02	2.037104e-04	2.037104e-04
5.500000e+00	6.000000e+00	3.602482e-02	1.887332e-04	1.887332e-04
6.000000e+00	6.500000e+00	3.056978e-02	1.738576e-04	1.738576e-04
6.500000e+00	7.000000e+00	2.644266e-02	1.616962e-04	1.616962e-04
7.000000e+00	7.500000e+00	2.288604e-02	1.504294e-04	1.504294e-04
7.500000e+00	8.000000e+00	2.009772e-02	1.409681e-04	1.409681e-04
8.000000e+00	8.500000e+00	1.740827e-02	1.311974e-04	1.311974e-04
8.500000e+00	9.000000e+00	1.533976e-02	1.231563e-04	1.231563e-04
9.000000e+00	9.500000e+00	1.325148e-02	1.144668e-04	1.144668e-04
9.500000e+00	1.000000e+01	1.195125e-02	1.087062e-04	1.087062e-04
# END HISTOGRAM

# BEGIN HISTOGRAM /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_Tune4C_8TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/E_ChargedParticlePtUncut_CharmJets
LineColor={[HTML]{3366FF}}
LineStyle=solid
Path=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_Tune4C_8TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/E_ChargedParticlePtUncut_CharmJets
Title=Ghost Hadron Flavor
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e-01	1.819240e+05	6.031981e+02	6.031981e+02
5.000000e-01	1.000000e+00	2.306660e+05	6.792143e+02	6.792143e+02
1.000000e+00	1.500000e+00	2.179200e+05	6.601818e+02	6.601818e+02
1.500000e+00	2.000000e+00	1.937020e+05	6.224179e+02	6.224179e+02
2.000000e+00	2.500000e+00	1.641940e+05	5.730515e+02	5.730515e+02
2.500000e+00	3.000000e+00	1.381800e+05	5.256995e+02	5.256995e+02
3.000000e+00	3.500000e+00	1.167300e+05	4.831770e+02	4.831770e+02
3.500000e+00	4.000000e+00	9.755600e+04	4.417148e+02	4.417148e+02
4.000000e+00	4.500000e+00	8.246200e+04	4.061084e+02	4.061084e+02
4.500000e+00	5.000000e+00	6.970400e+04	3.733738e+02	3.733738e+02
5.000000e+00	5.500000e+00	5.963800e+04	3.453636e+02	3.453636e+02
5.500000e+00	6.000000e+00	5.218400e+04	3.230604e+02	3.230604e+02
6.000000e+00	6.500000e+00	4.456600e+04	2.985498e+02	2.985498e+02
6.500000e+00	7.000000e+00	3.876400e+04	2.784385e+02	2.784385e+02
7.000000e+00	7.500000e+00	3.414200e+04	2.613121e+02	2.613121e+02
7.500000e+00	8.000000e+00	3.002800e+04	2.450633e+02	2.450633e+02
8.000000e+00	8.500000e+00	2.619800e+04	2.289017e+02	2.289017e+02
8.500000e+00	9.000000e+00	2.343000e+04	2.164717e+02	2.164717e+02
9.000000e+00	9.500000e+00	2.025400e+04	2.012660e+02	2.012660e+02
9.500000e+00	1.000000e+01	1.826800e+04	1.911439e+02	1.911439e+02
# END HISTOGRAM

