# BEGIN PLOT
DrawOnly=/nfs/dust/cms/user/shwillia/BTV/Dec14/QCD_Pt-50to80_Tune4C_8TeV_pythia8/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/E_ChargedParticlePtUncut_LightJets /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_Tune4C_8TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/E_ChargedParticlePtUncut_LightJets
RatioPlotReference=/nfs/dust/cms/user/shwillia/BTV/Dec14/QCD_Pt-50to80_Tune4C_8TeV_pythia8/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/E_ChargedParticlePtUncut_LightJets
RatioPlot=1
Legend=1
XLabel=$P_{T}(CP)$
YLabel=Normalized to Unity
LogY=1
NormalizeToSum=1
# END PLOT

# BEGIN HISTOGRAM /nfs/dust/cms/user/shwillia/BTV/Dec14/QCD_Pt-50to80_Tune4C_8TeV_pythia8/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/E_ChargedParticlePtUncut_LightJets
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=/nfs/dust/cms/user/shwillia/BTV/Dec14/QCD_Pt-50to80_Tune4C_8TeV_pythia8/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/E_ChargedParticlePtUncut_LightJets
ScaledBy=5.7794294616588603e-08
Title=MC History Flavor
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e-01	3.035382e-01	1.873114e-04	1.873114e-04
5.000000e-01	1.000000e+00	3.349174e-01	1.967553e-04	1.967553e-04
1.000000e+00	1.500000e+00	2.601914e-01	1.734219e-04	1.734219e-04
1.500000e+00	2.000000e+00	1.997482e-01	1.519494e-04	1.519494e-04
2.000000e+00	2.500000e+00	1.540497e-01	1.334405e-04	1.334405e-04
2.500000e+00	3.000000e+00	1.201829e-01	1.178634e-04	1.178634e-04
3.000000e+00	3.500000e+00	9.518604e-02	1.048924e-04	1.048924e-04
3.500000e+00	4.000000e+00	7.683936e-02	9.424305e-05	9.424305e-05
4.000000e+00	4.500000e+00	6.264080e-02	8.509150e-05	8.509150e-05
4.500000e+00	5.000000e+00	5.166672e-02	7.727926e-05	7.727926e-05
5.000000e+00	5.500000e+00	4.336202e-02	7.079658e-05	7.079658e-05
5.500000e+00	6.000000e+00	3.645224e-02	6.491120e-05	6.491120e-05
6.000000e+00	6.500000e+00	3.110974e-02	5.996609e-05	5.996609e-05
6.500000e+00	7.000000e+00	2.656434e-02	5.541240e-05	5.541240e-05
7.000000e+00	7.500000e+00	2.282124e-02	5.136024e-05	5.136024e-05
7.500000e+00	8.000000e+00	1.974831e-02	4.777739e-05	4.777739e-05
8.000000e+00	8.500000e+00	1.711497e-02	4.447803e-05	4.447803e-05
8.500000e+00	9.000000e+00	1.495531e-02	4.157720e-05	4.157720e-05
9.000000e+00	9.500000e+00	1.314797e-02	3.898404e-05	3.898404e-05
9.500000e+00	1.000000e+01	1.153447e-02	3.651374e-05	3.651374e-05
# END HISTOGRAM

# BEGIN HISTOGRAM /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_Tune4C_8TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/E_ChargedParticlePtUncut_LightJets
LineColor={[HTML]{3366FF}}
LineStyle=solid
Path=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_Tune4C_8TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/E_ChargedParticlePtUncut_LightJets
Title=Ghost Hadron Flavor
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e-01	2.136922e+06	2.067328e+03	2.067328e+03
5.000000e-01	1.000000e+00	2.797992e+06	2.365583e+03	2.365583e+03
1.000000e+00	1.500000e+00	2.718392e+06	2.331691e+03	2.331691e+03
1.500000e+00	2.000000e+00	2.455884e+06	2.216251e+03	2.216251e+03
2.000000e+00	2.500000e+00	2.116396e+06	2.057375e+03	2.057375e+03
2.500000e+00	3.000000e+00	1.778228e+06	1.885857e+03	1.885857e+03
3.000000e+00	3.500000e+00	1.482420e+06	1.721871e+03	1.721871e+03
3.500000e+00	4.000000e+00	1.237480e+06	1.573201e+03	1.573201e+03
4.000000e+00	4.500000e+00	1.031848e+06	1.436557e+03	1.436557e+03
4.500000e+00	5.000000e+00	8.648100e+05	1.315150e+03	1.315150e+03
5.000000e+00	5.500000e+00	7.345680e+05	1.212079e+03	1.212079e+03
5.500000e+00	6.000000e+00	6.233780e+05	1.116582e+03	1.116582e+03
6.000000e+00	6.500000e+00	5.353400e+05	1.034737e+03	1.034737e+03
6.500000e+00	7.000000e+00	4.595720e+05	9.587200e+02	9.587200e+02
7.000000e+00	7.500000e+00	3.964420e+05	8.904403e+02	8.904403e+02
7.500000e+00	8.000000e+00	3.441500e+05	8.296385e+02	8.296385e+02
8.000000e+00	8.500000e+00	2.992220e+05	7.735916e+02	7.735916e+02
8.500000e+00	9.000000e+00	2.618540e+05	7.236767e+02	7.236767e+02
9.000000e+00	9.500000e+00	2.305320e+05	6.790169e+02	6.790169e+02
9.500000e+00	1.000000e+01	2.029240e+05	6.370620e+02	6.370620e+02
# END HISTOGRAM

