# BEGIN PLOT
DrawOnly=/nfs/dust/cms/user/shwillia/BTV/Dec14/QCD_Pt-50to80_Tune4C_8TeV_pythia8/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/F_ChargedParticlePtRel_AllJets /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_Tune4C_8TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/F_ChargedParticlePtRel_AllJets
RatioPlotReference=/nfs/dust/cms/user/shwillia/BTV/Dec14/QCD_Pt-50to80_Tune4C_8TeV_pythia8/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/F_ChargedParticlePtRel_AllJets
RatioPlot=1
Legend=1
XLabel=$P_{T,rel}(CP)$
YLabel=Normalized to Unity
LogY=1
NormalizeToSum=1
# END PLOT

# BEGIN HISTOGRAM /nfs/dust/cms/user/shwillia/BTV/Dec14/QCD_Pt-50to80_Tune4C_8TeV_pythia8/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/F_ChargedParticlePtRel_AllJets
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=/nfs/dust/cms/user/shwillia/BTV/Dec14/QCD_Pt-50to80_Tune4C_8TeV_pythia8/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/F_ChargedParticlePtRel_AllJets
Rebin=2
ScaledBy=7.3217735707843073e-08
Title=MC History Flavor
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-03	1.244701e-03	3.018845e-04	3.018845e-04
1.000000e-03	2.000000e-03	4.679345e-01	5.853299e-03	5.853299e-03
2.000000e-03	3.000000e-03	1.252499e+01	3.028286e-02	3.028286e-02
3.000000e-03	4.000000e-03	4.290179e+01	5.604616e-02	5.604616e-02
4.000000e-03	5.000000e-03	5.827993e+01	6.532323e-02	6.532323e-02
5.000000e-03	6.000000e-03	5.952521e+01	6.601743e-02	6.601743e-02
6.000000e-03	7.000000e-03	5.758765e+01	6.493411e-02	6.493411e-02
7.000000e-03	8.000000e-03	5.623986e+01	6.416974e-02	6.416974e-02
8.000000e-03	9.000000e-03	5.534346e+01	6.365629e-02	6.365629e-02
9.000000e-03	1.000000e-02	5.408030e+01	6.292565e-02	6.292565e-02
1.000000e-02	1.100000e-02	5.298628e+01	6.228592e-02	6.228592e-02
1.100000e-02	1.200000e-02	5.211368e+01	6.177091e-02	6.177091e-02
1.200000e-02	1.300000e-02	5.111499e+01	6.117616e-02	6.117616e-02
1.300000e-02	1.400000e-02	4.950002e+01	6.020199e-02	6.020199e-02
1.400000e-02	1.500000e-02	4.663853e+01	5.843601e-02	5.843601e-02
1.500000e-02	1.600000e-02	4.296900e+01	5.609004e-02	5.609004e-02
1.600000e-02	1.700000e-02	3.934802e+01	5.367470e-02	5.367470e-02
1.700000e-02	1.800000e-02	3.455562e+01	5.029994e-02	5.029994e-02
1.800000e-02	1.900000e-02	3.038939e+01	4.717035e-02	4.717035e-02
1.900000e-02	2.000000e-02	2.574306e+01	4.341485e-02	4.341485e-02
2.000000e-02	2.100000e-02	2.155142e+01	3.972337e-02	3.972337e-02
2.100000e-02	2.200000e-02	1.805293e+01	3.635650e-02	3.635650e-02
2.200000e-02	2.300000e-02	1.552721e+01	3.371746e-02	3.371746e-02
2.300000e-02	2.400000e-02	1.326456e+01	3.116410e-02	3.116410e-02
2.400000e-02	2.500000e-02	1.159784e+01	2.914048e-02	2.914048e-02
2.500000e-02	2.600000e-02	1.015435e+01	2.726680e-02	2.726680e-02
2.600000e-02	2.700000e-02	9.060475e+00	2.575631e-02	2.575631e-02
2.700000e-02	2.800000e-02	8.071889e+00	2.431060e-02	2.431060e-02
2.800000e-02	2.900000e-02	7.308009e+00	2.313171e-02	2.313171e-02
2.900000e-02	3.000000e-02	6.572829e+00	2.193736e-02	2.193736e-02
3.000000e-02	3.100000e-02	6.014691e+00	2.098528e-02	2.098528e-02
3.100000e-02	3.200000e-02	5.491110e+00	2.005110e-02	2.005110e-02
3.200000e-02	3.300000e-02	4.951496e+00	1.904041e-02	1.904041e-02
3.300000e-02	3.400000e-02	4.613669e+00	1.837940e-02	1.837940e-02
3.400000e-02	3.500000e-02	4.198525e+00	1.753301e-02	1.753301e-02
3.500000e-02	3.600000e-02	3.890571e+00	1.687776e-02	1.687776e-02
