# BEGIN PLOT
DrawOnly=/nfs/dust/cms/user/shwillia/BTV/Dec14/QCD_Pt-50to80_Tune4C_8TeV_pythia8/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/F_ChargedParticlePtRel_CharmJets /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_Tune4C_8TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/F_ChargedParticlePtRel_CharmJets
RatioPlotReference=/nfs/dust/cms/user/shwillia/BTV/Dec14/QCD_Pt-50to80_Tune4C_8TeV_pythia8/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/F_ChargedParticlePtRel_CharmJets
RatioPlot=1
Legend=1
XLabel=$P_{T,rel}(CP)$
YLabel=Normalized to Unity
LogY=1
NormalizeToSum=1
# END PLOT

# BEGIN HISTOGRAM /nfs/dust/cms/user/shwillia/BTV/Dec14/QCD_Pt-50to80_Tune4C_8TeV_pythia8/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/F_ChargedParticlePtRel_CharmJets
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=/nfs/dust/cms/user/shwillia/BTV/Dec14/QCD_Pt-50to80_Tune4C_8TeV_pythia8/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/F_ChargedParticlePtRel_CharmJets
Rebin=2
ScaledBy=7.4330431473288618e-07
Title=MC History Flavor
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-03	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-03	2.000000e-03	3.173909e-01	1.535963e-02	1.535963e-02
2.000000e-03	3.000000e-03	1.016394e+01	8.691895e-02	8.691895e-02
3.000000e-03	4.000000e-03	3.711393e+01	1.660932e-01	1.660932e-01
4.000000e-03	5.000000e-03	5.206326e+01	1.967202e-01	1.967202e-01
5.000000e-03	6.000000e-03	5.586155e+01	2.037698e-01	2.037698e-01
6.000000e-03	7.000000e-03	5.510710e+01	2.023891e-01	2.023891e-01
7.000000e-03	8.000000e-03	5.588533e+01	2.038132e-01	2.038132e-01
8.000000e-03	9.000000e-03	5.467226e+01	2.015890e-01	2.015890e-01
9.000000e-03	1.000000e-02	5.460759e+01	2.014697e-01	2.014697e-01
1.000000e-02	1.100000e-02	5.390889e+01	2.001767e-01	2.001767e-01
1.100000e-02	1.200000e-02	5.469382e+01	2.016287e-01	2.016287e-01
1.200000e-02	1.300000e-02	5.239998e+01	1.973553e-01	1.973553e-01
1.300000e-02	1.400000e-02	5.088215e+01	1.944760e-01	1.944760e-01
1.400000e-02	1.500000e-02	4.856156e+01	1.899895e-01	1.899895e-01
1.500000e-02	1.600000e-02	4.416417e+01	1.811834e-01	1.811834e-01
1.600000e-02	1.700000e-02	4.061638e+01	1.737536e-01	1.737536e-01
1.700000e-02	1.800000e-02	3.544595e+01	1.623180e-01	1.623180e-01
1.800000e-02	1.900000e-02	3.109093e+01	1.520198e-01	1.520198e-01
