# BEGIN PLOT
DrawOnly=/nfs/dust/cms/user/shwillia/BTV/Dec14/QCD_Pt-50to80_Tune4C_8TeV_pythia8/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/G_ChargedParticleJetDist_AllJets /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_Tune4C_8TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/G_ChargedParticleJetDist_AllJets
RatioPlotReference=/nfs/dust/cms/user/shwillia/BTV/Dec14/QCD_Pt-50to80_Tune4C_8TeV_pythia8/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/G_ChargedParticleJetDist_AllJets
RatioPlot=1
Legend=1
XLabel=$d(CP,Jet)$
YLabel=Normalized to Unity
LogY=1
NormalizeToSum=1
# END PLOT

# BEGIN HISTOGRAM /nfs/dust/cms/user/shwillia/BTV/Dec14/QCD_Pt-50to80_Tune4C_8TeV_pythia8/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/G_ChargedParticleJetDist_AllJets
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=/nfs/dust/cms/user/shwillia/BTV/Dec14/QCD_Pt-50to80_Tune4C_8TeV_pythia8/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/G_ChargedParticleJetDist_AllJets
ScaledBy=7.3217735707843073e-08
Title=MC History Flavor
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-02	4.871517e+01	1.335443e-02	1.335443e-02
2.000000e-02	4.000000e-02	3.647964e-01	1.155629e-03	1.155629e-03
4.000000e-02	6.000000e-02	2.197631e-01	8.969546e-04	8.969546e-04
6.000000e-02	8.000000e-02	1.481524e-01	7.364572e-04	7.364572e-04
8.000000e-02	1.000000e-01	1.058582e-01	6.225231e-04	6.225231e-04
1.000000e-01	1.200000e-01	8.048460e-02	5.428121e-04	5.428121e-04
1.200000e-01	1.400000e-01	6.149560e-02	4.744769e-04	4.744769e-04
1.400000e-01	1.600000e-01	4.821754e-02	4.201416e-04	4.201416e-04
1.600000e-01	1.800000e-01	3.918613e-02	3.787559e-04	3.787559e-04
1.800000e-01	2.000000e-01	3.161176e-02	3.401868e-04	3.401868e-04
2.000000e-01	2.200000e-01	2.632544e-02	3.104423e-04	3.104423e-04
2.200000e-01	2.400000e-01	2.187746e-02	2.830034e-04	2.830034e-04
2.400000e-01	2.600000e-01	1.834104e-02	2.591225e-04	2.591225e-04
2.600000e-01	2.800000e-01	1.578208e-02	2.403673e-04	2.403673e-04
2.800000e-01	3.000000e-01	1.349037e-02	2.222312e-04	2.222312e-04
3.000000e-01	3.200000e-01	1.143661e-02	2.046170e-04	2.046170e-04
3.200000e-01	3.400000e-01	1.013699e-02	1.926406e-04	1.926406e-04
3.400000e-01	3.600000e-01	8.599425e-03	1.774303e-04	1.774303e-04
3.600000e-01	3.800000e-01	7.548750e-03	1.662382e-04	1.662382e-04
