# BEGIN PLOT
DrawOnly=/nfs/dust/cms/user/shwillia/BTV/Dec14/QCD_Pt-50to80_Tune4C_8TeV_pythia8/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/G_ChargedParticleJetDist_BottomJets /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_Tune4C_8TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/G_ChargedParticleJetDist_BottomJets
RatioPlotReference=/nfs/dust/cms/user/shwillia/BTV/Dec14/QCD_Pt-50to80_Tune4C_8TeV_pythia8/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/G_ChargedParticleJetDist_BottomJets
RatioPlot=1
Legend=1
XLabel=$d(CP,Jet)$
YLabel=Normalized to Unity
LogY=1
NormalizeToSum=1
# END PLOT

# BEGIN HISTOGRAM /nfs/dust/cms/user/shwillia/BTV/Dec14/QCD_Pt-50to80_Tune4C_8TeV_pythia8/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/G_ChargedParticleJetDist_BottomJets
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=/nfs/dust/cms/user/shwillia/BTV/Dec14/QCD_Pt-50to80_Tune4C_8TeV_pythia8/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/G_ChargedParticleJetDist_BottomJets
ScaledBy=1.8750433603777087e-06
Title=MC History Flavor
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-02	3.242381e+01	5.513440e-02	5.513440e-02
2.000000e-02	4.000000e-02	4.170284e+00	1.977304e-02	1.977304e-02
4.000000e-02	6.000000e-02	2.776096e+00	1.613273e-02	1.613273e-02
6.000000e-02	8.000000e-02	2.000015e+00	1.369327e-02	1.369327e-02
8.000000e-02	1.000000e-01	1.477065e+00	1.176767e-02	1.176767e-02
1.000000e-01	1.200000e-01	1.169934e+00	1.047300e-02	1.047300e-02
1.200000e-01	1.400000e-01	9.208340e-01	9.291403e-03	9.291403e-03
1.400000e-01	1.600000e-01	7.339855e-01	8.295345e-03	8.295345e-03
1.600000e-01	1.800000e-01	6.193270e-01	7.619923e-03	7.619923e-03
1.800000e-01	2.000000e-01	5.100120e-01	6.914817e-03	6.914817e-03
2.000000e-01	2.200000e-01	4.209473e-01	6.282096e-03	6.282096e-03
2.200000e-01	2.400000e-01	3.631022e-01	5.834520e-03	5.834520e-03
2.400000e-01	2.600000e-01	3.076946e-01	5.370943e-03	5.370943e-03
2.600000e-01	2.800000e-01	2.628811e-01	4.964441e-03	4.964441e-03
2.800000e-01	3.000000e-01	2.276303e-01	4.619614e-03	4.619614e-03
3.000000e-01	3.200000e-01	1.967858e-01	4.295241e-03	4.295241e-03
3.200000e-01	3.400000e-01	1.800979e-01	4.109084e-03	4.109084e-03
3.400000e-01	3.600000e-01	1.520660e-01	3.775780e-03	3.775780e-03
3.600000e-01	3.800000e-01	1.343468e-01	3.548987e-03	3.548987e-03
3.800000e-01	4.000000e-01	1.226278e-01	3.390667e-03	3.390667e-03
4.000000e-01	4.200000e-01	1.047212e-01	3.133343e-03	3.133343e-03
4.200000e-01	4.400000e-01	9.815850e-02	3.033575e-03	3.033575e-03
4.400000e-01	4.600000e-01	8.184565e-02	2.770056e-03	2.770056e-03
4.600000e-01	4.800000e-01	7.500175e-02	2.651712e-03	2.651712e-03
4.800000e-01	5.000000e-01	6.768905e-02	2.519126e-03	2.519126e-03
5.000000e-01	5.200000e-01	6.018890e-02	2.375466e-03	2.375466e-03
5.200000e-01	5.400000e-01	5.362625e-02	2.242226e-03	2.242226e-03
5.400000e-01	5.600000e-01	5.043865e-02	2.174565e-03	2.174565e-03
5.600000e-01	5.800000e-01	4.284474e-02	2.004192e-03	2.004192e-03
5.800000e-01	6.000000e-01	4.237598e-02	1.993198e-03	1.993198e-03
6.000000e-01	6.200000e-01	3.346952e-02	1.771395e-03	1.771395e-03
6.200000e-01	6.400000e-01	3.243825e-02	1.743891e-03	1.743891e-03
6.400000e-01	6.600000e-01	3.206324e-02	1.733781e-03	1.733781e-03
6.600000e-01	6.800000e-01	2.962568e-02	1.666575e-03	1.666575e-03
6.800000e-01	7.000000e-01	2.596935e-02	1.560347e-03	1.560347e-03
7.000000e-01	7.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.200000e-01	7.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.400000e-01	7.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.600000e-01	7.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.800000e-01	8.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e-01	8.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.200000e-01	8.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.400000e-01	8.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.600000e-01	8.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.800000e-01	9.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.000000e-01	9.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.200000e-01	9.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.400000e-01	9.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.600000e-01	9.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.800000e-01	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTOGRAM

# BEGIN HISTOGRAM /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_Tune4C_8TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/G_ChargedParticleJetDist_BottomJets
LineColor={[HTML]{3366FF}}
LineStyle=solid
Path=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_Tune4C_8TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/G_ChargedParticleJetDist_BottomJets
Title=Ghost Hadron Flavor
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-02	9.139400e+06	2.137686e+04	2.137686e+04
2.000000e-02	4.000000e-02	1.739400e+06	9.325771e+03	9.325771e+03
4.000000e-02	6.000000e-02	1.138400e+06	7.544534e+03	7.544534e+03
6.000000e-02	8.000000e-02	8.150500e+05	6.383768e+03	6.383768e+03
8.000000e-02	1.000000e-01	6.076500e+05	5.512032e+03	5.512032e+03
1.000000e-01	1.200000e-01	4.726000e+05	4.861070e+03	4.861070e+03
1.200000e-01	1.400000e-01	3.764000e+05	4.338202e+03	4.338202e+03
1.400000e-01	1.600000e-01	3.010000e+05	3.879433e+03	3.879433e+03
1.600000e-01	1.800000e-01	2.503000e+05	3.537655e+03	3.537655e+03
1.800000e-01	2.000000e-01	2.038500e+05	3.192569e+03	3.192569e+03
2.000000e-01	2.200000e-01	1.730500e+05	2.941513e+03	2.941513e+03
2.200000e-01	2.400000e-01	1.499500e+05	2.738156e+03	2.738156e+03
2.400000e-01	2.600000e-01	1.236000e+05	2.485961e+03	2.485961e+03
2.600000e-01	2.800000e-01	1.080500e+05	2.324328e+03	2.324328e+03
2.800000e-01	3.000000e-01	9.615000e+04	2.192601e+03	2.192601e+03
3.000000e-01	3.200000e-01	8.330000e+04	2.040833e+03	2.040833e+03
3.200000e-01	3.400000e-01	7.455000e+04	1.930673e+03	1.930673e+03
3.400000e-01	3.600000e-01	6.670000e+04	1.826198e+03	1.826198e+03
3.600000e-01	3.800000e-01	5.845000e+04	1.709532e+03	1.709532e+03
3.800000e-01	4.000000e-01	5.230000e+04	1.617096e+03	1.617096e+03
4.000000e-01	4.200000e-01	4.705000e+04	1.533786e+03	1.533786e+03
4.200000e-01	4.400000e-01	4.195000e+04	1.448275e+03	1.448275e+03
4.400000e-01	4.600000e-01	3.715000e+04	1.362901e+03	1.362901e+03
4.600000e-01	4.800000e-01	3.485000e+04	1.320038e+03	1.320038e+03
4.800000e-01	5.000000e-01	3.260000e+04	1.276715e+03	1.276715e+03
5.000000e-01	5.200000e-01	2.880000e+04	1.200000e+03	1.200000e+03
5.200000e-01	5.400000e-01	2.675000e+04	1.156503e+03	1.156503e+03
5.400000e-01	5.600000e-01	2.600000e+04	1.140175e+03	1.140175e+03
5.600000e-01	5.800000e-01	2.005000e+04	1.001249e+03	1.001249e+03
5.800000e-01	6.000000e-01	2.150000e+04	1.036822e+03	1.036822e+03
6.000000e-01	6.200000e-01	1.725000e+04	9.287088e+02	9.287088e+02
6.200000e-01	6.400000e-01	1.760000e+04	9.380832e+02	9.380832e+02
6.400000e-01	6.600000e-01	1.855000e+04	9.630680e+02	9.630680e+02
6.600000e-01	6.800000e-01	1.570000e+04	8.860023e+02	8.860023e+02
6.800000e-01	7.000000e-01	1.370000e+04	8.276473e+02	8.276473e+02
7.000000e-01	7.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.200000e-01	7.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.400000e-01	7.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.600000e-01	7.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.800000e-01	8.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e-01	8.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.200000e-01	8.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.400000e-01	8.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.600000e-01	8.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.800000e-01	9.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.000000e-01	9.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.200000e-01	9.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.400000e-01	9.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.600000e-01	9.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
