# BEGIN PLOT
DrawOnly=/nfs/dust/cms/user/shwillia/BTV/Dec14/QCD_Pt-50to80_Tune4C_8TeV_pythia8/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/G_ChargedParticleJetDist_LightJets /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_Tune4C_8TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/G_ChargedParticleJetDist_LightJets
RatioPlotReference=/nfs/dust/cms/user/shwillia/BTV/Dec14/QCD_Pt-50to80_Tune4C_8TeV_pythia8/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/G_ChargedParticleJetDist_LightJets
RatioPlot=1
Legend=1
XLabel=$d(CP,Jet)$
YLabel=Normalized to Unity
LogY=1
NormalizeToSum=1
# END PLOT

# BEGIN HISTOGRAM /nfs/dust/cms/user/shwillia/BTV/Dec14/QCD_Pt-50to80_Tune4C_8TeV_pythia8/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/G_ChargedParticleJetDist_LightJets
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=/nfs/dust/cms/user/shwillia/BTV/Dec14/QCD_Pt-50to80_Tune4C_8TeV_pythia8/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/G_ChargedParticleJetDist_LightJets
ScaledBy=8.4895207054316295e-08
Title=MC History Flavor
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-02	4.999813e+01	1.456812e-02	1.456812e-02
2.000000e-02	4.000000e-02	4.032522e-04	4.137281e-05	4.137281e-05
4.000000e-02	6.000000e-02	2.377066e-04	3.176488e-05	3.176488e-05
6.000000e-02	8.000000e-02	2.122380e-04	3.001499e-05	3.001499e-05
8.000000e-02	1.000000e-01	1.655456e-04	2.650852e-05	2.650852e-05
1.000000e-01	1.200000e-01	1.103638e-04	2.164412e-05	2.164412e-05
1.200000e-01	1.400000e-01	8.913995e-05	1.945193e-05	1.945193e-05
1.400000e-01	1.600000e-01	6.367140e-05	1.643988e-05	1.643988e-05
1.600000e-01	1.800000e-01	4.244761e-05	1.342311e-05	1.342311e-05
1.800000e-01	2.000000e-01	6.791615e-05	1.697904e-05	1.697904e-05
2.000000e-01	2.200000e-01	4.244760e-05	1.342311e-05	1.342311e-05
2.200000e-01	2.400000e-01	5.942665e-05	1.588244e-05	1.588244e-05
2.400000e-01	2.600000e-01	4.669236e-05	1.407828e-05	1.407828e-05
2.600000e-01	2.800000e-01	5.093715e-05	1.470428e-05	1.470428e-05
2.800000e-01	3.000000e-01	2.546856e-05	1.039750e-05	1.039750e-05
3.000000e-01	3.200000e-01	3.395808e-05	1.200600e-05	1.200600e-05
3.200000e-01	3.400000e-01	2.971332e-05	1.123058e-05	1.123058e-05
3.400000e-01	3.600000e-01	4.244761e-06	4.244761e-06	4.244761e-06
3.600000e-01	3.800000e-01	2.546856e-05	1.039750e-05	1.039750e-05
3.800000e-01	4.000000e-01	1.697904e-05	8.489520e-06	8.489520e-06
4.000000e-01	4.200000e-01	1.697904e-05	8.489520e-06	8.489520e-06
4.200000e-01	4.400000e-01	1.697904e-05	8.489521e-06	8.489521e-06
4.400000e-01	4.600000e-01	8.489520e-06	6.002997e-06	6.002997e-06
4.600000e-01	4.800000e-01	1.697904e-05	8.489520e-06	8.489520e-06
4.800000e-01	5.000000e-01	4.244760e-06	4.244760e-06	4.244760e-06
5.000000e-01	5.200000e-01	8.489520e-06	6.002997e-06	6.002997e-06
5.200000e-01	5.400000e-01	8.489520e-06	6.002997e-06	6.002997e-06
5.400000e-01	5.600000e-01	8.489520e-06	6.002997e-06	6.002997e-06
5.600000e-01	5.800000e-01	1.273428e-05	7.352141e-06	7.352141e-06
5.800000e-01	6.000000e-01	8.489520e-06	6.002997e-06	6.002997e-06
6.000000e-01	6.200000e-01	1.273428e-05	7.352141e-06	7.352141e-06
6.200000e-01	6.400000e-01	4.244760e-06	4.244760e-06	4.244760e-06
6.400000e-01	6.600000e-01	4.244760e-06	4.244760e-06	4.244760e-06
6.600000e-01	6.800000e-01	1.273428e-05	7.352141e-06	7.352141e-06
6.800000e-01	7.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.000000e-01	7.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.200000e-01	7.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.400000e-01	7.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.600000e-01	7.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.800000e-01	8.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e-01	8.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.200000e-01	8.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.400000e-01	8.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.600000e-01	8.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.800000e-01	9.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.000000e-01	9.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.200000e-01	9.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.400000e-01	9.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.600000e-01	9.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.800000e-01	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTOGRAM

# BEGIN HISTOGRAM /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_Tune4C_8TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/G_ChargedParticleJetDist_LightJets
LineColor={[HTML]{3366FF}}
LineStyle=solid
Path=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_Tune4C_8TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/G_ChargedParticleJetDist_LightJets
Title=Ghost Hadron Flavor
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-02	4.884110e+08	1.562708e+05	1.562708e+05
2.000000e-02	4.000000e-02	3.352500e+05	4.094203e+03	4.094203e+03
4.000000e-02	6.000000e-02	1.592500e+05	2.821790e+03	2.821790e+03
6.000000e-02	8.000000e-02	1.127500e+05	2.374342e+03	2.374342e+03
8.000000e-02	1.000000e-01	9.150000e+04	2.138925e+03	2.138925e+03
1.000000e-01	1.200000e-01	8.460000e+04	2.056696e+03	2.056696e+03
1.200000e-01	1.400000e-01	7.715000e+04	1.964052e+03	1.964052e+03
1.400000e-01	1.600000e-01	7.300000e+04	1.910497e+03	1.910497e+03
1.600000e-01	1.800000e-01	6.790000e+04	1.842553e+03	1.842553e+03
1.800000e-01	2.000000e-01	6.465000e+04	1.797915e+03	1.797915e+03
2.000000e-01	2.200000e-01	5.975000e+04	1.728439e+03	1.728439e+03
2.200000e-01	2.400000e-01	5.740000e+04	1.694107e+03	1.694107e+03
2.400000e-01	2.600000e-01	5.225000e+04	1.616323e+03	1.616323e+03
2.600000e-01	2.800000e-01	5.315000e+04	1.630184e+03	1.630184e+03
2.800000e-01	3.000000e-01	5.115000e+04	1.599219e+03	1.599219e+03
3.000000e-01	3.200000e-01	4.700000e+04	1.532971e+03	1.532971e+03
3.200000e-01	3.400000e-01	4.560000e+04	1.509967e+03	1.509967e+03
3.400000e-01	3.600000e-01	4.575000e+04	1.512448e+03	1.512448e+03
3.600000e-01	3.800000e-01	4.605000e+04	1.517399e+03	1.517399e+03
3.800000e-01	4.000000e-01	4.215000e+04	1.451723e+03	1.451723e+03
4.000000e-01	4.200000e-01	4.020000e+04	1.417745e+03	1.417745e+03
4.200000e-01	4.400000e-01	3.800000e+04	1.378405e+03	1.378405e+03
4.400000e-01	4.600000e-01	3.985000e+04	1.411559e+03	1.411559e+03
4.600000e-01	4.800000e-01	3.850000e+04	1.387444e+03	1.387444e+03
4.800000e-01	5.000000e-01	3.630000e+04	1.347219e+03	1.347219e+03
5.000000e-01	5.200000e-01	3.460000e+04	1.315295e+03	1.315295e+03
5.200000e-01	5.400000e-01	3.320000e+04	1.288410e+03	1.288410e+03
5.400000e-01	5.600000e-01	3.385000e+04	1.300961e+03	1.300961e+03
5.600000e-01	5.800000e-01	3.320000e+04	1.288410e+03	1.288410e+03
5.800000e-01	6.000000e-01	3.065000e+04	1.237942e+03	1.237942e+03
6.000000e-01	6.200000e-01	2.970000e+04	1.218606e+03	1.218606e+03
6.200000e-01	6.400000e-01	3.015000e+04	1.227803e+03	1.227803e+03
6.400000e-01	6.600000e-01	2.900000e+04	1.204159e+03	1.204159e+03
6.600000e-01	6.800000e-01	2.845000e+04	1.192686e+03	1.192686e+03
6.800000e-01	7.000000e-01	2.800000e+04	1.183216e+03	1.183216e+03
7.000000e-01	7.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.200000e-01	7.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.400000e-01	7.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.600000e-01	7.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.800000e-01	8.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e-01	8.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.200000e-01	8.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.400000e-01	8.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.600000e-01	8.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.800000e-01	9.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.000000e-01	9.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.200000e-01	9.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.400000e-01	9.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.600000e-01	9.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.800000e-01	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTOGRAM

