# BEGIN PLOT
DrawOnly=/nfs/dust/cms/user/shwillia/BTV/Dec14/QCD_Pt-50to80_Tune4C_8TeV_pythia8/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/H_ChargedParticleJetDr_BottomJets /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_Tune4C_8TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/H_ChargedParticleJetDr_BottomJets
RatioPlotReference=/nfs/dust/cms/user/shwillia/BTV/Dec14/QCD_Pt-50to80_Tune4C_8TeV_pythia8/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/H_ChargedParticleJetDr_BottomJets
RatioPlot=1
Legend=1
XLabel=$\Delta R(CP,Jet)$
YLabel=Normalized to Unity
LogY=1
NormalizeToSum=1
# END PLOT

# BEGIN HISTOGRAM /nfs/dust/cms/user/shwillia/BTV/Dec14/QCD_Pt-50to80_Tune4C_8TeV_pythia8/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/H_ChargedParticleJetDr_BottomJets
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=/nfs/dust/cms/user/shwillia/BTV/Dec14/QCD_Pt-50to80_Tune4C_8TeV_pythia8/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/H_ChargedParticleJetDr_BottomJets
Rebin=2
ScaledBy=1.8750433603777087e-06
Title=MC History Flavor
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-02	6.180143e-01	1.076478e-02	1.076478e-02
1.000000e-02	2.000000e-02	1.890231e+00	1.882622e-02	1.882622e-02
2.000000e-02	3.000000e-02	2.878004e+00	2.323011e-02	2.323011e-02
3.000000e-02	4.000000e-02	3.606833e+00	2.600571e-02	2.600571e-02
4.000000e-02	5.000000e-02	4.034906e+00	2.750568e-02	2.750568e-02
5.000000e-02	6.000000e-02	4.250348e+00	2.823046e-02	2.823046e-02
6.000000e-02	7.000000e-02	4.336413e+00	2.851484e-02	2.851484e-02
7.000000e-02	8.000000e-02	4.250911e+00	2.823233e-02	2.823233e-02
8.000000e-02	9.000000e-02	4.225035e+00	2.814627e-02	2.814627e-02
9.000000e-02	1.000000e-01	4.087970e+00	2.768595e-02	2.768595e-02
1.000000e-01	1.100000e-01	3.833339e+00	2.680984e-02	2.680984e-02
1.100000e-01	1.200000e-01	3.699836e+00	2.633885e-02	2.633885e-02
1.200000e-01	1.300000e-01	3.497331e+00	2.560790e-02	2.560790e-02
1.300000e-01	1.400000e-01	3.317702e+00	2.494160e-02	2.494160e-02
1.400000e-01	1.500000e-01	3.136760e+00	2.425193e-02	2.425193e-02
1.500000e-01	1.600000e-01	2.968569e+00	2.359278e-02	2.359278e-02
1.600000e-01	1.700000e-01	2.751626e+00	2.271435e-02	2.271435e-02
1.700000e-01	1.800000e-01	2.609123e+00	2.211836e-02	2.211836e-02
1.800000e-01	1.900000e-01	2.518558e+00	2.173110e-02	2.173110e-02
