# BEGIN PLOT
DrawOnly=/nfs/dust/cms/user/shwillia/BTV/Dec14/QCD_Pt-50to80_Tune4C_8TeV_pythia8/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/H_ChargedParticleJetDr_LightJets /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_Tune4C_8TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/H_ChargedParticleJetDr_LightJets
RatioPlotReference=/nfs/dust/cms/user/shwillia/BTV/Dec14/QCD_Pt-50to80_Tune4C_8TeV_pythia8/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/H_ChargedParticleJetDr_LightJets
RatioPlot=1
Legend=1
XLabel=$\Delta R(CP,Jet)$
YLabel=Normalized to Unity
LogY=1
NormalizeToSum=1
# END PLOT

# BEGIN HISTOGRAM /nfs/dust/cms/user/shwillia/BTV/Dec14/QCD_Pt-50to80_Tune4C_8TeV_pythia8/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/H_ChargedParticleJetDr_LightJets
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=/nfs/dust/cms/user/shwillia/BTV/Dec14/QCD_Pt-50to80_Tune4C_8TeV_pythia8/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/H_ChargedParticleJetDr_LightJets
Rebin=2
ScaledBy=8.4895207054316295e-08
Title=MC History Flavor
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-02	7.679536e-01	2.553342e-03	2.553342e-03
1.000000e-02	2.000000e-02	2.069940e+00	4.191992e-03	4.191992e-03
2.000000e-02	3.000000e-02	2.955550e+00	5.009112e-03	5.009112e-03
3.000000e-02	4.000000e-02	3.518295e+00	5.465221e-03	5.465221e-03
4.000000e-02	5.000000e-02	3.822084e+00	5.696285e-03	5.696285e-03
5.000000e-02	6.000000e-02	3.974794e+00	5.808966e-03	5.808966e-03
6.000000e-02	7.000000e-02	4.015416e+00	5.838575e-03	5.838575e-03
7.000000e-02	8.000000e-02	3.979582e+00	5.812464e-03	5.812464e-03
8.000000e-02	9.000000e-02	3.900655e+00	5.754536e-03	5.754536e-03
9.000000e-02	1.000000e-01	3.788720e+00	5.671368e-03	5.671368e-03
1.000000e-01	1.100000e-01	3.660987e+00	5.574946e-03	5.574946e-03
1.100000e-01	1.200000e-01	3.522811e+00	5.468727e-03	5.468727e-03
1.200000e-01	1.300000e-01	3.378447e+00	5.355502e-03	5.355502e-03
1.300000e-01	1.400000e-01	3.217027e+00	5.225995e-03	5.225995e-03
1.400000e-01	1.500000e-01	3.071228e+00	5.106198e-03	5.106198e-03
1.500000e-01	1.600000e-01	2.932374e+00	4.989434e-03	4.989434e-03
1.600000e-01	1.700000e-01	2.789232e+00	4.866132e-03	4.866132e-03
1.700000e-01	1.800000e-01	2.650182e+00	4.743288e-03	4.743288e-03
1.800000e-01	1.900000e-01	2.514876e+00	4.620616e-03	4.620616e-03
1.900000e-01	2.000000e-01	2.394172e+00	4.508367e-03	4.508367e-03
2.000000e-01	2.100000e-01	2.280404e+00	4.399948e-03	4.399948e-03
2.100000e-01	2.200000e-01	2.150939e+00	4.273224e-03	4.273224e-03
2.200000e-01	2.300000e-01	2.049761e+00	4.171509e-03	4.171509e-03
2.300000e-01	2.400000e-01	1.955298e+00	4.074253e-03	4.074253e-03
2.400000e-01	2.500000e-01	1.865054e+00	3.979123e-03	3.979123e-03
2.500000e-01	2.600000e-01	1.767357e+00	3.873501e-03	3.873501e-03
2.600000e-01	2.700000e-01	1.686477e+00	3.783831e-03	3.783831e-03
