# BEGIN PLOT
DrawOnly=/nfs/dust/cms/user/shwillia/BTV/Dec14/QCD_Pt-50to80_Tune4C_8TeV_pythia8/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/I_ChargedParticlePVD_AllJets /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_Tune4C_8TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/I_ChargedParticlePVD_AllJets
RatioPlotReference=/nfs/dust/cms/user/shwillia/BTV/Dec14/QCD_Pt-50to80_Tune4C_8TeV_pythia8/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/I_ChargedParticlePVD_AllJets
RatioPlot=1
Legend=1
XLabel=$d(CP,PV)$
YLabel=Normalized to Unity
LogY=1
NormalizeToSum=1
# END PLOT

# BEGIN HISTOGRAM /nfs/dust/cms/user/shwillia/BTV/Dec14/QCD_Pt-50to80_Tune4C_8TeV_pythia8/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/I_ChargedParticlePVD_AllJets
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=/nfs/dust/cms/user/shwillia/BTV/Dec14/QCD_Pt-50to80_Tune4C_8TeV_pythia8/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/I_ChargedParticlePVD_AllJets
ScaledBy=7.3217735707843073e-08
Title=MC History Flavor
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	9.761834e+00	2.673461e-03	2.673461e-03
1.000000e-01	2.000000e-01	8.085874e-02	2.433165e-04	2.433165e-04
2.000000e-01	3.000000e-01	4.575157e-02	1.830253e-04	1.830253e-04
3.000000e-01	4.000000e-01	2.936178e-02	1.466221e-04	1.466221e-04
4.000000e-01	5.000000e-01	2.019711e-02	1.216054e-04	1.216054e-04
5.000000e-01	6.000000e-01	1.456447e-02	1.032656e-04	1.032656e-04
6.000000e-01	7.000000e-01	1.067295e-02	8.839962e-05	8.839962e-05
7.000000e-01	8.000000e-01	7.870174e-03	7.591023e-05	7.591023e-05
8.000000e-01	9.000000e-01	5.994336e-03	6.624890e-05	6.624890e-05
9.000000e-01	1.000000e+00	4.606128e-03	5.807325e-05	5.807325e-05
1.000000e+00	1.100000e+00	3.616956e-03	5.146118e-05	5.146118e-05
1.100000e+00	1.200000e+00	2.848170e-03	4.566581e-05	4.566581e-05
1.200000e+00	1.300000e+00	2.299037e-03	4.102808e-05	4.102808e-05
1.300000e+00	1.400000e+00	1.905858e-03	3.735540e-05	3.735540e-05
1.400000e+00	1.500000e+00	1.565395e-03	3.385479e-05	3.385479e-05
1.500000e+00	1.600000e+00	1.300347e-03	3.085587e-05	3.085587e-05
1.600000e+00	1.700000e+00	1.080694e-03	2.812934e-05	2.812934e-05
1.700000e+00	1.800000e+00	9.079000e-04	2.578263e-05	2.578263e-05
1.800000e+00	1.900000e+00	7.621966e-04	2.362336e-05	2.362336e-05
