# BEGIN PLOT
DrawOnly=/nfs/dust/cms/user/shwillia/BTV/Dec14/QCD_Pt-50to80_Tune4C_8TeV_pythia8/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/I_ChargedParticlePVD_CharmJets /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_Tune4C_8TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/I_ChargedParticlePVD_CharmJets
RatioPlotReference=/nfs/dust/cms/user/shwillia/BTV/Dec14/QCD_Pt-50to80_Tune4C_8TeV_pythia8/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/I_ChargedParticlePVD_CharmJets
RatioPlot=1
Legend=1
XLabel=$d(CP,PV)$
YLabel=Normalized to Unity
LogY=1
NormalizeToSum=1
# END PLOT

# BEGIN HISTOGRAM /nfs/dust/cms/user/shwillia/BTV/Dec14/QCD_Pt-50to80_Tune4C_8TeV_pythia8/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/I_ChargedParticlePVD_CharmJets
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=/nfs/dust/cms/user/shwillia/BTV/Dec14/QCD_Pt-50to80_Tune4C_8TeV_pythia8/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/I_ChargedParticlePVD_CharmJets
ScaledBy=7.4330431473288618e-07
Title=MC History Flavor
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	9.111640e+00	8.229654e-03	8.229654e-03
1.000000e-01	2.000000e-01	4.325436e-01	1.793074e-03	1.793074e-03
2.000000e-01	3.000000e-01	1.893716e-01	1.186427e-03	1.186427e-03
3.000000e-01	4.000000e-01	9.905273e-02	8.580578e-04	8.580578e-04
4.000000e-01	5.000000e-01	5.702631e-02	6.510599e-04	6.510599e-04
5.000000e-01	6.000000e-01	3.557454e-02	5.142248e-04	5.142248e-04
6.000000e-01	7.000000e-01	2.329516e-02	4.161177e-04	4.161177e-04
7.000000e-01	8.000000e-01	1.478432e-02	3.315004e-04	3.315004e-04
8.000000e-01	9.000000e-01	9.878514e-03	2.709749e-04	2.709749e-04
9.000000e-01	1.000000e+00	6.764069e-03	2.242267e-04	2.242267e-04
1.000000e+00	1.100000e+00	4.928108e-03	1.913918e-04	1.913918e-04
1.100000e+00	1.200000e+00	3.582727e-03	1.631887e-04	1.631887e-04
1.200000e+00	1.300000e+00	2.661029e-03	1.406398e-04	1.406398e-04
1.300000e+00	1.400000e+00	2.267078e-03	1.298125e-04	1.298125e-04
1.400000e+00	1.500000e+00	1.687301e-03	1.119901e-04	1.119901e-04
1.500000e+00	1.600000e+00	1.226452e-03	9.547917e-05	9.547917e-05
1.600000e+00	1.700000e+00	1.010894e-03	8.668344e-05	8.668344e-05
1.700000e+00	1.800000e+00	8.102017e-04	7.760325e-05	7.760325e-05
1.800000e+00	1.900000e+00	5.351791e-04	6.307146e-05	6.307146e-05
1.900000e+00	2.000000e+00	3.790852e-04	5.308255e-05	5.308255e-05
2.000000e+00	2.100000e+00	2.973217e-04	4.701069e-05	4.701069e-05
2.100000e+00	2.200000e+00	2.006922e-04	3.862323e-05	3.862323e-05
2.200000e+00	2.300000e+00	1.783930e-04	3.641432e-05	3.641432e-05
2.300000e+00	2.400000e+00	5.203130e-05	1.966598e-05	1.966598e-05
2.400000e+00	2.500000e+00	5.946435e-05	2.102382e-05	2.102382e-05
2.500000e+00	2.600000e+00	3.716521e-05	1.662079e-05	1.662079e-05
2.600000e+00	2.700000e+00	7.433043e-05	2.350535e-05	2.350535e-05
2.700000e+00	2.800000e+00	4.459826e-05	1.820716e-05	1.820716e-05
2.800000e+00	2.900000e+00	2.229913e-05	1.287441e-05	1.287441e-05
2.900000e+00	3.000000e+00	7.433043e-06	7.433043e-06	7.433043e-06
3.000000e+00	3.100000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.100000e+00	3.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.200000e+00	3.300000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.300000e+00	3.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.400000e+00	3.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.500000e+00	3.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.600000e+00	3.700000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.700000e+00	3.800000e+00	7.433044e-06	7.433044e-06	7.433044e-06
3.800000e+00	3.900000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.900000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	4.100000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.100000e+00	4.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.200000e+00	4.300000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.300000e+00	4.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.400000e+00	4.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.500000e+00	4.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.600000e+00	4.700000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.700000e+00	4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e+00	4.900000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.900000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTOGRAM

# BEGIN HISTOGRAM /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_Tune4C_8TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/I_ChargedParticlePVD_CharmJets
LineColor={[HTML]{3366FF}}
LineStyle=solid
Path=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_Tune4C_8TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/I_ChargedParticlePVD_CharmJets
Title=Ghost Hadron Flavor
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	3.619715e+06	4.254242e+03	4.254242e+03
2.000000e-01	4.000000e-01	1.951700e+05	9.878512e+02	9.878512e+02
4.000000e-01	6.000000e-01	8.124500e+04	6.373578e+02	6.373578e+02
6.000000e-01	8.000000e-01	4.345500e+04	4.661277e+02	4.661277e+02
8.000000e-01	1.000000e+00	2.441000e+04	3.493566e+02	3.493566e+02
1.000000e+00	1.200000e+00	1.521000e+04	2.757716e+02	2.757716e+02
1.200000e+00	1.400000e+00	1.093500e+04	2.338269e+02	2.338269e+02
1.400000e+00	1.600000e+00	7.335000e+03	1.915072e+02	1.915072e+02
1.600000e+00	1.800000e+00	5.630000e+03	1.677796e+02	1.677796e+02
1.800000e+00	2.000000e+00	4.065000e+03	1.425658e+02	1.425658e+02
2.000000e+00	2.200000e+00	2.160000e+03	1.039230e+02	1.039230e+02
2.200000e+00	2.400000e+00	1.205000e+03	7.762087e+01	7.762087e+01
2.400000e+00	2.600000e+00	6.200000e+02	5.567764e+01	5.567764e+01
2.600000e+00	2.800000e+00	4.350000e+02	4.663690e+01	4.663690e+01
2.800000e+00	3.000000e+00	2.150000e+02	3.278719e+01	3.278719e+01
3.000000e+00	3.200000e+00	2.700000e+02	3.674235e+01	3.674235e+01
3.200000e+00	3.400000e+00	1.800000e+02	3.000000e+01	3.000000e+01
3.400000e+00	3.600000e+00	8.000000e+01	2.000000e+01	2.000000e+01
3.600000e+00	3.800000e+00	9.000000e+01	2.121320e+01	2.121320e+01
3.800000e+00	4.000000e+00	7.000000e+01	1.870829e+01	1.870829e+01
4.000000e+00	4.200000e+00	4.000000e+01	1.414214e+01	1.414214e+01
4.200000e+00	4.400000e+00	5.000000e+01	1.581139e+01	1.581139e+01
4.400000e+00	4.600000e+00	3.500000e+01	1.322876e+01	1.322876e+01
4.600000e+00	4.800000e+00	2.500000e+01	1.118034e+01	1.118034e+01
4.800000e+00	5.000000e+00	2.500000e+01	1.118034e+01	1.118034e+01
5.000000e+00	5.200000e+00	2.500000e+01	1.118034e+01	1.118034e+01
5.200000e+00	5.400000e+00	3.000000e+01	1.224745e+01	1.224745e+01
5.400000e+00	5.600000e+00	5.000000e+00	5.000000e+00	5.000000e+00
5.600000e+00	5.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.800000e+00	6.000000e+00	5.000000e+00	5.000000e+00	5.000000e+00
6.000000e+00	6.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.200000e+00	6.400000e+00	5.000000e+00	5.000000e+00	5.000000e+00
6.400000e+00	6.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.600000e+00	6.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.800000e+00	7.000000e+00	1.000000e+01	7.071068e+00	7.071068e+00
7.000000e+00	7.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.200000e+00	7.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.400000e+00	7.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.600000e+00	7.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.800000e+00	8.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+00	8.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.200000e+00	8.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.400000e+00	8.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.600000e+00	8.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.800000e+00	9.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.000000e+00	9.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
