# BEGIN PLOT
DrawOnly=/nfs/dust/cms/user/shwillia/BTV/Dec14/QCD_Pt-50to80_Tune4C_8TeV_pythia8/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/J_ChargedParticlePVDxy_BottomJets /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_Tune4C_8TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/J_ChargedParticlePVDxy_BottomJets
RatioPlotReference=/nfs/dust/cms/user/shwillia/BTV/Dec14/QCD_Pt-50to80_Tune4C_8TeV_pythia8/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/J_ChargedParticlePVDxy_BottomJets
RatioPlot=1
Legend=1
XLabel=$d_{xy}(CP,PV)$
YLabel=Normalized to Unity
LogY=1
NormalizeToSum=1
# END PLOT

# BEGIN HISTOGRAM /nfs/dust/cms/user/shwillia/BTV/Dec14/QCD_Pt-50to80_Tune4C_8TeV_pythia8/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/J_ChargedParticlePVDxy_BottomJets
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=/nfs/dust/cms/user/shwillia/BTV/Dec14/QCD_Pt-50to80_Tune4C_8TeV_pythia8/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/J_ChargedParticlePVDxy_BottomJets
ScaledBy=1.8750433603777087e-06
Title=MC History Flavor
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e-02	1.139153e+01	2.066862e-02	2.066862e-02
5.000000e-02	1.000000e-01	1.469621e+00	7.423751e-03	7.423751e-03
1.000000e-01	1.500000e-01	1.150714e+00	6.569076e-03	6.569076e-03
1.500000e-01	2.000000e-01	9.203462e-01	5.874843e-03	5.874843e-03
2.000000e-01	2.500000e-01	7.398922e-01	5.267504e-03	5.267504e-03
2.500000e-01	3.000000e-01	6.250270e-01	4.841389e-03	4.841389e-03
3.000000e-01	3.500000e-01	5.155620e-01	4.397047e-03	4.397047e-03
3.500000e-01	4.000000e-01	4.279974e-01	4.006279e-03	4.006279e-03
4.000000e-01	4.500000e-01	3.607584e-01	3.678145e-03	3.678145e-03
4.500000e-01	5.000000e-01	3.101322e-01	3.410311e-03	3.410311e-03
5.000000e-01	5.500000e-01	2.711688e-01	3.188897e-03	3.188897e-03
5.500000e-01	6.000000e-01	2.247802e-01	2.903352e-03	2.903352e-03
6.000000e-01	6.500000e-01	1.979296e-01	2.724432e-03	2.724432e-03
6.500000e-01	7.000000e-01	1.690164e-01	2.517590e-03	2.517590e-03
7.000000e-01	7.500000e-01	1.429908e-01	2.315660e-03	2.315660e-03
7.500000e-01	8.000000e-01	1.272404e-01	2.184406e-03	2.184406e-03
8.000000e-01	8.500000e-01	1.113776e-01	2.043711e-03	2.043711e-03
8.500000e-01	9.000000e-01	9.817728e-02	1.918784e-03	1.918784e-03
9.000000e-01	9.500000e-01	8.501446e-02	1.785530e-03	1.785530e-03
