# BEGIN PLOT
DrawOnly=/nfs/dust/cms/user/shwillia/BTV/Dec14/QCD_Pt-50to80_Tune4C_8TeV_pythia8/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/J_ChargedParticlePVDxy_CharmJets /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_Tune4C_8TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/J_ChargedParticlePVDxy_CharmJets
RatioPlotReference=/nfs/dust/cms/user/shwillia/BTV/Dec14/QCD_Pt-50to80_Tune4C_8TeV_pythia8/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/J_ChargedParticlePVDxy_CharmJets
RatioPlot=1
Legend=1
XLabel=$d_{xy}(CP,PV)$
YLabel=Normalized to Unity
LogY=1
NormalizeToSum=1
# END PLOT

# BEGIN HISTOGRAM /nfs/dust/cms/user/shwillia/BTV/Dec14/QCD_Pt-50to80_Tune4C_8TeV_pythia8/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/J_ChargedParticlePVDxy_CharmJets
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=/nfs/dust/cms/user/shwillia/BTV/Dec14/QCD_Pt-50to80_Tune4C_8TeV_pythia8/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/J_ChargedParticlePVDxy_CharmJets
ScaledBy=7.4330431473288618e-07
Title=MC History Flavor
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e-02	1.755550e+01	1.615492e-02	1.615492e-02
5.000000e-02	1.000000e-01	9.092248e-01	3.676495e-03	3.676495e-03
1.000000e-01	1.500000e-01	4.913688e-01	2.702727e-03	2.702727e-03
1.500000e-01	2.000000e-01	2.999530e-01	2.111665e-03	2.111665e-03
2.000000e-01	2.500000e-01	1.931105e-01	1.694343e-03	1.694343e-03
2.500000e-01	3.000000e-01	1.333488e-01	1.407968e-03	1.407968e-03
3.000000e-01	3.500000e-01	9.472670e-02	1.186682e-03	1.186682e-03
3.500000e-01	4.000000e-01	6.943948e-02	1.016019e-03	1.016019e-03
4.000000e-01	4.500000e-01	5.189750e-02	8.783580e-04	8.783580e-04
4.500000e-01	5.000000e-01	3.958838e-02	7.671534e-04	7.671534e-04
5.000000e-01	5.500000e-01	3.011870e-02	6.691391e-04	6.691391e-04
5.500000e-01	6.000000e-01	2.503448e-02	6.100532e-04	6.100532e-04
6.000000e-01	6.500000e-01	1.938538e-02	5.368284e-04	5.368284e-04
6.500000e-01	7.000000e-01	1.514854e-02	4.745519e-04	4.745519e-04
7.000000e-01	7.500000e-01	1.183340e-02	4.194239e-04	4.194239e-04
7.500000e-01	8.000000e-01	9.499430e-03	3.757916e-04	3.757916e-04
8.000000e-01	8.500000e-01	7.507374e-03	3.340738e-04	3.340738e-04
8.500000e-01	9.000000e-01	6.258622e-03	3.050266e-04	3.050266e-04
9.000000e-01	9.500000e-01	5.708578e-03	2.913146e-04	2.913146e-04
9.500000e-01	1.000000e+00	4.563888e-03	2.604749e-04	2.604749e-04
1.000000e+00	1.050000e+00	3.924646e-03	2.415453e-04	2.415453e-04
1.050000e+00	1.100000e+00	3.032682e-03	2.123302e-04	2.123302e-04
1.100000e+00	1.150000e+00	2.750226e-03	2.022006e-04	2.022006e-04
1.150000e+00	1.200000e+00	2.512368e-03	1.932591e-04	1.932591e-04
1.200000e+00	1.250000e+00	2.036654e-03	1.740031e-04	1.740031e-04
1.250000e+00	1.300000e+00	2.096118e-03	1.765250e-04	1.765250e-04
1.300000e+00	1.350000e+00	1.650136e-03	1.566239e-04	1.566239e-04
1.350000e+00	1.400000e+00	1.442010e-03	1.464140e-04	1.464140e-04
1.400000e+00	1.450000e+00	1.100090e-03	1.278829e-04	1.278829e-04
1.450000e+00	1.500000e+00	1.010894e-03	1.225889e-04	1.225889e-04
1.500000e+00	1.550000e+00	8.919652e-04	1.151522e-04	1.151522e-04
