# BEGIN PLOT
DrawOnly=/nfs/dust/cms/user/shwillia/BTV/Dec14/QCD_Pt-50to80_Tune4C_8TeV_pythia8/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/K_ChargedParticlePVDz_AllJets /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_Tune4C_8TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/K_ChargedParticlePVDz_AllJets
RatioPlotReference=/nfs/dust/cms/user/shwillia/BTV/Dec14/QCD_Pt-50to80_Tune4C_8TeV_pythia8/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/K_ChargedParticlePVDz_AllJets
RatioPlot=1
Legend=1
XLabel=$d_{z}(CP,PV)$
YLabel=Normalized to Unity
LogY=1
NormalizeToSum=1
# END PLOT

# BEGIN HISTOGRAM /nfs/dust/cms/user/shwillia/BTV/Dec14/QCD_Pt-50to80_Tune4C_8TeV_pythia8/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/K_ChargedParticlePVDz_AllJets
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=/nfs/dust/cms/user/shwillia/BTV/Dec14/QCD_Pt-50to80_Tune4C_8TeV_pythia8/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/K_ChargedParticlePVDz_AllJets
ScaledBy=7.3217735707843073e-08
Title=MC History Flavor
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	9.882237e+00	2.689898e-03	2.689898e-03
1.000000e-01	2.000000e-01	5.540020e-02	2.014020e-04	2.014020e-04
2.000000e-01	3.000000e-01	2.427607e-02	1.333206e-04	1.333206e-04
3.000000e-01	4.000000e-01	1.312501e-02	9.802977e-05	9.802977e-05
4.000000e-01	5.000000e-01	7.919230e-03	7.614644e-05	7.614644e-05
5.000000e-01	6.000000e-01	4.957573e-03	6.024801e-05	6.024801e-05
6.000000e-01	7.000000e-01	3.316763e-03	4.927940e-05	4.927940e-05
7.000000e-01	8.000000e-01	2.263892e-03	4.071328e-05	4.071328e-05
8.000000e-01	9.000000e-01	1.555877e-03	3.375171e-05	3.375171e-05
9.000000e-01	1.000000e+00	1.127553e-03	2.873271e-05	2.873271e-05
1.000000e+00	1.100000e+00	8.449327e-04	2.487249e-05	2.487249e-05
1.100000e+00	1.200000e+00	6.260116e-04	2.140915e-05	2.140915e-05
1.200000e+00	1.300000e+00	4.890945e-04	1.892363e-05	1.892363e-05
1.300000e+00	1.400000e+00	3.726783e-04	1.651867e-05	1.651867e-05
1.400000e+00	1.500000e+00	3.089788e-04	1.504085e-05	1.504085e-05
1.500000e+00	1.600000e+00	2.306359e-04	1.299486e-05	1.299486e-05
1.600000e+00	1.700000e+00	1.720617e-04	1.122407e-05	1.122407e-05
1.700000e+00	1.800000e+00	1.295954e-04	9.740986e-06	9.740986e-06
1.800000e+00	1.900000e+00	1.178806e-04	9.290289e-06	9.290289e-06
1.900000e+00	2.000000e+00	9.737959e-05	8.443881e-06	8.443881e-06
2.000000e+00	2.100000e+00	8.053951e-05	7.679141e-06	7.679141e-06
2.100000e+00	2.200000e+00	7.175338e-05	7.248186e-06	7.248186e-06
2.200000e+00	2.300000e+00	4.759153e-05	5.903003e-06	5.903003e-06
2.300000e+00	2.400000e+00	3.660887e-05	5.177275e-06	5.177275e-06
2.400000e+00	2.500000e+00	3.221580e-05	4.856715e-06	4.856715e-06
2.500000e+00	2.600000e+00	2.855492e-05	4.572446e-06	4.572446e-06
2.600000e+00	2.700000e+00	1.757226e-05	3.586922e-06	3.586922e-06
2.700000e+00	2.800000e+00	1.757226e-05	3.586922e-06	3.586922e-06
2.800000e+00	2.900000e+00	1.391137e-05	3.191487e-06	3.191487e-06
2.900000e+00	3.000000e+00	1.976879e-05	3.804505e-06	3.804505e-06
3.000000e+00	3.100000e+00	5.857419e-06	2.070910e-06	2.070910e-06
3.100000e+00	3.200000e+00	6.589596e-06	2.196532e-06	2.196532e-06
3.200000e+00	3.300000e+00	2.928710e-06	1.464355e-06	1.464355e-06
3.300000e+00	3.400000e+00	5.857419e-06	2.070910e-06	2.070910e-06
3.400000e+00	3.500000e+00	2.928709e-06	1.464355e-06	1.464355e-06
3.500000e+00	3.600000e+00	3.660887e-06	1.637198e-06	1.637198e-06
3.600000e+00	3.700000e+00	6.589596e-06	2.196532e-06	2.196532e-06
3.700000e+00	3.800000e+00	3.660887e-06	1.637199e-06	1.637199e-06
3.800000e+00	3.900000e+00	2.928709e-06	1.464355e-06	1.464355e-06
3.900000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	4.100000e+00	3.660887e-06	1.637198e-06	1.637198e-06
4.100000e+00	4.200000e+00	3.660887e-06	1.637198e-06	1.637198e-06
4.200000e+00	4.300000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.300000e+00	4.400000e+00	1.464355e-06	1.035455e-06	1.035455e-06
4.400000e+00	4.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.500000e+00	4.600000e+00	1.464355e-06	1.035455e-06	1.035455e-06
4.600000e+00	4.700000e+00	2.196532e-06	1.268168e-06	1.268168e-06
4.700000e+00	4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e+00	4.900000e+00	7.321776e-07	7.321774e-07	7.321774e-07
4.900000e+00	5.000000e+00	2.196532e-06	1.268168e-06	1.268168e-06
# END HISTOGRAM

# BEGIN HISTOGRAM /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_Tune4C_8TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/K_ChargedParticlePVDz_AllJets
LineColor={[HTML]{3366FF}}
LineStyle=solid
Path=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_Tune4C_8TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/K_ChargedParticlePVDz_AllJets
Title=Ghost Hadron Flavor
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	5.419985e+07	1.646205e+04	1.646205e+04
2.000000e-01	4.000000e-01	2.726550e+05	1.167594e+03	1.167594e+03
4.000000e-01	6.000000e-01	1.051800e+05	7.251896e+02	7.251896e+02
6.000000e-01	8.000000e-01	5.007000e+04	5.003499e+02	5.003499e+02
8.000000e-01	1.000000e+00	2.620500e+04	3.619738e+02	3.619738e+02
1.000000e+00	1.200000e+00	1.575000e+04	2.806243e+02	2.806243e+02
1.200000e+00	1.400000e+00	1.021500e+04	2.259978e+02	2.259978e+02
1.400000e+00	1.600000e+00	6.445000e+03	1.795132e+02	1.795132e+02
1.600000e+00	1.800000e+00	4.530000e+03	1.504992e+02	1.504992e+02
1.800000e+00	2.000000e+00	3.100000e+03	1.244990e+02	1.244990e+02
2.000000e+00	2.200000e+00	2.295000e+03	1.071214e+02	1.071214e+02
2.200000e+00	2.400000e+00	1.550000e+03	8.803408e+01	8.803408e+01
2.400000e+00	2.600000e+00	1.280000e+03	8.000000e+01	8.000000e+01
2.600000e+00	2.800000e+00	8.550000e+02	6.538348e+01	6.538348e+01
2.800000e+00	3.000000e+00	8.000000e+02	6.324555e+01	6.324555e+01
3.000000e+00	3.200000e+00	5.450000e+02	5.220153e+01	5.220153e+01
3.200000e+00	3.400000e+00	3.900000e+02	4.415880e+01	4.415880e+01
3.400000e+00	3.600000e+00	2.950000e+02	3.840573e+01	3.840573e+01
3.600000e+00	3.800000e+00	2.800000e+02	3.741657e+01	3.741657e+01
3.800000e+00	4.000000e+00	2.050000e+02	3.201562e+01	3.201562e+01
4.000000e+00	4.200000e+00	1.950000e+02	3.122499e+01	3.122499e+01
4.200000e+00	4.400000e+00	1.600000e+02	2.828427e+01	2.828427e+01
4.400000e+00	4.600000e+00	1.000000e+02	2.236068e+01	2.236068e+01
4.600000e+00	4.800000e+00	1.150000e+02	2.397916e+01	2.397916e+01
4.800000e+00	5.000000e+00	1.150000e+02	2.397916e+01	2.397916e+01
5.000000e+00	5.200000e+00	9.000000e+01	2.121320e+01	2.121320e+01
5.200000e+00	5.400000e+00	1.250000e+02	2.500000e+01	2.500000e+01
5.400000e+00	5.600000e+00	5.500000e+01	1.658312e+01	1.658312e+01
5.600000e+00	5.800000e+00	4.500000e+01	1.500000e+01	1.500000e+01
5.800000e+00	6.000000e+00	6.500000e+01	1.802776e+01	1.802776e+01
6.000000e+00	6.200000e+00	3.000000e+01	1.224745e+01	1.224745e+01
6.200000e+00	6.400000e+00	1.000000e+01	7.071068e+00	7.071068e+00
6.400000e+00	6.600000e+00	3.500000e+01	1.322876e+01	1.322876e+01
6.600000e+00	6.800000e+00	1.000000e+01	7.071068e+00	7.071068e+00
6.800000e+00	7.000000e+00	1.500000e+01	8.660254e+00	8.660254e+00
7.000000e+00	7.200000e+00	2.000000e+01	1.000000e+01	1.000000e+01
7.200000e+00	7.400000e+00	2.000000e+01	1.000000e+01	1.000000e+01
7.400000e+00	7.600000e+00	5.000000e+00	5.000000e+00	5.000000e+00
7.600000e+00	7.800000e+00	1.500000e+01	8.660254e+00	8.660254e+00
