# BEGIN PLOT
DrawOnly=/nfs/dust/cms/user/shwillia/BTV/Dec14/QCD_Pt-50to80_Tune4C_8TeV_pythia8/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/L_ChargedParticlePCAPVDAllJets
Legend=1
LogY=1
# END PLOT

# BEGIN HISTOGRAM /nfs/dust/cms/user/shwillia/BTV/Dec14/QCD_Pt-50to80_Tune4C_8TeV_pythia8/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/L_ChargedParticlePCAPVDAllJets
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=/nfs/dust/cms/user/shwillia/BTV/Dec14/QCD_Pt-50to80_Tune4C_8TeV_pythia8/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/L_ChargedParticlePCAPVDAllJets
ScaledBy=7.3217735707843073e-08
Title=MC History Flavor
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e+00	4.860090e-01	1.333876e-04	1.333876e-04
2.000000e+00	4.000000e+00	4.045316e-03	1.216941e-05	1.216941e-05
4.000000e+00	6.000000e+00	2.513236e-03	9.592012e-06	9.592012e-06
6.000000e+00	8.000000e+00	1.692867e-03	7.872354e-06	7.872354e-06
8.000000e+00	1.000000e+01	1.226104e-03	6.699722e-06	6.699722e-06
1.000000e+01	1.200000e+01	8.990770e-04	5.737090e-06	5.737090e-06
1.200000e+01	1.400000e+01	6.872215e-04	5.015815e-06	5.015815e-06
1.400000e+01	1.600000e+01	5.260695e-04	4.388486e-06	4.388486e-06
1.600000e+01	1.800000e+01	4.218440e-04	3.929788e-06	3.929788e-06
1.800000e+01	2.000000e+01	3.407187e-04	3.531760e-06	3.531760e-06
2.000000e+01	2.200000e+01	2.732120e-04	3.162591e-06	3.162591e-06
2.200000e+01	2.400000e+01	2.275607e-04	2.886302e-06	2.886302e-06
2.400000e+01	2.600000e+01	1.961869e-04	2.679959e-06	2.679959e-06
2.600000e+01	2.800000e+01	1.584798e-04	2.408685e-06	2.408685e-06
2.800000e+01	3.000000e+01	1.354162e-04	2.226530e-06	2.226530e-06
3.000000e+01	3.200000e+01	1.135607e-04	2.038953e-06	2.038953e-06
3.200000e+01	3.400000e+01	9.880735e-05	1.901900e-06	1.901900e-06
3.400000e+01	3.600000e+01	8.328520e-05	1.746131e-06	1.746131e-06
3.600000e+01	3.800000e+01	7.211945e-05	1.624873e-06	1.624873e-06
3.800000e+01	4.000000e+01	6.161270e-05	1.501856e-06	1.501856e-06
4.000000e+01	4.200000e+01	5.319270e-05	1.395466e-06	1.395466e-06
4.200000e+01	4.400000e+01	4.872641e-05	1.335597e-06	1.335597e-06
4.400000e+01	4.600000e+01	4.316186e-05	1.257023e-06	1.257023e-06
4.600000e+01	4.800000e+01	3.931793e-05	1.199744e-06	1.199744e-06
4.800000e+01	5.000000e+01	3.386320e-05	1.113415e-06	1.113415e-06
5.000000e+01	5.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
5.200000e+01	5.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00
5.400000e+01	5.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
5.600000e+01	5.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
5.800000e+01	6.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+01	6.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.200000e+01	6.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.400000e+01	6.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.600000e+01	6.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.800000e+01	7.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
7.000000e+01	7.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
7.200000e+01	7.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00
7.400000e+01	7.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
7.600000e+01	7.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
7.800000e+01	8.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+01	8.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.200000e+01	8.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.400000e+01	8.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.600000e+01	8.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.800000e+01	9.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
9.000000e+01	9.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
9.200000e+01	9.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00
9.400000e+01	9.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
9.600000e+01	9.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
9.800000e+01	1.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTOGRAM

