# BEGIN PLOT
DrawOnly=/nfs/dust/cms/user/shwillia/BTV/Dec14/QCD_Pt-50to80_Tune4C_8TeV_pythia8/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/L_ChargedParticlePCAPVDLightJets
Legend=1
LogY=1
# END PLOT

# BEGIN HISTOGRAM /nfs/dust/cms/user/shwillia/BTV/Dec14/QCD_Pt-50to80_Tune4C_8TeV_pythia8/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/L_ChargedParticlePCAPVDLightJets
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=/nfs/dust/cms/user/shwillia/BTV/Dec14/QCD_Pt-50to80_Tune4C_8TeV_pythia8/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/L_ChargedParticlePCAPVDLightJets
ScaledBy=8.4895207054316295e-08
Title=MC History Flavor
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e+00	4.999849e-01	1.456817e-04	1.456817e-04
2.000000e+00	4.000000e+00	4.711684e-06	4.472133e-07	4.472133e-07
4.000000e+00	6.000000e+00	2.631752e-06	3.342328e-07	3.342328e-07
6.000000e+00	8.000000e+00	1.995038e-06	2.910061e-07	2.910061e-07
8.000000e+00	1.000000e+01	1.995038e-06	2.910061e-07	2.910061e-07
1.000000e+01	1.200000e+01	5.942665e-07	1.588244e-07	1.588244e-07
1.200000e+01	1.400000e+01	7.640570e-07	1.800899e-07	1.800899e-07
1.400000e+01	1.600000e+01	5.518190e-07	1.530470e-07	1.530470e-07
1.600000e+01	1.800000e+01	2.122380e-07	9.491573e-08	9.491573e-08
1.800000e+01	2.000000e+01	2.546856e-07	1.039750e-07	1.039750e-07
2.000000e+01	2.200000e+01	2.546857e-07	1.039750e-07	1.039750e-07
2.200000e+01	2.400000e+01	1.273428e-07	7.352141e-08	7.352141e-08
2.400000e+01	2.600000e+01	1.697905e-07	8.489521e-08	8.489521e-08
2.600000e+01	2.800000e+01	1.273428e-07	7.352141e-08	7.352141e-08
2.800000e+01	3.000000e+01	2.122380e-07	9.491574e-08	9.491574e-08
3.000000e+01	3.200000e+01	1.273428e-07	7.352141e-08	7.352141e-08
3.200000e+01	3.400000e+01	8.489520e-08	6.002997e-08	6.002997e-08
3.400000e+01	3.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.600000e+01	3.800000e+01	4.244761e-08	4.244761e-08	4.244761e-08
3.800000e+01	4.000000e+01	4.244759e-08	4.244760e-08	4.244760e-08
4.000000e+01	4.200000e+01	4.244759e-08	4.244760e-08	4.244760e-08
4.200000e+01	4.400000e+01	8.489520e-08	6.002997e-08	6.002997e-08
4.400000e+01	4.600000e+01	4.244761e-08	4.244760e-08	4.244760e-08
4.600000e+01	4.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e+01	5.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
5.000000e+01	5.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
5.200000e+01	5.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00
5.400000e+01	5.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
5.600000e+01	5.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
5.800000e+01	6.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+01	6.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.200000e+01	6.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.400000e+01	6.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.600000e+01	6.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.800000e+01	7.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
7.000000e+01	7.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
7.200000e+01	7.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00
7.400000e+01	7.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
7.600000e+01	7.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
7.800000e+01	8.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+01	8.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.200000e+01	8.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.400000e+01	8.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.600000e+01	8.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.800000e+01	9.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
9.000000e+01	9.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
9.200000e+01	9.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00
9.400000e+01	9.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
9.600000e+01	9.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
9.800000e+01	1.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTOGRAM

