# BEGIN PLOT
DrawOnly=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_Tune4C_8TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/L_ChargedParticlePCAPVD_CharmJets
Legend=1
XLabel=$d(PV,PCA(CP,Jet))$
YLabel=Normalized to Unity
LogY=1
NormalizeToSum=1
# END PLOT

# BEGIN HISTOGRAM /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_Tune4C_8TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/L_ChargedParticlePCAPVD_CharmJets
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_Tune4C_8TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/L_ChargedParticlePCAPVD_CharmJets
Title=Ghost Hadron Flavor
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e+00	3.214350e+05	4.008959e+02	4.008959e+02
2.000000e+00	4.000000e+00	2.730000e+04	1.168332e+02	1.168332e+02
4.000000e+00	6.000000e+00	1.502000e+04	8.666026e+01	8.666026e+01
6.000000e+00	8.000000e+00	9.431500e+03	6.867132e+01	6.867132e+01
8.000000e+00	1.000000e+01	6.492500e+03	5.697587e+01	5.697587e+01
1.000000e+01	1.200000e+01	4.547500e+03	4.768385e+01	4.768385e+01
1.200000e+01	1.400000e+01	3.458000e+03	4.158125e+01	4.158125e+01
1.400000e+01	1.600000e+01	2.603500e+03	3.607977e+01	3.607977e+01
1.600000e+01	1.800000e+01	2.040500e+03	3.194135e+01	3.194135e+01
1.800000e+01	2.000000e+01	1.583500e+03	2.813805e+01	2.813805e+01
2.000000e+01	2.200000e+01	1.233500e+03	2.483445e+01	2.483445e+01
2.200000e+01	2.400000e+01	1.011500e+03	2.248889e+01	2.248889e+01
2.400000e+01	2.600000e+01	8.925000e+02	2.112463e+01	2.112463e+01
2.600000e+01	2.800000e+01	7.350000e+02	1.917029e+01	1.917029e+01
2.800000e+01	3.000000e+01	6.255000e+02	1.768474e+01	1.768474e+01
3.000000e+01	3.200000e+01	4.985000e+02	1.578765e+01	1.578765e+01
3.200000e+01	3.400000e+01	4.485000e+02	1.497498e+01	1.497498e+01
3.400000e+01	3.600000e+01	3.840000e+02	1.385641e+01	1.385641e+01
3.600000e+01	3.800000e+01	3.150000e+02	1.254990e+01	1.254990e+01
3.800000e+01	4.000000e+01	2.815000e+02	1.186381e+01	1.186381e+01
4.000000e+01	4.200000e+01	2.265000e+02	1.064190e+01	1.064190e+01
4.200000e+01	4.400000e+01	2.170000e+02	1.041633e+01	1.041633e+01
4.400000e+01	4.600000e+01	1.870000e+02	9.669540e+00	9.669540e+00
4.600000e+01	4.800000e+01	1.655000e+02	9.096703e+00	9.096703e+00
4.800000e+01	5.000000e+01	1.420000e+02	8.426150e+00	8.426150e+00
5.000000e+01	5.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
5.200000e+01	5.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00
5.400000e+01	5.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
5.600000e+01	5.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
5.800000e+01	6.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+01	6.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.200000e+01	6.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.400000e+01	6.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.600000e+01	6.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.800000e+01	7.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
7.000000e+01	7.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
7.200000e+01	7.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00
7.400000e+01	7.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
7.600000e+01	7.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
7.800000e+01	8.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+01	8.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.200000e+01	8.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.400000e+01	8.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.600000e+01	8.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.800000e+01	9.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
9.000000e+01	9.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
9.200000e+01	9.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00
9.400000e+01	9.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
9.600000e+01	9.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
9.800000e+01	1.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTOGRAM

