# BEGIN PLOT
DrawOnly=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_Tune4C_8TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/L_ChargedParticlePCAPVD_LightJets
Legend=1
XLabel=$d(PV,PCA(CP,Jet))$
YLabel=Normalized to Unity
LogY=1
NormalizeToSum=1
# END PLOT

# BEGIN HISTOGRAM /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_Tune4C_8TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/L_ChargedParticlePCAPVD_LightJets
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_Tune4C_8TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/L_ChargedParticlePCAPVD_LightJets
Title=Ghost Hadron Flavor
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e+00	4.891163e+06	1.563836e+03	1.563836e+03
2.000000e+00	4.000000e+00	3.269500e+03	4.043204e+01	4.043204e+01
4.000000e+00	6.000000e+00	2.056500e+03	3.206634e+01	3.206634e+01
6.000000e+00	8.000000e+00	1.443500e+03	2.686541e+01	2.686541e+01
8.000000e+00	1.000000e+01	1.113000e+03	2.359025e+01	2.359025e+01
1.000000e+01	1.200000e+01	8.825000e+02	2.100595e+01	2.100595e+01
1.200000e+01	1.400000e+01	7.220000e+02	1.900000e+01	1.900000e+01
1.400000e+01	1.600000e+01	6.015000e+02	1.734215e+01	1.734215e+01
1.600000e+01	1.800000e+01	4.955000e+02	1.574008e+01	1.574008e+01
1.800000e+01	2.000000e+01	4.300000e+02	1.466288e+01	1.466288e+01
2.000000e+01	2.200000e+01	3.375000e+02	1.299038e+01	1.299038e+01
2.200000e+01	2.400000e+01	3.230000e+02	1.270827e+01	1.270827e+01
2.400000e+01	2.600000e+01	2.830000e+02	1.189538e+01	1.189538e+01
2.600000e+01	2.800000e+01	2.470000e+02	1.111306e+01	1.111306e+01
2.800000e+01	3.000000e+01	2.190000e+02	1.046422e+01	1.046422e+01
3.000000e+01	3.200000e+01	1.820000e+02	9.539392e+00	9.539392e+00
3.200000e+01	3.400000e+01	1.700000e+02	9.219544e+00	9.219544e+00
3.400000e+01	3.600000e+01	1.560000e+02	8.831761e+00	8.831761e+00
3.600000e+01	3.800000e+01	1.310000e+02	8.093207e+00	8.093207e+00
3.800000e+01	4.000000e+01	1.225000e+02	7.826238e+00	7.826238e+00
4.000000e+01	4.200000e+01	1.105000e+02	7.433034e+00	7.433034e+00
4.200000e+01	4.400000e+01	9.850000e+01	7.017834e+00	7.017834e+00
4.400000e+01	4.600000e+01	9.750000e+01	6.982120e+00	6.982120e+00
4.600000e+01	4.800000e+01	8.200000e+01	6.403124e+00	6.403124e+00
4.800000e+01	5.000000e+01	7.250000e+01	6.020797e+00	6.020797e+00
5.000000e+01	5.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
5.200000e+01	5.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00
5.400000e+01	5.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
5.600000e+01	5.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
5.800000e+01	6.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+01	6.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.200000e+01	6.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.400000e+01	6.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.600000e+01	6.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.800000e+01	7.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
7.000000e+01	7.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
7.200000e+01	7.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00
7.400000e+01	7.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
7.600000e+01	7.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
7.800000e+01	8.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+01	8.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.200000e+01	8.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.400000e+01	8.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.600000e+01	8.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.800000e+01	9.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
9.000000e+01	9.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
9.200000e+01	9.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00
9.400000e+01	9.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
9.600000e+01	9.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
9.800000e+01	1.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTOGRAM

