# BEGIN PLOT
DrawOnly=/nfs/dust/cms/user/shwillia/BTV/Dec14/QCD_Pt-50to80_Tune4C_8TeV_pythia8/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/M_ChargedParticleIP_AllJets /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_Tune4C_8TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/M_ChargedParticleIP_AllJets
RatioPlotReference=/nfs/dust/cms/user/shwillia/BTV/Dec14/QCD_Pt-50to80_Tune4C_8TeV_pythia8/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/M_ChargedParticleIP_AllJets
RatioPlot=1
Legend=1
XLabel=$IP(CP,PV)$
YLabel=Normalized to Unity
LogY=1
NormalizeToSum=1
# END PLOT

# BEGIN HISTOGRAM /nfs/dust/cms/user/shwillia/BTV/Dec14/QCD_Pt-50to80_Tune4C_8TeV_pythia8/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/M_ChargedParticleIP_AllJets
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=/nfs/dust/cms/user/shwillia/BTV/Dec14/QCD_Pt-50to80_Tune4C_8TeV_pythia8/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/M_ChargedParticleIP_AllJets
ScaledBy=7.3217735707843073e-08
Title=MC History Flavor
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
-3.000000e+00	-2.900000e+00	7.321774e-07	7.321773e-07	7.321773e-07
-2.900000e+00	-2.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.800000e+00	-2.700000e+00	7.321775e-07	7.321773e-07	7.321773e-07
-2.700000e+00	-2.600000e+00	7.321776e-07	7.321774e-07	7.321774e-07
-2.600000e+00	-2.500000e+00	7.321774e-07	7.321774e-07	7.321774e-07
-2.500000e+00	-2.400000e+00	1.464355e-06	1.035455e-06	1.035455e-06
-2.400000e+00	-2.300000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.300000e+00	-2.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.200000e+00	-2.100000e+00	2.196532e-06	1.268168e-06	1.268168e-06
-2.100000e+00	-2.000000e+00	1.464355e-06	1.035455e-06	1.035455e-06
-2.000000e+00	-1.900000e+00	1.464355e-06	1.035455e-06	1.035455e-06
-1.900000e+00	-1.800000e+00	5.125241e-06	1.937159e-06	1.937159e-06
-1.800000e+00	-1.700000e+00	5.857419e-06	2.070910e-06	2.070910e-06
-1.700000e+00	-1.600000e+00	1.244701e-05	3.018845e-06	3.018845e-06
-1.600000e+00	-1.500000e+00	1.025048e-05	2.739557e-06	2.739557e-06
-1.500000e+00	-1.400000e+00	1.464355e-05	3.274396e-06	3.274396e-06
-1.400000e+00	-1.300000e+00	1.610790e-05	3.434216e-06	3.434216e-06
-1.300000e+00	-1.200000e+00	2.489403e-05	4.269290e-06	4.269290e-06
-1.200000e+00	-1.100000e+00	3.953758e-05	5.380383e-06	5.380383e-06
-1.100000e+00	-1.000000e+00	5.491330e-05	6.340842e-06	6.340842e-06
-1.000000e+00	-9.000000e-01	8.639693e-05	7.953482e-06	7.953482e-06
-9.000000e-01	-8.000000e-01	1.544894e-04	1.063549e-05	1.063549e-05
-8.000000e-01	-7.000000e-01	2.511368e-04	1.356011e-05	1.356011e-05
-7.000000e-01	-6.000000e-01	5.322929e-04	1.974165e-05	1.974165e-05
-6.000000e-01	-5.000000e-01	7.892872e-04	2.403951e-05	2.403951e-05
-5.000000e-01	-4.000000e-01	1.310597e-03	3.097725e-05	3.097725e-05
-4.000000e-01	-3.000000e-01	2.210443e-03	4.022980e-05	4.022980e-05
-3.000000e-01	-2.000000e-01	4.185858e-03	5.536055e-05	5.536055e-05
-2.000000e-01	-1.000000e-01	9.663277e-03	8.411440e-05	8.411440e-05
-1.000000e-01	1.526557e-15	9.578320e+00	2.648212e-03	2.648212e-03
1.526557e-15	1.000000e-01	1.835144e-01	3.665585e-04	3.665585e-04
1.000000e-01	2.000000e-01	7.119546e-02	2.283149e-04	2.283149e-04
2.000000e-01	3.000000e-01	4.156571e-02	1.744519e-04	1.744519e-04
3.000000e-01	4.000000e-01	2.715133e-02	1.409950e-04	1.409950e-04
4.000000e-01	5.000000e-01	1.888651e-02	1.175937e-04	1.175937e-04
5.000000e-01	6.000000e-01	1.377518e-02	1.004285e-04	1.004285e-04
6.000000e-01	7.000000e-01	1.014066e-02	8.616704e-05	8.616704e-05
7.000000e-01	8.000000e-01	7.619038e-03	7.468927e-05	7.468927e-05
8.000000e-01	9.000000e-01	5.839847e-03	6.538962e-05	6.538962e-05
9.000000e-01	1.000000e+00	4.519731e-03	5.752604e-05	5.752604e-05
1.000000e+00	1.100000e+00	3.562043e-03	5.106904e-05	5.106904e-05
1.100000e+00	1.200000e+00	2.808632e-03	4.534773e-05	4.534773e-05
1.200000e+00	1.300000e+00	2.274143e-03	4.080534e-05	4.080534e-05
1.300000e+00	1.400000e+00	1.889750e-03	3.719720e-05	3.719720e-05
1.400000e+00	1.500000e+00	1.550752e-03	3.369607e-05	3.369607e-05
1.500000e+00	1.600000e+00	1.290097e-03	3.073401e-05	3.073401e-05
1.600000e+00	1.700000e+00	1.068247e-03	2.796688e-05	2.796688e-05
1.700000e+00	1.800000e+00	9.020425e-04	2.569932e-05	2.569932e-05
1.800000e+00	1.900000e+00	7.570714e-04	2.354380e-05	2.354380e-05
1.900000e+00	2.000000e+00	5.784201e-04	2.057926e-05	2.057926e-05
2.000000e+00	2.100000e+00	3.909827e-04	1.691948e-05	1.691948e-05
2.100000e+00	2.200000e+00	2.613873e-04	1.383408e-05	1.383408e-05
2.200000e+00	2.300000e+00	1.940270e-04	1.191898e-05	1.191898e-05
2.300000e+00	2.400000e+00	1.310597e-04	9.795865e-06	9.795865e-06
2.400000e+00	2.500000e+00	8.566475e-05	7.919709e-06	7.919709e-06
2.500000e+00	2.600000e+00	6.736032e-05	7.022799e-06	7.022799e-06
2.600000e+00	2.700000e+00	5.564548e-05	6.382974e-06	6.382974e-06
2.700000e+00	2.800000e+00	5.052024e-05	6.081922e-06	6.081922e-06
2.800000e+00	2.900000e+00	3.514451e-05	5.072674e-06	5.072674e-06
2.900000e+00	3.000000e+00	2.416185e-05	4.206039e-06	4.206039e-06
3.000000e+00	3.100000e+00	1.903661e-05	3.733387e-06	3.733387e-06
3.100000e+00	3.200000e+00	1.171484e-05	2.928709e-06	2.928709e-06
3.200000e+00	3.300000e+00	1.757226e-05	3.586922e-06	3.586922e-06
3.300000e+00	3.400000e+00	6.589596e-06	2.196532e-06	2.196532e-06
3.400000e+00	3.500000e+00	6.589596e-06	2.196532e-06	2.196532e-06
