# BEGIN PLOT
DrawOnly=/nfs/dust/cms/user/shwillia/BTV/Dec14/QCD_Pt-50to80_Tune4C_8TeV_pythia8/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/N_ChargedTrackVertexPVDist_CharmJets /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_Tune4C_8TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/N_ChargedTrackVertexPVDist_CharmJets
RatioPlotReference=/nfs/dust/cms/user/shwillia/BTV/Dec14/QCD_Pt-50to80_Tune4C_8TeV_pythia8/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/N_ChargedTrackVertexPVDist_CharmJets
RatioPlot=1
Legend=1
XLabel=$d(CPV,PV)$
YLabel=Normalized to Unity
LogY=1
NormalizeToSum=1
# END PLOT

# BEGIN HISTOGRAM /nfs/dust/cms/user/shwillia/BTV/Dec14/QCD_Pt-50to80_Tune4C_8TeV_pythia8/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/N_ChargedTrackVertexPVDist_CharmJets
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=/nfs/dust/cms/user/shwillia/BTV/Dec14/QCD_Pt-50to80_Tune4C_8TeV_pythia8/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/N_ChargedTrackVertexPVDist_CharmJets
ScaledBy=7.4330431473288618e-07
Title=MC History Flavor
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e+00	4.469645e-01	4.075725e-04	4.075725e-04
2.000000e+00	4.000000e+00	2.181970e-02	9.005186e-05	9.005186e-05
4.000000e+00	6.000000e+00	1.068129e-02	6.300573e-05	6.300573e-05
6.000000e+00	8.000000e+00	6.192470e-03	4.797337e-05	4.797337e-05
8.000000e+00	1.000000e+01	3.972590e-03	3.842423e-05	3.842423e-05
1.000000e+01	1.200000e+01	2.652482e-03	3.139746e-05	3.139746e-05
1.200000e+01	1.400000e+01	1.984251e-03	2.715605e-05	2.715605e-05
1.400000e+01	1.600000e+01	1.403358e-03	2.283772e-05	2.283772e-05
1.600000e+01	1.800000e+01	1.040626e-03	1.966599e-05	1.966599e-05
1.800000e+01	2.000000e+01	7.760095e-04	1.698251e-05	1.698251e-05
2.000000e+01	2.200000e+01	5.875820e-04	1.477756e-05	1.477756e-05
2.200000e+01	2.400000e+01	4.303732e-04	1.264710e-05	1.264710e-05
2.400000e+01	2.600000e+01	3.370885e-04	1.119284e-05	1.119284e-05
2.600000e+01	2.800000e+01	2.858005e-04	1.030623e-05	1.030623e-05
2.800000e+01	3.000000e+01	1.936308e-04	8.483119e-06	8.483119e-06
3.000000e+01	3.200000e+01	1.508908e-04	7.488583e-06	7.488583e-06
3.200000e+01	3.400000e+01	1.159555e-04	6.564686e-06	6.564686e-06
3.400000e+01	3.600000e+01	9.439965e-05	5.923160e-06	5.923160e-06
3.600000e+01	3.800000e+01	7.507375e-05	5.282170e-06	5.282170e-06
3.800000e+01	4.000000e+01	5.426120e-05	4.490690e-06	4.490690e-06
4.000000e+01	4.200000e+01	4.459826e-05	4.071246e-06	4.071246e-06
4.200000e+01	4.400000e+01	3.121878e-05	3.406248e-06	3.406248e-06
4.400000e+01	4.600000e+01	2.490069e-05	3.042104e-06	3.042104e-06
4.600000e+01	4.800000e+01	2.155582e-05	2.830419e-06	2.830419e-06
4.800000e+01	5.000000e+01	1.152122e-05	2.069272e-06	2.069272e-06
5.000000e+01	5.200000e+01	1.486609e-05	2.350535e-06	2.350535e-06
5.200000e+01	5.400000e+01	7.061390e-06	1.619994e-06	1.619994e-06
5.400000e+01	5.600000e+01	5.203130e-06	1.390595e-06	1.390595e-06
