# BEGIN PLOT
DrawOnly=/nfs/dust/cms/user/shwillia/BTV/Dec14/QCD_Pt-50to80_Tune4C_8TeV_pythia8/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/O_NChargedParticlesSecVertex_AllJets /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_Tune4C_8TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/O_NChargedParticlesSecVertex_AllJets
RatioPlotReference=/nfs/dust/cms/user/shwillia/BTV/Dec14/QCD_Pt-50to80_Tune4C_8TeV_pythia8/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/O_NChargedParticlesSecVertex_AllJets
RatioPlot=1
Legend=1
XLabel=$N(Vertex\;CP)$
YLabel=Normalized to Unity
LogY=1
NormalizeToSum=1
# END PLOT

# BEGIN HISTOGRAM /nfs/dust/cms/user/shwillia/BTV/Dec14/QCD_Pt-50to80_Tune4C_8TeV_pythia8/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/O_NChargedParticlesSecVertex_AllJets
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=/nfs/dust/cms/user/shwillia/BTV/Dec14/QCD_Pt-50to80_Tune4C_8TeV_pythia8/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/O_NChargedParticlesSecVertex_AllJets
ScaledBy=4.6502824814093334e-07
Title=MC History Flavor
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+00	8.941921e-01	6.448446e-04	6.448446e-04
1.000000e+00	2.000000e+00	2.730925e-02	1.126924e-04	1.126924e-04
2.000000e+00	3.000000e+00	3.080022e-02	1.196786e-04	1.196786e-04
3.000000e+00	4.000000e+00	1.890433e-02	9.376058e-05	9.376058e-05
4.000000e+00	5.000000e+00	1.370996e-02	7.984685e-05	7.984685e-05
5.000000e+00	6.000000e+00	7.067499e-03	5.732876e-05	5.732876e-05
6.000000e+00	7.000000e+00	4.003428e-03	4.314750e-05	4.314750e-05
7.000000e+00	8.000000e+00	2.085652e-03	3.114301e-05	3.114301e-05
8.000000e+00	9.000000e+00	1.059799e-03	2.219993e-05	2.219993e-05
9.000000e+00	1.000000e+01	4.808392e-04	1.495339e-05	1.495339e-05
1.000000e+01	1.100000e+01	2.278638e-04	1.029384e-05	1.029384e-05
1.100000e+01	1.200000e+01	9.765593e-05	6.738900e-06	6.738900e-06
1.200000e+01	1.300000e+01	4.138751e-05	4.387067e-06	4.387067e-06
1.300000e+01	1.400000e+01	1.255576e-05	2.416358e-06	2.416358e-06
1.400000e+01	1.500000e+01	6.975423e-06	1.801047e-06	1.801047e-06
1.500000e+01	1.600000e+01	4.650281e-07	4.650283e-07	4.650283e-07
1.600000e+01	1.700000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.700000e+01	1.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.800000e+01	1.900000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.900000e+01	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	2.100000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.100000e+01	2.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.200000e+01	2.300000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.300000e+01	2.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.400000e+01	2.500000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.500000e+01	2.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.600000e+01	2.700000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.700000e+01	2.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.800000e+01	2.900000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.900000e+01	3.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTOGRAM

# BEGIN HISTOGRAM /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_Tune4C_8TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/O_NChargedParticlesSecVertex_AllJets
LineColor={[HTML]{3366FF}}
LineStyle=solid
Path=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_Tune4C_8TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/O_NChargedParticlesSecVertex_AllJets
Title=Ghost Hadron Flavor
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+00	1.921577e+06	1.386210e+03	1.386210e+03
1.000000e+00	2.000000e+00	5.826500e+04	2.413814e+02	2.413814e+02
2.000000e+00	3.000000e+00	6.363500e+04	2.522598e+02	2.522598e+02
3.000000e+00	4.000000e+00	4.112700e+04	2.027979e+02	2.027979e+02
4.000000e+00	5.000000e+00	2.927900e+04	1.711111e+02	1.711111e+02
5.000000e+00	6.000000e+00	1.617900e+04	1.271967e+02	1.271967e+02
6.000000e+00	7.000000e+00	9.598000e+03	9.796938e+01	9.796938e+01
7.000000e+00	8.000000e+00	5.281000e+03	7.267049e+01	7.267049e+01
8.000000e+00	9.000000e+00	2.840000e+03	5.329165e+01	5.329165e+01
9.000000e+00	1.000000e+01	1.428000e+03	3.778889e+01	3.778889e+01
1.000000e+01	1.100000e+01	6.520000e+02	2.553429e+01	2.553429e+01
1.100000e+01	1.200000e+01	3.140000e+02	1.772005e+01	1.772005e+01
1.200000e+01	1.300000e+01	1.370000e+02	1.170470e+01	1.170470e+01
1.300000e+01	1.400000e+01	5.500000e+01	7.416198e+00	7.416198e+00
1.400000e+01	1.500000e+01	2.000000e+01	4.472136e+00	4.472136e+00
1.500000e+01	1.600000e+01	8.000000e+00	2.828427e+00	2.828427e+00
1.600000e+01	1.700000e+01	2.000000e+00	1.414214e+00	1.414214e+00
1.700000e+01	1.800000e+01	2.000000e+00	1.414214e+00	1.414214e+00
1.800000e+01	1.900000e+01	1.000000e+00	1.000000e+00	1.000000e+00
1.900000e+01	2.000000e+01	1.000000e+00	1.000000e+00	1.000000e+00
2.000000e+01	2.100000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.100000e+01	2.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.200000e+01	2.300000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.300000e+01	2.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.400000e+01	2.500000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.500000e+01	2.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.600000e+01	2.700000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.700000e+01	2.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.800000e+01	2.900000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.900000e+01	3.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTOGRAM

