# BEGIN PLOT
DrawOnly=/nfs/dust/cms/user/shwillia/BTV/Dec14/QCD_Pt-50to80_Tune4C_8TeV_pythia8/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/Q_SecVertexMassBottomJets
Legend=1
LogY=1
# END PLOT

# BEGIN HISTOGRAM /nfs/dust/cms/user/shwillia/BTV/Dec14/QCD_Pt-50to80_Tune4C_8TeV_pythia8/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/Q_SecVertexMassBottomJets
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=/nfs/dust/cms/user/shwillia/BTV/Dec14/QCD_Pt-50to80_Tune4C_8TeV_pythia8/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/Q_SecVertexMassBottomJets
ScaledBy=6.9372181755116196e-06
Title=MC History Flavor
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	1.738536e+00	7.765502e-03	7.765502e-03
2.000000e-01	4.000000e-01	1.217482e-01	2.054986e-03	2.054986e-03
4.000000e-01	6.000000e-01	6.380160e-01	4.704283e-03	4.704283e-03
6.000000e-01	8.000000e-01	3.073534e-01	3.265102e-03	3.265102e-03
8.000000e-01	1.000000e+00	4.630940e-01	4.007857e-03	4.007857e-03
1.000000e+00	1.200000e+00	3.928547e-01	3.691421e-03	3.691421e-03
1.200000e+00	1.400000e+00	3.266736e-01	3.366160e-03	3.366160e-03
1.400000e+00	1.600000e+00	2.673257e-01	3.045075e-03	3.045075e-03
1.600000e+00	1.800000e+00	1.721471e-01	2.443585e-03	2.443585e-03
1.800000e+00	2.000000e+00	2.885883e-01	3.163858e-03	3.163858e-03
2.000000e+00	2.200000e+00	6.822755e-02	1.538358e-03	1.538358e-03
2.200000e+00	2.400000e+00	6.253900e-02	1.472832e-03	1.472832e-03
2.400000e+00	2.600000e+00	4.613250e-02	1.264973e-03	1.264973e-03
2.600000e+00	2.800000e+00	3.302116e-02	1.070222e-03	1.070222e-03
2.800000e+00	3.000000e+00	2.372528e-02	9.071590e-04	9.071590e-04
3.000000e+00	3.200000e+00	1.616372e-02	7.487698e-04	7.487698e-04
3.200000e+00	3.400000e+00	1.026709e-02	5.967621e-04	5.967621e-04
3.400000e+00	3.600000e+00	4.821366e-03	4.089430e-04	4.089430e-04
3.600000e+00	3.800000e+00	4.509192e-03	3.954823e-04	3.954823e-04
3.800000e+00	4.000000e+00	3.503295e-03	3.485909e-04	3.485909e-04
4.000000e+00	4.200000e+00	2.636143e-03	3.023863e-04	3.023863e-04
4.200000e+00	4.400000e+00	2.289282e-03	2.817911e-04	2.817911e-04
4.400000e+00	4.600000e+00	1.907735e-03	2.572389e-04	2.572389e-04
4.600000e+00	4.800000e+00	1.179327e-03	2.022529e-04	2.022529e-04
4.800000e+00	5.000000e+00	7.630940e-04	1.626922e-04	1.626922e-04
5.000000e+00	5.200000e+00	6.590355e-04	1.511932e-04	1.511932e-04
5.200000e+00	5.400000e+00	1.248699e-03	2.081166e-04	2.081166e-04
5.400000e+00	5.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.600000e+00	5.800000e+00	6.937220e-05	4.905354e-05	4.905354e-05
5.800000e+00	6.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+00	6.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.200000e+00	6.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.400000e+00	6.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.600000e+00	6.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.800000e+00	7.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.000000e+00	7.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.200000e+00	7.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.400000e+00	7.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.600000e+00	7.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.800000e+00	8.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+00	8.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.200000e+00	8.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.400000e+00	8.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.600000e+00	8.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.800000e+00	9.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.000000e+00	9.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.200000e+00	9.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.400000e+00	9.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.600000e+00	9.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.800000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTOGRAM

