# BEGIN PLOT
DrawOnly=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_Tune4C_8TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/Q_SecVertexMass_AllJets
Legend=1
XLabel=$M(Sec.\;Vertex)$
YLabel=Normalized to Unity
LogY=1
NormalizeToSum=1
# END PLOT

# BEGIN HISTOGRAM /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_Tune4C_8TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/Q_SecVertexMass_AllJets
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_Tune4C_8TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/Q_SecVertexMass_AllJets
Title=Ghost Hadron Flavor
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	3.428650e+05	1.309322e+03	1.309322e+03
2.000000e-01	4.000000e-01	3.614000e+04	4.250882e+02	4.250882e+02
4.000000e-01	6.000000e-01	8.200000e+02	6.403124e+01	6.403124e+01
6.000000e-01	8.000000e-01	7.763500e+04	6.230369e+02	6.230369e+02
8.000000e-01	1.000000e+00	1.121250e+05	7.487490e+02	7.487490e+02
1.000000e+00	1.200000e+00	9.458500e+04	6.876954e+02	6.876954e+02
1.200000e+00	1.400000e+00	7.671000e+04	6.193141e+02	6.193141e+02
1.400000e+00	1.600000e+00	5.860500e+04	5.413178e+02	5.413178e+02
1.600000e+00	1.800000e+00	3.209000e+04	4.005621e+02	4.005621e+02
1.800000e+00	2.000000e+00	6.868000e+04	5.860034e+02	5.860034e+02
2.000000e+00	2.200000e+00	7.605000e+03	1.950000e+02	1.950000e+02
2.200000e+00	2.400000e+00	7.585000e+03	1.947434e+02	1.947434e+02
2.400000e+00	2.600000e+00	4.740000e+03	1.539480e+02	1.539480e+02
2.600000e+00	2.800000e+00	2.980000e+03	1.220656e+02	1.220656e+02
2.800000e+00	3.000000e+00	2.135000e+03	1.033199e+02	1.033199e+02
3.000000e+00	3.200000e+00	1.665000e+03	9.124144e+01	9.124144e+01
3.200000e+00	3.400000e+00	1.140000e+03	7.549834e+01	7.549834e+01
3.400000e+00	3.600000e+00	7.600000e+02	6.164414e+01	6.164414e+01
3.600000e+00	3.800000e+00	7.400000e+02	6.082763e+01	6.082763e+01
3.800000e+00	4.000000e+00	6.550000e+02	5.722762e+01	5.722762e+01
4.000000e+00	4.200000e+00	4.950000e+02	4.974937e+01	4.974937e+01
4.200000e+00	4.400000e+00	5.350000e+02	5.172040e+01	5.172040e+01
4.400000e+00	4.600000e+00	4.850000e+02	4.924429e+01	4.924429e+01
4.600000e+00	4.800000e+00	3.900000e+02	4.415880e+01	4.415880e+01
4.800000e+00	5.000000e+00	2.850000e+02	3.774917e+01	3.774917e+01
5.000000e+00	5.200000e+00	2.250000e+02	3.354102e+01	3.354102e+01
5.200000e+00	5.400000e+00	1.950000e+02	3.122499e+01	3.122499e+01
5.400000e+00	5.600000e+00	1.750000e+02	2.958040e+01	2.958040e+01
5.600000e+00	5.800000e+00	1.850000e+02	3.041381e+01	3.041381e+01
5.800000e+00	6.000000e+00	1.500000e+02	2.738613e+01	2.738613e+01
6.000000e+00	6.200000e+00	1.350000e+02	2.598076e+01	2.598076e+01
6.200000e+00	6.400000e+00	1.250000e+02	2.500000e+01	2.500000e+01
6.400000e+00	6.600000e+00	5.500000e+01	1.658312e+01	1.658312e+01
6.600000e+00	6.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.800000e+00	7.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.000000e+00	7.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.200000e+00	7.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.400000e+00	7.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.600000e+00	7.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.800000e+00	8.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+00	8.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.200000e+00	8.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.400000e+00	8.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.600000e+00	8.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.800000e+00	9.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.000000e+00	9.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.200000e+00	9.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.400000e+00	9.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.600000e+00	9.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.800000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTOGRAM

