# BEGIN PLOT
DrawOnly=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_Tune4C_8TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/Q_SecVertexMass_BottomJets
Legend=1
XLabel=$M(Sec.\;Vertex)$
YLabel=Normalized to Unity
LogY=1
NormalizeToSum=1
# END PLOT

# BEGIN HISTOGRAM /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_Tune4C_8TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/Q_SecVertexMass_BottomJets
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_Tune4C_8TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/Q_SecVertexMass_BottomJets
Title=Ghost Hadron Flavor
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	1.567450e+05	8.852824e+02	8.852824e+02
2.000000e-01	4.000000e-01	1.388000e+04	2.634388e+02	2.634388e+02
4.000000e-01	6.000000e-01	3.600000e+02	4.242641e+01	4.242641e+01
6.000000e-01	8.000000e-01	3.190000e+04	3.993745e+02	3.993745e+02
8.000000e-01	1.000000e+00	4.652000e+04	4.822862e+02	4.822862e+02
1.000000e+00	1.200000e+00	3.841500e+04	4.382636e+02	4.382636e+02
1.200000e+00	1.400000e+00	3.138000e+04	3.961060e+02	3.961060e+02
1.400000e+00	1.600000e+00	2.489000e+04	3.527747e+02	3.527747e+02
1.600000e+00	1.800000e+00	1.507000e+04	2.744995e+02	2.744995e+02
1.800000e+00	2.000000e+00	2.494500e+04	3.531643e+02	3.531643e+02
2.000000e+00	2.200000e+00	5.930000e+03	1.721918e+02	1.721918e+02
2.200000e+00	2.400000e+00	5.220000e+03	1.615549e+02	1.615549e+02
2.400000e+00	2.600000e+00	3.570000e+03	1.336039e+02	1.336039e+02
2.600000e+00	2.800000e+00	2.425000e+03	1.101136e+02	1.101136e+02
2.800000e+00	3.000000e+00	1.630000e+03	9.027735e+01	9.027735e+01
3.000000e+00	3.200000e+00	1.055000e+03	7.262920e+01	7.262920e+01
3.200000e+00	3.400000e+00	6.750000e+02	5.809475e+01	5.809475e+01
3.400000e+00	3.600000e+00	3.200000e+02	4.000000e+01	4.000000e+01
3.600000e+00	3.800000e+00	2.850000e+02	3.774917e+01	3.774917e+01
3.800000e+00	4.000000e+00	2.150000e+02	3.278719e+01	3.278719e+01
4.000000e+00	4.200000e+00	1.200000e+02	2.449490e+01	2.449490e+01
4.200000e+00	4.400000e+00	1.200000e+02	2.449490e+01	2.449490e+01
4.400000e+00	4.600000e+00	1.400000e+02	2.645751e+01	2.645751e+01
4.600000e+00	4.800000e+00	8.500000e+01	2.061553e+01	2.061553e+01
4.800000e+00	5.000000e+00	2.500000e+01	1.118034e+01	1.118034e+01
5.000000e+00	5.200000e+00	1.500000e+01	8.660254e+00	8.660254e+00
5.200000e+00	5.400000e+00	5.000000e+01	1.581139e+01	1.581139e+01
5.400000e+00	5.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.600000e+00	5.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.800000e+00	6.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+00	6.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.200000e+00	6.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.400000e+00	6.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.600000e+00	6.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.800000e+00	7.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.000000e+00	7.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.200000e+00	7.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.400000e+00	7.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.600000e+00	7.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.800000e+00	8.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+00	8.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.200000e+00	8.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.400000e+00	8.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.600000e+00	8.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.800000e+00	9.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.000000e+00	9.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.200000e+00	9.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.400000e+00	9.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.600000e+00	9.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.800000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTOGRAM

