# BEGIN PLOT
DrawOnly=/nfs/dust/cms/user/shwillia/BTV/Dec14/QCD_Pt-50to80_Tune4C_8TeV_pythia8/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/R_SecVertexJetDrAllJets
Legend=1
LogY=1
# END PLOT

# BEGIN HISTOGRAM /nfs/dust/cms/user/shwillia/BTV/Dec14/QCD_Pt-50to80_Tune4C_8TeV_pythia8/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/R_SecVertexJetDrAllJets
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=/nfs/dust/cms/user/shwillia/BTV/Dec14/QCD_Pt-50to80_Tune4C_8TeV_pythia8/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/R_SecVertexJetDrAllJets
ScaledBy=3.0095553381987812e-06
Title=MC History Flavor
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	6.512046e+00	1.399941e-02	1.399941e-02
1.000000e-01	2.000000e-01	1.634580e+00	7.013814e-03	7.013814e-03
2.000000e-01	3.000000e-01	7.548567e-01	4.766322e-03	4.766322e-03
3.000000e-01	4.000000e-01	4.204048e-01	3.557009e-03	3.557009e-03
4.000000e-01	5.000000e-01	2.681815e-01	2.840963e-03	2.840963e-03
5.000000e-01	6.000000e-01	1.875856e-01	2.376024e-03	2.376024e-03
6.000000e-01	7.000000e-01	1.016026e-01	1.748653e-03	1.748653e-03
7.000000e-01	8.000000e-01	5.200512e-02	1.251049e-03	1.251049e-03
8.000000e-01	9.000000e-01	2.759762e-02	9.113538e-04	9.113538e-04
9.000000e-01	1.000000e+00	1.580017e-02	6.895757e-04	6.895757e-04
1.000000e+00	1.100000e+00	8.697615e-03	5.116244e-04	5.116244e-04
1.100000e+00	1.200000e+00	5.657964e-03	4.126495e-04	4.126495e-04
1.200000e+00	1.300000e+00	2.889173e-03	2.948750e-04	2.948750e-04
1.300000e+00	1.400000e+00	2.227071e-03	2.588917e-04	2.588917e-04
1.400000e+00	1.500000e+00	1.264013e-03	1.950415e-04	1.950415e-04
1.500000e+00	1.600000e+00	9.329622e-04	1.675649e-04	1.675649e-04
1.600000e+00	1.700000e+00	7.222933e-04	1.474375e-04	1.474375e-04
1.700000e+00	1.800000e+00	4.514333e-04	1.165596e-04	1.165596e-04
1.800000e+00	1.900000e+00	4.213377e-04	1.126072e-04	1.126072e-04
1.900000e+00	2.000000e+00	3.912422e-04	1.085111e-04	1.085111e-04
2.000000e+00	2.100000e+00	2.407644e-04	8.512308e-05	8.512308e-05
2.100000e+00	2.200000e+00	1.805733e-04	7.371875e-05	7.371875e-05
2.200000e+00	2.300000e+00	1.805733e-04	7.371875e-05	7.371875e-05
2.300000e+00	2.400000e+00	1.504778e-04	6.729571e-05	6.729571e-05
2.400000e+00	2.500000e+00	1.504778e-04	6.729570e-05	6.729570e-05
2.500000e+00	2.600000e+00	9.028666e-05	5.212703e-05	5.212703e-05
2.600000e+00	2.700000e+00	3.009555e-05	3.009555e-05	3.009555e-05
2.700000e+00	2.800000e+00	6.019111e-05	4.256154e-05	4.256154e-05
2.800000e+00	2.900000e+00	9.028666e-05	5.212703e-05	5.212703e-05
2.900000e+00	3.000000e+00	1.203822e-04	6.019110e-05	6.019110e-05
3.000000e+00	3.100000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.100000e+00	3.200000e+00	6.019111e-05	4.256154e-05	4.256154e-05
3.200000e+00	3.300000e+00	1.203822e-04	6.019110e-05	6.019110e-05
3.300000e+00	3.400000e+00	6.019111e-05	4.256154e-05	4.256154e-05
3.400000e+00	3.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.500000e+00	3.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.600000e+00	3.700000e+00	9.028666e-05	5.212703e-05	5.212703e-05
3.700000e+00	3.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.800000e+00	3.900000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.900000e+00	4.000000e+00	3.009554e-05	3.009555e-05	3.009555e-05
# END HISTOGRAM

