# BEGIN PLOT
DrawOnly=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_Tune4C_8TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/S_SecVertexPVD_AllJets
Legend=1
XLabel=$d(Sec.\;Vertex,PV)$
YLabel=Normalized to Unity
LogY=1
NormalizeToSum=1
# END PLOT

# BEGIN HISTOGRAM /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_Tune4C_8TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/S_SecVertexPVD_AllJets
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_Tune4C_8TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/S_SecVertexPVD_AllJets
Title=Ghost Hadron Flavor
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+00	5.583600e+04	2.362964e+02	2.362964e+02
1.000000e+00	2.000000e+00	3.048700e+04	1.746053e+02	1.746053e+02
2.000000e+00	3.000000e+00	2.088300e+04	1.445095e+02	1.445095e+02
3.000000e+00	4.000000e+00	1.542900e+04	1.242135e+02	1.242135e+02
4.000000e+00	5.000000e+00	1.176600e+04	1.084712e+02	1.084712e+02
5.000000e+00	6.000000e+00	8.801000e+03	9.381365e+01	9.381365e+01
6.000000e+00	7.000000e+00	7.266000e+03	8.524084e+01	8.524084e+01
7.000000e+00	8.000000e+00	5.849000e+03	7.647876e+01	7.647876e+01
8.000000e+00	9.000000e+00	4.800000e+03	6.928203e+01	6.928203e+01
9.000000e+00	1.000000e+01	4.010000e+03	6.332456e+01	6.332456e+01
1.000000e+01	1.100000e+01	3.258000e+03	5.707889e+01	5.707889e+01
1.100000e+01	1.200000e+01	2.961000e+03	5.441507e+01	5.441507e+01
1.200000e+01	1.300000e+01	2.381000e+03	4.879549e+01	4.879549e+01
1.300000e+01	1.400000e+01	2.057000e+03	4.535416e+01	4.535416e+01
1.400000e+01	1.500000e+01	1.739000e+03	4.170132e+01	4.170132e+01
1.500000e+01	1.600000e+01	1.587000e+03	3.983717e+01	3.983717e+01
1.600000e+01	1.700000e+01	1.295000e+03	3.598611e+01	3.598611e+01
1.700000e+01	1.800000e+01	1.248000e+03	3.532704e+01	3.532704e+01
1.800000e+01	1.900000e+01	9.930000e+02	3.151190e+01	3.151190e+01
1.900000e+01	2.000000e+01	9.000000e+02	3.000000e+01	3.000000e+01
2.000000e+01	2.100000e+01	8.060000e+02	2.839014e+01	2.839014e+01
2.100000e+01	2.200000e+01	7.160000e+02	2.675818e+01	2.675818e+01
2.200000e+01	2.300000e+01	6.630000e+02	2.574879e+01	2.574879e+01
2.300000e+01	2.400000e+01	5.170000e+02	2.273763e+01	2.273763e+01
2.400000e+01	2.500000e+01	4.910000e+02	2.215852e+01	2.215852e+01
2.500000e+01	2.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.600000e+01	2.700000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.700000e+01	2.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.800000e+01	2.900000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.900000e+01	3.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+01	3.100000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.100000e+01	3.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.200000e+01	3.300000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.300000e+01	3.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.400000e+01	3.500000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.500000e+01	3.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.600000e+01	3.700000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.700000e+01	3.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.800000e+01	3.900000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.900000e+01	4.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTOGRAM

