# BEGIN PLOT
DrawOnly=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_Tune4C_8TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/S_SecVertexPVD_BottomJets
Legend=1
XLabel=$d(Sec.\;Vertex,PV)$
YLabel=Normalized to Unity
LogY=1
NormalizeToSum=1
# END PLOT

# BEGIN HISTOGRAM /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_Tune4C_8TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/S_SecVertexPVD_BottomJets
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_Tune4C_8TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/S_SecVertexPVD_BottomJets
Title=Ghost Hadron Flavor
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+00	1.318400e+04	1.148216e+02	1.148216e+02
1.000000e+00	2.000000e+00	1.155600e+04	1.074988e+02	1.074988e+02
2.000000e+00	3.000000e+00	9.568000e+03	9.781615e+01	9.781615e+01
3.000000e+00	4.000000e+00	7.854000e+03	8.862280e+01	8.862280e+01
4.000000e+00	5.000000e+00	6.354000e+03	7.971198e+01	7.971198e+01
5.000000e+00	6.000000e+00	5.073000e+03	7.122500e+01	7.122500e+01
6.000000e+00	7.000000e+00	4.250000e+03	6.519202e+01	6.519202e+01
7.000000e+00	8.000000e+00	3.496000e+03	5.912698e+01	5.912698e+01
8.000000e+00	9.000000e+00	2.915000e+03	5.399074e+01	5.399074e+01
9.000000e+00	1.000000e+01	2.556000e+03	5.055690e+01	5.055690e+01
1.000000e+01	1.100000e+01	2.114000e+03	4.597826e+01	4.597826e+01
1.100000e+01	1.200000e+01	1.914000e+03	4.374929e+01	4.374929e+01
1.200000e+01	1.300000e+01	1.554000e+03	3.942081e+01	3.942081e+01
1.300000e+01	1.400000e+01	1.323000e+03	3.637307e+01	3.637307e+01
1.400000e+01	1.500000e+01	1.135000e+03	3.368976e+01	3.368976e+01
1.500000e+01	1.600000e+01	1.053000e+03	3.244996e+01	3.244996e+01
1.600000e+01	1.700000e+01	8.800000e+02	2.966479e+01	2.966479e+01
1.700000e+01	1.800000e+01	8.620000e+02	2.935984e+01	2.935984e+01
1.800000e+01	1.900000e+01	6.940000e+02	2.634388e+01	2.634388e+01
1.900000e+01	2.000000e+01	6.040000e+02	2.457641e+01	2.457641e+01
2.000000e+01	2.100000e+01	5.600000e+02	2.366432e+01	2.366432e+01
2.100000e+01	2.200000e+01	5.030000e+02	2.242766e+01	2.242766e+01
2.200000e+01	2.300000e+01	4.830000e+02	2.197726e+01	2.197726e+01
2.300000e+01	2.400000e+01	3.690000e+02	1.920937e+01	1.920937e+01
2.400000e+01	2.500000e+01	3.430000e+02	1.852026e+01	1.852026e+01
2.500000e+01	2.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.600000e+01	2.700000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.700000e+01	2.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.800000e+01	2.900000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.900000e+01	3.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+01	3.100000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.100000e+01	3.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.200000e+01	3.300000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.300000e+01	3.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.400000e+01	3.500000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.500000e+01	3.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.600000e+01	3.700000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.700000e+01	3.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.800000e+01	3.900000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.900000e+01	4.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTOGRAM

