# BEGIN PLOT
DrawOnly=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_Tune4C_8TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/S_SecVertexPVD_LightJets
Legend=1
XLabel=$d(Sec.\;Vertex,PV)$
YLabel=Normalized to Unity
LogY=1
NormalizeToSum=1
# END PLOT

# BEGIN HISTOGRAM /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_Tune4C_8TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/S_SecVertexPVD_LightJets
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_Tune4C_8TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/S_SecVertexPVD_LightJets
Title=Ghost Hadron Flavor
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+00	3.936000e+03	6.273755e+01	6.273755e+01
1.000000e+00	2.000000e+00	3.560000e+02	1.886796e+01	1.886796e+01
2.000000e+00	3.000000e+00	2.800000e+02	1.673320e+01	1.673320e+01
3.000000e+00	4.000000e+00	2.060000e+02	1.435270e+01	1.435270e+01
4.000000e+00	5.000000e+00	1.840000e+02	1.356466e+01	1.356466e+01
5.000000e+00	6.000000e+00	1.280000e+02	1.131371e+01	1.131371e+01
6.000000e+00	7.000000e+00	8.900000e+01	9.433981e+00	9.433981e+00
7.000000e+00	8.000000e+00	6.800000e+01	8.246211e+00	8.246211e+00
8.000000e+00	9.000000e+00	6.200000e+01	7.874008e+00	7.874008e+00
9.000000e+00	1.000000e+01	4.600000e+01	6.782330e+00	6.782330e+00
1.000000e+01	1.100000e+01	2.800000e+01	5.291503e+00	5.291503e+00
1.100000e+01	1.200000e+01	2.500000e+01	5.000000e+00	5.000000e+00
1.200000e+01	1.300000e+01	1.200000e+01	3.464102e+00	3.464102e+00
1.300000e+01	1.400000e+01	1.800000e+01	4.242641e+00	4.242641e+00
1.400000e+01	1.500000e+01	1.400000e+01	3.741657e+00	3.741657e+00
1.500000e+01	1.600000e+01	1.000000e+01	3.162278e+00	3.162278e+00
1.600000e+01	1.700000e+01	4.000000e+00	2.000000e+00	2.000000e+00
1.700000e+01	1.800000e+01	5.000000e+00	2.236068e+00	2.236068e+00
1.800000e+01	1.900000e+01	2.000000e+00	1.414214e+00	1.414214e+00
1.900000e+01	2.000000e+01	1.000000e+00	1.000000e+00	1.000000e+00
2.000000e+01	2.100000e+01	4.000000e+00	2.000000e+00	2.000000e+00
2.100000e+01	2.200000e+01	2.000000e+00	1.414214e+00	1.414214e+00
2.200000e+01	2.300000e+01	2.000000e+00	1.414214e+00	1.414214e+00
2.300000e+01	2.400000e+01	2.000000e+00	1.414214e+00	1.414214e+00
2.400000e+01	2.500000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.500000e+01	2.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.600000e+01	2.700000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.700000e+01	2.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.800000e+01	2.900000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.900000e+01	3.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+01	3.100000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.100000e+01	3.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.200000e+01	3.300000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.300000e+01	3.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.400000e+01	3.500000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.500000e+01	3.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.600000e+01	3.700000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.700000e+01	3.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.800000e+01	3.900000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.900000e+01	4.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTOGRAM

