# BEGIN PLOT
DrawOnly=/nfs/dust/cms/user/shwillia/BTV/Dec14/QCD_Pt-50to80_Tune4C_8TeV_pythia8/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/T_MuonJetDr_AllJets
Legend=1
LogY=1
# END PLOT

# BEGIN HISTOGRAM /nfs/dust/cms/user/shwillia/BTV/Dec14/QCD_Pt-50to80_Tune4C_8TeV_pythia8/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/T_MuonJetDr_AllJets
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=/nfs/dust/cms/user/shwillia/BTV/Dec14/QCD_Pt-50to80_Tune4C_8TeV_pythia8/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/T_MuonJetDr_AllJets
ScaledBy=3.8825904643578196e-05
Title=MC History Flavor
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-02	8.891132e-01	5.875425e-02	5.875425e-02
1.000000e-02	2.000000e-02	2.562510e+00	9.974556e-02	9.974556e-02
2.000000e-02	3.000000e-02	3.839882e+00	1.221011e-01	1.221011e-01
3.000000e-02	4.000000e-02	4.565926e+00	1.331451e-01	1.331451e-01
4.000000e-02	5.000000e-02	4.872651e+00	1.375446e-01	1.375446e-01
5.000000e-02	6.000000e-02	4.752291e+00	1.358352e-01	1.358352e-01
6.000000e-02	7.000000e-02	4.833825e+00	1.369955e-01	1.369955e-01
7.000000e-02	8.000000e-02	4.558161e+00	1.330318e-01	1.330318e-01
8.000000e-02	9.000000e-02	4.232024e+00	1.281843e-01	1.281843e-01
9.000000e-02	1.000000e-01	4.216493e+00	1.279489e-01	1.279489e-01
1.000000e-01	1.100000e-01	4.100016e+00	1.261693e-01	1.261693e-01
1.100000e-01	1.200000e-01	3.777761e+00	1.211095e-01	1.211095e-01
1.200000e-01	1.300000e-01	3.606927e+00	1.183394e-01	1.183394e-01
1.300000e-01	1.400000e-01	3.199255e+00	1.114513e-01	1.114513e-01
1.400000e-01	1.500000e-01	3.078894e+00	1.093348e-01	1.093348e-01
1.500000e-01	1.600000e-01	2.970182e+00	1.073872e-01	1.073872e-01
1.600000e-01	1.700000e-01	2.663457e+00	1.016912e-01	1.016912e-01
1.700000e-01	1.800000e-01	2.601336e+00	1.004984e-01	1.004984e-01
1.800000e-01	1.900000e-01	2.593570e+00	1.003482e-01	1.003482e-01
1.900000e-01	2.000000e-01	2.150955e+00	9.138533e-02	9.138533e-02
2.000000e-01	2.100000e-01	1.894704e+00	8.576923e-02	8.576923e-02
2.100000e-01	2.200000e-01	1.871409e+00	8.524032e-02	8.524032e-02
2.200000e-01	2.300000e-01	1.813170e+00	8.390349e-02	8.390349e-02
2.300000e-01	2.400000e-01	1.657866e+00	8.022976e-02	8.022976e-02
2.400000e-01	2.500000e-01	1.572449e+00	7.813563e-02	7.813563e-02
2.500000e-01	2.600000e-01	1.518093e+00	7.677326e-02	7.677326e-02
2.600000e-01	2.700000e-01	1.405498e+00	7.387132e-02	7.387132e-02
2.700000e-01	2.800000e-01	1.308433e+00	7.127488e-02	7.127488e-02
2.800000e-01	2.900000e-01	1.327846e+00	7.180169e-02	7.180169e-02
2.900000e-01	3.000000e-01	1.199720e+00	6.824971e-02	6.824971e-02
3.000000e-01	3.100000e-01	1.211368e+00	6.858022e-02	6.858022e-02
3.100000e-01	3.200000e-01	1.168660e+00	6.736043e-02	6.736043e-02
3.200000e-01	3.300000e-01	1.032769e+00	6.332313e-02	6.332313e-02
3.300000e-01	3.400000e-01	1.044417e+00	6.367922e-02	6.367922e-02
3.400000e-01	3.500000e-01	8.114614e-01	5.612996e-02	5.612996e-02
3.500000e-01	3.600000e-01	9.512347e-01	6.077216e-02	6.077216e-02
3.600000e-01	3.700000e-01	8.347569e-01	5.692995e-02	5.692995e-02
3.700000e-01	3.800000e-01	8.464047e-01	5.732576e-02	5.732576e-02
3.800000e-01	3.900000e-01	7.532225e-01	5.407823e-02	5.407823e-02
3.900000e-01	4.000000e-01	7.182793e-01	5.280894e-02	5.280894e-02
4.000000e-01	4.100000e-01	7.338096e-01	5.337679e-02	5.337679e-02
4.100000e-01	4.200000e-01	5.746234e-01	4.723375e-02	4.723375e-02
4.200000e-01	4.300000e-01	6.794533e-01	5.136184e-02	5.136184e-02
4.300000e-01	4.400000e-01	5.707408e-01	4.707391e-02	4.707391e-02
4.400000e-01	4.500000e-01	5.241497e-01	4.511163e-02	4.511163e-02
4.500000e-01	4.600000e-01	4.930890e-01	4.375458e-02	4.375458e-02
4.600000e-01	4.700000e-01	4.076720e-01	3.978471e-02	3.978471e-02
4.700000e-01	4.800000e-01	3.028421e-01	3.429012e-02	3.429012e-02
4.800000e-01	4.900000e-01	3.494331e-01	3.683349e-02	3.683349e-02
4.900000e-01	5.000000e-01	3.571983e-01	3.724050e-02	3.724050e-02
5.000000e-01	5.100000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.100000e-01	5.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.200000e-01	5.300000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.300000e-01	5.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.400000e-01	5.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.500000e-01	5.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.600000e-01	5.700000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.700000e-01	5.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.800000e-01	5.900000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.900000e-01	6.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e-01	6.100000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.100000e-01	6.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.200000e-01	6.300000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.300000e-01	6.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.400000e-01	6.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.500000e-01	6.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.600000e-01	6.700000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.700000e-01	6.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.800000e-01	6.900000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.900000e-01	7.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTOGRAM

