# BEGIN PLOT
DrawOnly=/nfs/dust/cms/user/shwillia/BTV/Dec14/QCD_Pt-50to80_Tune4C_8TeV_pythia8/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/T_MuonJetDr_BottomJets
Legend=1
LogY=1
# END PLOT

# BEGIN HISTOGRAM /nfs/dust/cms/user/shwillia/BTV/Dec14/QCD_Pt-50to80_Tune4C_8TeV_pythia8/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/T_MuonJetDr_BottomJets
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=/nfs/dust/cms/user/shwillia/BTV/Dec14/QCD_Pt-50to80_Tune4C_8TeV_pythia8/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/T_MuonJetDr_BottomJets
ScaledBy=7.9573486114426672e-05
Title=MC History Flavor
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-02	5.410997e-01	6.561798e-02	6.561798e-02
1.000000e-02	2.000000e-02	1.933636e+00	1.240428e-01	1.240428e-01
2.000000e-02	3.000000e-02	3.015835e+00	1.549130e-01	1.549130e-01
3.000000e-02	4.000000e-02	3.875229e+00	1.756034e-01	1.756034e-01
4.000000e-02	5.000000e-02	4.583433e+00	1.909764e-01	1.909764e-01
5.000000e-02	6.000000e-02	4.384499e+00	1.867859e-01	1.867859e-01
6.000000e-02	7.000000e-02	4.543646e+00	1.901457e-01	1.901457e-01
7.000000e-02	8.000000e-02	4.424286e+00	1.876315e-01	1.876315e-01
8.000000e-02	9.000000e-02	4.607305e+00	1.914731e-01	1.914731e-01
9.000000e-02	1.000000e-01	4.121907e+00	1.811062e-01	1.811062e-01
1.000000e-01	1.100000e-01	4.153736e+00	1.818041e-01	1.818041e-01
1.100000e-01	1.200000e-01	3.819527e+00	1.743368e-01	1.743368e-01
1.200000e-01	1.300000e-01	3.867271e+00	1.754230e-01	1.754230e-01
1.300000e-01	1.400000e-01	3.477361e+00	1.663448e-01	1.663448e-01
1.400000e-01	1.500000e-01	3.270470e+00	1.613204e-01	1.613204e-01
1.500000e-01	1.600000e-01	3.167025e+00	1.587486e-01	1.587486e-01
1.600000e-01	1.700000e-01	2.824859e+00	1.499279e-01	1.499279e-01
1.700000e-01	1.800000e-01	2.808944e+00	1.495050e-01	1.495050e-01
1.800000e-01	1.900000e-01	2.976048e+00	1.538878e-01	1.538878e-01
1.900000e-01	2.000000e-01	2.347418e+00	1.366719e-01	1.366719e-01
2.000000e-01	2.100000e-01	2.243972e+00	1.336266e-01	1.336266e-01
2.100000e-01	2.200000e-01	2.100740e+00	1.292916e-01	1.292916e-01
2.200000e-01	2.300000e-01	1.941593e+00	1.242977e-01	1.242977e-01
2.300000e-01	2.400000e-01	1.726745e+00	1.172191e-01	1.172191e-01
2.400000e-01	2.500000e-01	1.623299e+00	1.136537e-01	1.136537e-01
2.500000e-01	2.600000e-01	1.694915e+00	1.161337e-01	1.161337e-01
2.600000e-01	2.700000e-01	1.551683e+00	1.111183e-01	1.111183e-01
2.700000e-01	2.800000e-01	1.448237e+00	1.073505e-01	1.073505e-01
2.800000e-01	2.900000e-01	1.257261e+00	1.000223e-01	1.000223e-01
2.900000e-01	3.000000e-01	1.257261e+00	1.000223e-01	1.000223e-01
3.000000e-01	3.100000e-01	1.193602e+00	9.745722e-02	9.745722e-02
3.100000e-01	3.200000e-01	1.305005e+00	1.019038e-01	1.019038e-01
3.200000e-01	3.300000e-01	1.050370e+00	9.142298e-02	9.142298e-02
3.300000e-01	3.400000e-01	1.002626e+00	8.932102e-02	8.932102e-02
3.400000e-01	3.500000e-01	8.673510e-01	8.307716e-02	8.307716e-02
3.500000e-01	3.600000e-01	1.050370e+00	9.142297e-02	9.142297e-02
3.600000e-01	3.700000e-01	8.116495e-01	8.036528e-02	8.036528e-02
3.700000e-01	3.800000e-01	9.548818e-01	8.716839e-02	8.716839e-02
3.800000e-01	3.900000e-01	7.639055e-01	7.796577e-02	7.796577e-02
3.900000e-01	4.000000e-01	7.718628e-01	7.837079e-02	7.837079e-02
4.000000e-01	4.100000e-01	7.241187e-01	7.590827e-02	7.590827e-02
4.100000e-01	4.200000e-01	5.729291e-01	6.752035e-02	6.752035e-02
4.200000e-01	4.300000e-01	6.047585e-01	6.937056e-02	6.937056e-02
4.300000e-01	4.400000e-01	5.410997e-01	6.561798e-02	6.561798e-02
4.400000e-01	4.500000e-01	5.013129e-01	6.315950e-02	6.315950e-02
4.500000e-01	4.600000e-01	4.933556e-01	6.265623e-02	6.265623e-02
4.600000e-01	4.700000e-01	3.819527e-01	5.513013e-02	5.513013e-02
4.700000e-01	4.800000e-01	2.466778e-01	4.430464e-02	4.430464e-02
4.800000e-01	4.900000e-01	3.182939e-01	5.032669e-02	5.032669e-02
4.900000e-01	5.000000e-01	2.546351e-01	4.501356e-02	4.501356e-02
5.000000e-01	5.100000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.100000e-01	5.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.200000e-01	5.300000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.300000e-01	5.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.400000e-01	5.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.500000e-01	5.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.600000e-01	5.700000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.700000e-01	5.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.800000e-01	5.900000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.900000e-01	6.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e-01	6.100000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.100000e-01	6.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.200000e-01	6.300000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.300000e-01	6.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.400000e-01	6.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.500000e-01	6.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.600000e-01	6.700000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.700000e-01	6.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.800000e-01	6.900000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.900000e-01	7.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTOGRAM

