# BEGIN PLOT
DrawOnly=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_Tune4C_8TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/U_MuonJetDr_CharmJets
Legend=1
XLabel=$\Delta R(Muon,Jet)$
YLabel=Normalized to Unity
LogY=1
NormalizeToSum=1
# END PLOT

# BEGIN HISTOGRAM /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_Tune4C_8TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/U_MuonJetDr_CharmJets
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia8_QCD_Pt-50to80_Tune4C_8TeV/BTAG_JET_TRACK_SEL.yoda/BTAG_JET_TRACK_SEL/U_MuonJetDr_CharmJets
Rebin=2
Title=Ghost Hadron Flavor
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-02	1.560000e+04	1.249000e+03	1.249000e+03
1.000000e-02	2.000000e-02	4.070000e+04	2.017424e+03	2.017424e+03
2.000000e-02	3.000000e-02	5.900000e+04	2.428992e+03	2.428992e+03
3.000000e-02	4.000000e-02	6.720000e+04	2.592296e+03	2.592296e+03
4.000000e-02	5.000000e-02	6.450000e+04	2.539685e+03	2.539685e+03
5.000000e-02	6.000000e-02	6.480000e+04	2.545584e+03	2.545584e+03
6.000000e-02	7.000000e-02	6.550000e+04	2.559297e+03	2.559297e+03
7.000000e-02	8.000000e-02	5.960000e+04	2.441311e+03	2.441311e+03
8.000000e-02	9.000000e-02	5.000000e+04	2.236068e+03	2.236068e+03
9.000000e-02	1.000000e-01	5.560000e+04	2.357965e+03	2.357965e+03
1.000000e-01	1.100000e-01	5.170000e+04	2.273763e+03	2.273763e+03
1.100000e-01	1.200000e-01	4.660000e+04	2.158703e+03	2.158703e+03
1.200000e-01	1.300000e-01	4.290000e+04	2.071232e+03	2.071232e+03
1.300000e-01	1.400000e-01	3.660000e+04	1.913113e+03	1.913113e+03
1.400000e-01	1.500000e-01	3.640000e+04	1.907878e+03	1.907878e+03
1.500000e-01	1.600000e-01	3.510000e+04	1.873499e+03	1.873499e+03
1.600000e-01	1.700000e-01	3.100000e+04	1.760682e+03	1.760682e+03
1.700000e-01	1.800000e-01	2.960000e+04	1.720465e+03	1.720465e+03
1.800000e-01	1.900000e-01	2.780000e+04	1.667333e+03	1.667333e+03
1.900000e-01	2.000000e-01	2.470000e+04	1.571623e+03	1.571623e+03
2.000000e-01	2.100000e-01	1.920000e+04	1.385641e+03	1.385641e+03
2.100000e-01	2.200000e-01	2.050000e+04	1.431782e+03	1.431782e+03
2.200000e-01	2.300000e-01	2.010000e+04	1.417745e+03	1.417745e+03
2.300000e-01	2.400000e-01	2.040000e+04	1.428286e+03	1.428286e+03
2.400000e-01	2.500000e-01	1.890000e+04	1.374773e+03	1.374773e+03
2.500000e-01	2.600000e-01	1.750000e+04	1.322876e+03	1.322876e+03
2.600000e-01	2.700000e-01	1.580000e+04	1.256981e+03	1.256981e+03
2.700000e-01	2.800000e-01	1.490000e+04	1.220656e+03	1.220656e+03
2.800000e-01	2.900000e-01	1.720000e+04	1.311488e+03	1.311488e+03
2.900000e-01	3.000000e-01	1.400000e+04	1.183216e+03	1.183216e+03
3.000000e-01	3.100000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.100000e-01	3.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.200000e-01	3.300000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.300000e-01	3.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.400000e-01	3.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.500000e-01	3.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.600000e-01	3.700000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.700000e-01	3.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.800000e-01	3.900000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.900000e-01	4.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e-01	4.100000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.100000e-01	4.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.200000e-01	4.300000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.300000e-01	4.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.400000e-01	4.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.500000e-01	4.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.600000e-01	4.700000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.700000e-01	4.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e-01	4.900000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.900000e-01	5.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.000000e-01	5.100000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.100000e-01	5.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.200000e-01	5.300000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.300000e-01	5.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.400000e-01	5.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.500000e-01	5.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.600000e-01	5.700000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.700000e-01	5.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.800000e-01	5.900000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.900000e-01	6.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e-01	6.100000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.100000e-01	6.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.200000e-01	6.300000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.300000e-01	6.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.400000e-01	6.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.500000e-01	6.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.600000e-01	6.700000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.700000e-01	6.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.800000e-01	6.900000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.900000e-01	7.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTOGRAM

