# BEGIN PLOT
DrawOnly=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV.yoda/BTAG_JET_TRACK_SEL/B_NParticles_LightJets
Legend=1
LogY=1
# END PLOT

# BEGIN HISTOGRAM /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV.yoda/BTAG_JET_TRACK_SEL/B_NParticles_LightJets
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV.yoda/BTAG_JET_TRACK_SEL/B_NParticles_LightJets
Title=MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e+00	1.900000e+01	3.082207e+00	3.082207e+00
2.000000e+00	4.000000e+00	2.090000e+02	1.022252e+01	1.022252e+01
4.000000e+00	6.000000e+00	1.115000e+03	2.361144e+01	2.361144e+01
6.000000e+00	8.000000e+00	3.667000e+03	4.281939e+01	4.281939e+01
8.000000e+00	1.000000e+01	8.831500e+03	6.645111e+01	6.645111e+01
1.000000e+01	1.200000e+01	1.638600e+04	9.051519e+01	9.051519e+01
1.200000e+01	1.400000e+01	2.584450e+04	1.136761e+02	1.136761e+02
1.400000e+01	1.600000e+01	3.495350e+04	1.321997e+02	1.321997e+02
1.600000e+01	1.800000e+01	4.152650e+04	1.440946e+02	1.440946e+02
1.800000e+01	2.000000e+01	4.541000e+04	1.506818e+02	1.506818e+02
2.000000e+01	2.200000e+01	4.542500e+04	1.507067e+02	1.507067e+02
2.200000e+01	2.400000e+01	4.191900e+04	1.447740e+02	1.447740e+02
2.400000e+01	2.600000e+01	3.668100e+04	1.354271e+02	1.354271e+02
2.600000e+01	2.800000e+01	3.045100e+04	1.233917e+02	1.233917e+02
2.800000e+01	3.000000e+01	2.400300e+04	1.095514e+02	1.095514e+02
3.000000e+01	3.200000e+01	1.809700e+04	9.512360e+01	9.512360e+01
3.200000e+01	3.400000e+01	1.308400e+04	8.088263e+01	8.088263e+01
3.400000e+01	3.600000e+01	9.268000e+03	6.807349e+01	6.807349e+01
3.600000e+01	3.800000e+01	6.228500e+03	5.580547e+01	5.580547e+01
3.800000e+01	4.000000e+01	4.119000e+03	4.538171e+01	4.538171e+01
4.000000e+01	4.200000e+01	2.713000e+03	3.683069e+01	3.683069e+01
4.200000e+01	4.400000e+01	1.688000e+03	2.905168e+01	2.905168e+01
4.400000e+01	4.600000e+01	1.033000e+03	2.272664e+01	2.272664e+01
4.600000e+01	4.800000e+01	6.435000e+02	1.793739e+01	1.793739e+01
4.800000e+01	5.000000e+01	3.845000e+02	1.386542e+01	1.386542e+01
5.000000e+01	5.200000e+01	2.410000e+02	1.097725e+01	1.097725e+01
5.200000e+01	5.400000e+01	1.375000e+02	8.291562e+00	8.291562e+00
5.400000e+01	5.600000e+01	7.750000e+01	6.224950e+00	6.224950e+00
5.600000e+01	5.800000e+01	3.750000e+01	4.330127e+00	4.330127e+00
5.800000e+01	6.000000e+01	2.250000e+01	3.354102e+00	3.354102e+00
6.000000e+01	6.200000e+01	9.000000e+00	2.121320e+00	2.121320e+00
6.200000e+01	6.400000e+01	8.000000e+00	2.000000e+00	2.000000e+00
6.400000e+01	6.600000e+01	2.500000e+00	1.118034e+00	1.118034e+00
6.600000e+01	6.800000e+01	1.000000e+00	7.071068e-01	7.071068e-01
6.800000e+01	7.000000e+01	1.000000e+00	7.071068e-01	7.071068e-01
7.000000e+01	7.200000e+01	5.000000e-01	5.000000e-01	5.000000e-01
7.200000e+01	7.400000e+01	1.500000e+00	8.660254e-01	8.660254e-01
7.400000e+01	7.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
7.600000e+01	7.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
7.800000e+01	8.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+01	8.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.200000e+01	8.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.400000e+01	8.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.600000e+01	8.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.800000e+01	9.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
9.000000e+01	9.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
9.200000e+01	9.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00
9.400000e+01	9.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
9.600000e+01	9.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
9.800000e+01	1.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTOGRAM

