# BEGIN PLOT
DrawOnly=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV.yoda/BTAG_JET_TRACK_SEL/C_NChargedParticles_CharmJets
Legend=1
LogY=1
# END PLOT

# BEGIN HISTOGRAM /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV.yoda/BTAG_JET_TRACK_SEL/C_NChargedParticles_CharmJets
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV.yoda/BTAG_JET_TRACK_SEL/C_NChargedParticles_CharmJets
Title=MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+00	1.726400e+04	1.313925e+02	1.313925e+02
1.000000e+00	2.000000e+00	1.067800e+04	1.033344e+02	1.033344e+02
2.000000e+00	3.000000e+00	2.186800e+04	1.478783e+02	1.478783e+02
3.000000e+00	4.000000e+00	3.622000e+04	1.903155e+02	1.903155e+02
4.000000e+00	5.000000e+00	3.970800e+04	1.992687e+02	1.992687e+02
5.000000e+00	6.000000e+00	3.530100e+04	1.878856e+02	1.878856e+02
6.000000e+00	7.000000e+00	2.596300e+04	1.611304e+02	1.611304e+02
7.000000e+00	8.000000e+00	1.703200e+04	1.305067e+02	1.305067e+02
8.000000e+00	9.000000e+00	1.023800e+04	1.011830e+02	1.011830e+02
9.000000e+00	1.000000e+01	5.726000e+03	7.567034e+01	7.567034e+01
1.000000e+01	1.100000e+01	2.991000e+03	5.469004e+01	5.469004e+01
1.100000e+01	1.200000e+01	1.486000e+03	3.854867e+01	3.854867e+01
1.200000e+01	1.300000e+01	7.220000e+02	2.687006e+01	2.687006e+01
1.300000e+01	1.400000e+01	3.500000e+02	1.870829e+01	1.870829e+01
1.400000e+01	1.500000e+01	1.510000e+02	1.228821e+01	1.228821e+01
1.500000e+01	1.600000e+01	7.200000e+01	8.485281e+00	8.485281e+00
1.600000e+01	1.700000e+01	2.300000e+01	4.795832e+00	4.795832e+00
1.700000e+01	1.800000e+01	1.100000e+01	3.316625e+00	3.316625e+00
1.800000e+01	1.900000e+01	1.000000e+00	1.000000e+00	1.000000e+00
1.900000e+01	2.000000e+01	6.000000e+00	2.449490e+00	2.449490e+00
2.000000e+01	2.100000e+01	4.000000e+00	2.000000e+00	2.000000e+00
2.100000e+01	2.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.200000e+01	2.300000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.300000e+01	2.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.400000e+01	2.500000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.500000e+01	2.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.600000e+01	2.700000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.700000e+01	2.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.800000e+01	2.900000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.900000e+01	3.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+01	3.100000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.100000e+01	3.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.200000e+01	3.300000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.300000e+01	3.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.400000e+01	3.500000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.500000e+01	3.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.600000e+01	3.700000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.700000e+01	3.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.800000e+01	3.900000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.900000e+01	4.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+01	4.100000e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.100000e+01	4.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.200000e+01	4.300000e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.300000e+01	4.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.400000e+01	4.500000e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.500000e+01	4.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.600000e+01	4.700000e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.700000e+01	4.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e+01	4.900000e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.900000e+01	5.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTOGRAM

