# BEGIN PLOT
DrawOnly=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV.yoda/BTAG_JET_TRACK_SEL/E_ChargedParticlePtUncut_AllJets
Legend=1
LogY=1
# END PLOT

# BEGIN HISTOGRAM /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV.yoda/BTAG_JET_TRACK_SEL/E_ChargedParticlePtUncut_AllJets
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV.yoda/BTAG_JET_TRACK_SEL/E_ChargedParticlePtUncut_AllJets
Title=MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e-01	1.228128e+06	1.567245e+03	1.567245e+03
5.000000e-01	1.000000e+00	1.719564e+06	1.854489e+03	1.854489e+03
1.000000e+00	1.500000e+00	1.611572e+06	1.795312e+03	1.795312e+03
1.500000e+00	2.000000e+00	1.402178e+06	1.674621e+03	1.674621e+03
2.000000e+00	2.500000e+00	1.181774e+06	1.537383e+03	1.537383e+03
2.500000e+00	3.000000e+00	9.777200e+05	1.398370e+03	1.398370e+03
3.000000e+00	3.500000e+00	8.079980e+05	1.271218e+03	1.271218e+03
3.500000e+00	4.000000e+00	6.720760e+05	1.159376e+03	1.159376e+03
4.000000e+00	4.500000e+00	5.587440e+05	1.057113e+03	1.057113e+03
4.500000e+00	5.000000e+00	4.704320e+05	9.699814e+02	9.699814e+02
5.000000e+00	5.500000e+00	4.344120e+05	9.321073e+02	9.321073e+02
5.500000e+00	6.000000e+00	3.714320e+05	8.618956e+02	8.618956e+02
6.000000e+00	6.500000e+00	3.172440e+05	7.965476e+02	7.965476e+02
6.500000e+00	7.000000e+00	2.748180e+05	7.413744e+02	7.413744e+02
7.000000e+00	7.500000e+00	2.386200e+05	6.908256e+02	6.908256e+02
7.500000e+00	8.000000e+00	2.089340e+05	6.464271e+02	6.464271e+02
8.000000e+00	8.500000e+00	1.842120e+05	6.069794e+02	6.069794e+02
8.500000e+00	9.000000e+00	1.617020e+05	5.686862e+02	5.686862e+02
9.000000e+00	9.500000e+00	1.425300e+05	5.339101e+02	5.339101e+02
9.500000e+00	1.000000e+01	1.268400e+05	5.036666e+02	5.036666e+02
# END HISTOGRAM

