# BEGIN PLOT
DrawOnly=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV.yoda/BTAG_JET_TRACK_SEL/E_ChargedParticlePtUncut_CharmJets
Legend=1
LogY=1
# END PLOT

# BEGIN HISTOGRAM /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV.yoda/BTAG_JET_TRACK_SEL/E_ChargedParticlePtUncut_CharmJets
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV.yoda/BTAG_JET_TRACK_SEL/E_ChargedParticlePtUncut_CharmJets
Title=MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e-01	2.014820e+05	6.347945e+02	6.347945e+02
5.000000e-01	1.000000e+00	2.674100e+05	7.313139e+02	7.313139e+02
1.000000e+00	1.500000e+00	2.459540e+05	7.013615e+02	7.013615e+02
1.500000e+00	2.000000e+00	2.127340e+05	6.522791e+02	6.522791e+02
2.000000e+00	2.500000e+00	1.802500e+05	6.004165e+02	6.004165e+02
2.500000e+00	3.000000e+00	1.499160e+05	5.475692e+02	5.475692e+02
3.000000e+00	3.500000e+00	1.234240e+05	4.968380e+02	4.968380e+02
3.500000e+00	4.000000e+00	1.033640e+05	4.546735e+02	4.546735e+02
4.000000e+00	4.500000e+00	8.601400e+04	4.147626e+02	4.147626e+02
4.500000e+00	5.000000e+00	7.263000e+04	3.811299e+02	3.811299e+02
5.000000e+00	5.500000e+00	8.279600e+04	4.069300e+02	4.069300e+02
5.500000e+00	6.000000e+00	7.166200e+04	3.785816e+02	3.785816e+02
6.000000e+00	6.500000e+00	6.177600e+04	3.514996e+02	3.514996e+02
6.500000e+00	7.000000e+00	5.494400e+04	3.314936e+02	3.314936e+02
7.000000e+00	7.500000e+00	4.872600e+04	3.121730e+02	3.121730e+02
7.500000e+00	8.000000e+00	4.336200e+04	2.944894e+02	2.944894e+02
8.000000e+00	8.500000e+00	3.841000e+04	2.771642e+02	2.771642e+02
8.500000e+00	9.000000e+00	3.428600e+04	2.618626e+02	2.618626e+02
9.000000e+00	9.500000e+00	3.057000e+04	2.472650e+02	2.472650e+02
9.500000e+00	1.000000e+01	2.757800e+04	2.348531e+02	2.348531e+02
# END HISTOGRAM

