# BEGIN PLOT
DrawOnly=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV.yoda/BTAG_JET_TRACK_SEL/F_ChargedParticlePtRel_AllJets
Legend=1
LogY=1
# END PLOT

# BEGIN HISTOGRAM /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV.yoda/BTAG_JET_TRACK_SEL/F_ChargedParticlePtRel_AllJets
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV.yoda/BTAG_JET_TRACK_SEL/F_ChargedParticlePtRel_AllJets
Title=MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-03	6.000000e+03	2.449490e+03	2.449490e+03
1.000000e-03	2.000000e-03	3.787000e+06	6.153861e+04	6.153861e+04
2.000000e-03	3.000000e-03	7.694200e+07	2.773842e+05	2.773842e+05
3.000000e-03	4.000000e-03	2.294720e+08	4.790324e+05	4.790324e+05
4.000000e-03	5.000000e-03	3.079440e+08	5.549270e+05	5.549270e+05
5.000000e-03	6.000000e-03	3.213050e+08	5.668377e+05	5.668377e+05
6.000000e-03	7.000000e-03	3.230970e+08	5.684162e+05	5.684162e+05
7.000000e-03	8.000000e-03	3.217090e+08	5.671940e+05	5.671940e+05
8.000000e-03	9.000000e-03	3.181920e+08	5.640851e+05	5.640851e+05
9.000000e-03	1.000000e-02	3.131960e+08	5.596392e+05	5.596392e+05
1.000000e-02	1.100000e-02	3.075240e+08	5.545485e+05	5.545485e+05
1.100000e-02	1.200000e-02	3.015240e+08	5.491120e+05	5.491120e+05
1.200000e-02	1.300000e-02	2.940080e+08	5.422250e+05	5.422250e+05
1.300000e-02	1.400000e-02	2.819780e+08	5.310160e+05	5.310160e+05
1.400000e-02	1.500000e-02	2.628990e+08	5.127368e+05	5.127368e+05
1.500000e-02	1.600000e-02	2.425400e+08	4.924835e+05	4.924835e+05
1.600000e-02	1.700000e-02	2.170960e+08	4.659356e+05	4.659356e+05
1.700000e-02	1.800000e-02	1.933500e+08	4.397158e+05	4.397158e+05
1.800000e-02	1.900000e-02	1.691480e+08	4.112761e+05	4.112761e+05
1.900000e-02	2.000000e-02	1.460700e+08	3.821911e+05	3.821911e+05
2.000000e-02	2.100000e-02	1.248980e+08	3.534091e+05	3.534091e+05
2.100000e-02	2.200000e-02	1.057510e+08	3.251938e+05	3.251938e+05
2.200000e-02	2.300000e-02	9.159800e+07	3.026516e+05	3.026516e+05
