# BEGIN PLOT
DrawOnly=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV.yoda/BTAG_JET_TRACK_SEL/F_ChargedParticlePtRel_CharmJets
Legend=1
LogY=1
# END PLOT

# BEGIN HISTOGRAM /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV.yoda/BTAG_JET_TRACK_SEL/F_ChargedParticlePtRel_CharmJets
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV.yoda/BTAG_JET_TRACK_SEL/F_ChargedParticlePtRel_CharmJets
Title=MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-03	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-03	2.000000e-03	6.460000e+05	2.541653e+04	2.541653e+04
2.000000e-03	3.000000e-03	1.211700e+07	1.100772e+05	1.100772e+05
3.000000e-03	4.000000e-03	3.959800e+07	1.989925e+05	1.989925e+05
4.000000e-03	5.000000e-03	5.384900e+07	2.320539e+05	2.320539e+05
5.000000e-03	6.000000e-03	5.549600e+07	2.355759e+05	2.355759e+05
6.000000e-03	7.000000e-03	5.526800e+07	2.350915e+05	2.350915e+05
7.000000e-03	8.000000e-03	5.503800e+07	2.346018e+05	2.346018e+05
8.000000e-03	9.000000e-03	5.388300e+07	2.321271e+05	2.321271e+05
9.000000e-03	1.000000e-02	5.379500e+07	2.319375e+05	2.319375e+05
1.000000e-02	1.100000e-02	5.253900e+07	2.292139e+05	2.292139e+05
1.100000e-02	1.200000e-02	5.134600e+07	2.265966e+05	2.265966e+05
1.200000e-02	1.300000e-02	5.044200e+07	2.245930e+05	2.245930e+05
1.300000e-02	1.400000e-02	4.910000e+07	2.215852e+05	2.215852e+05
1.400000e-02	1.500000e-02	4.514000e+07	2.124618e+05	2.124618e+05
1.500000e-02	1.600000e-02	4.244700e+07	2.060267e+05	2.060267e+05
1.600000e-02	1.700000e-02	3.814900e+07	1.953177e+05	1.953177e+05
1.700000e-02	1.800000e-02	3.483100e+07	1.866307e+05	1.866307e+05
1.800000e-02	1.900000e-02	3.017000e+07	1.736951e+05	1.736951e+05
1.900000e-02	2.000000e-02	2.655400e+07	1.629540e+05	1.629540e+05
2.000000e-02	2.100000e-02	2.179600e+07	1.476347e+05	1.476347e+05
2.100000e-02	2.200000e-02	1.842800e+07	1.357498e+05	1.357498e+05
