# BEGIN PLOT
DrawOnly=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV.yoda/BTAG_JET_TRACK_SEL/H_ChargedParticleJetDr_AllJets
Legend=1
LogY=1
# END PLOT

# BEGIN HISTOGRAM /nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV.yoda/BTAG_JET_TRACK_SEL/H_ChargedParticleJetDr_AllJets
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=/nfs/dust/cms/user/shwillia/BTV/Apr15/MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV.yoda/BTAG_JET_TRACK_SEL/H_ChargedParticleJetDr_AllJets
Title=MC_Pythia6_QCD_Pt-50to80_MuEnrichedPt5_TuneZ2star_13TeV
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-02	5.708500e+06	2.389247e+04	2.389247e+04
1.000000e-02	2.000000e-02	1.570970e+07	3.963546e+04	3.963546e+04
2.000000e-02	3.000000e-02	2.248080e+07	4.741392e+04	4.741392e+04
3.000000e-02	4.000000e-02	2.658660e+07	5.156220e+04	5.156220e+04
4.000000e-02	5.000000e-02	2.875660e+07	5.362518e+04	5.362518e+04
5.000000e-02	6.000000e-02	2.947740e+07	5.429309e+04	5.429309e+04
6.000000e-02	7.000000e-02	2.959060e+07	5.439724e+04	5.439724e+04
7.000000e-02	8.000000e-02	2.890580e+07	5.376411e+04	5.376411e+04
8.000000e-02	9.000000e-02	2.800130e+07	5.291625e+04	5.291625e+04
9.000000e-02	1.000000e-01	2.694370e+07	5.190732e+04	5.190732e+04
1.000000e-01	1.100000e-01	2.585280e+07	5.084565e+04	5.084565e+04
1.100000e-01	1.200000e-01	2.452840e+07	4.952615e+04	4.952615e+04
1.200000e-01	1.300000e-01	2.334130e+07	4.831283e+04	4.831283e+04
1.300000e-01	1.400000e-01	2.210950e+07	4.702074e+04	4.702074e+04
1.400000e-01	1.500000e-01	2.092820e+07	4.574735e+04	4.574735e+04
1.500000e-01	1.600000e-01	1.980450e+07	4.450225e+04	4.450225e+04
1.600000e-01	1.700000e-01	1.879640e+07	4.335482e+04	4.335482e+04
1.700000e-01	1.800000e-01	1.777390e+07	4.215910e+04	4.215910e+04
1.800000e-01	1.900000e-01	1.680680e+07	4.099610e+04	4.099610e+04
1.900000e-01	2.000000e-01	1.588430e+07	3.985511e+04	3.985511e+04
2.000000e-01	2.100000e-01	1.504160e+07	3.878350e+04	3.878350e+04
2.100000e-01	2.200000e-01	1.422990e+07	3.772254e+04	3.772254e+04
2.200000e-01	2.300000e-01	1.349350e+07	3.673350e+04	3.673350e+04
2.300000e-01	2.400000e-01	1.278710e+07	3.575905e+04	3.575905e+04
2.400000e-01	2.500000e-01	1.211780e+07	3.481063e+04	3.481063e+04
2.500000e-01	2.600000e-01	1.155780e+07	3.399676e+04	3.399676e+04
2.600000e-01	2.700000e-01	1.099300e+07	3.315569e+04	3.315569e+04
2.700000e-01	2.800000e-01	1.044070e+07	3.231207e+04	3.231207e+04
2.800000e-01	2.900000e-01	9.939900e+06	3.152761e+04	3.152761e+04
2.900000e-01	3.000000e-01	9.498400e+06	3.081947e+04	3.081947e+04
3.000000e-01	3.100000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.100000e-01	3.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.200000e-01	3.300000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.300000e-01	3.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.400000e-01	3.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00
